timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-20T13:19:26.581043,-0.376,-0.712,0.183,-4.23,-7.043,-11.057,left,medium,سلام
2025-12-20T13:19:26.661189,-0.356,-0.721,0.202,1.373,-9.776,-5.958,left,medium,سلام
2025-12-20T13:19:26.734363,-0.323,-0.715,0.153,1.724,-12.066,0.851,left,medium,سلام
2025-12-20T13:19:26.810381,-0.363,-0.704,0.284,-1.146,-5.165,-2.767,left,medium,سلام
2025-12-20T13:19:26.886417,-0.354,-0.721,0.222,-6.016,-23.425,-8.233,left,medium,سلام
2025-12-20T13:19:26.964505,-0.427,-0.689,0.265,-7.925,-6.463,-11.194,left,medium,سلام
2025-12-20T13:19:27.176115,-0.363,-0.752,0.224,13.159,5.415,-6.11,left,medium,سلام
2025-12-20T13:19:27.256989,-0.325,-0.755,0.222,2.136,-8.188,-6.217,left,medium,سلام
2025-12-20T13:19:27.333416,-0.295,-0.731,0.284,6.549,-9.578,-8.584,left,medium,سلام
2025-12-20T13:19:27.483307,-0.281,-0.761,0.289,-2.077,-17.99,-9.317,left,medium,سلام
2025-12-20T13:19:27.609626,-0.269,-0.745,0.179,-16.23,0.651,5.035,left,medium,سلام
2025-12-20T13:19:27.793605,-0.226,-0.767,0.33,-40.917,24.056,15.935,left,medium,سلام
2025-12-20T13:19:27.893729,-0.317,-0.771,0.145,8.243,-3.974,-1.927,left,medium,سلام
2025-12-20T13:19:27.995200,-0.293,-0.767,0.165,11.052,-0.952,-3.912,left,medium,سلام
2025-12-20T13:19:28.097744,-0.257,-0.758,0.255,4.06,2.88,-5.591,left,medium,سلام
2025-12-20T13:19:28.201374,-0.288,-0.777,0.196,1.19,1.14,-0.797,left,medium,سلام
2025-12-20T13:19:28.302279,-0.284,-0.78,0.276,-7.619,-15.349,-4.08,left,medium,سلام
2025-12-20T13:19:28.374964,-0.287,-0.774,0.045,-7.65,-6.707,-3.836,left,medium,سلام
2025-12-20T13:19:28.450271,-0.247,-0.793,0.175,-12.306,-1.562,-3.927,left,medium,سلام
2025-12-20T13:19:28.527438,-0.248,-0.805,0.291,-11.054,-10.829,0.241,left,medium,سلام
