timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T22:39:28.596549,0.333,-0.37,2.189,7.331,-8.426,9.765,left,medium,محمد
2025-12-18T22:39:28.712638,0.333,-0.371,2.187,7.682,-7.694,9.139,left,medium,محمد
2025-12-18T22:39:28.782913,0.32,-0.366,2.2,6.995,-5.403,7.17,left,medium,محمد
2025-12-18T22:39:28.859843,0.327,-0.369,2.206,9.331,-0.335,5.841,left,medium,محمد
2025-12-18T22:39:29.019465,0.344,-0.308,2.219,1.347,-6.182,-1.395,left,medium,محمد
2025-12-18T22:39:29.083478,0.45,-0.36,2.144,7.728,0.948,4.651,left,medium,محمد
2025-12-18T22:39:29.144830,0.348,-0.351,2.228,8.278,3.452,10.788,left,medium,محمد
2025-12-18T22:39:29.327209,0.368,-0.373,2.252,1.927,1.1,16.62,left,medium,محمد
2025-12-18T22:39:29.394603,0.413,-0.371,2.17,20.263,-17.297,17.933,left,medium,محمد
2025-12-18T22:39:29.455785,0.261,-0.369,2.335,13.209,-16.884,11.826,left,medium,محمد
2025-12-18T22:39:29.523257,0.371,-0.359,2.211,8.583,-3.724,10.651,left,medium,محمد
2025-12-18T22:39:29.771878,0.357,-0.368,2.213,-2.028,-2.9,7.979,left,medium,محمد
2025-12-18T22:39:29.838271,0.081,-0.309,1.797,-9.325,15.803,17.948,left,medium,محمد
2025-12-18T22:39:29.915928,0.397,-0.412,2.387,-0.073,-1.007,15.872,left,medium,محمد
2025-12-18T22:39:30.001091,0.221,-0.378,2.173,15.499,-13.709,-0.388,left,medium,محمد
2025-12-18T22:39:30.071094,0.243,-0.416,2.269,24.598,-2.182,-27.746,left,medium,محمد
2025-12-18T22:39:30.136638,0.473,-0.294,2.216,17.957,-49.678,-28.54,left,medium,محمد
2025-12-18T22:39:30.321360,0.37,-0.351,2.205,6.308,-6.548,17.521,left,medium,محمد
2025-12-18T22:39:30.454671,0.411,-0.336,2.228,8.003,-5.403,23.78,left,medium,محمد
2025-12-18T22:39:30.593701,0.314,-0.357,2.162,5.759,-19.297,9.444,left,medium,محمد
2025-12-18T22:39:30.760395,0.395,-0.404,2.193,11.988,-16.045,2.101,left,medium,محمد
2025-12-18T22:39:30.830094,0.331,-0.365,2.228,7.301,2.383,9.505,left,medium,محمد
2025-12-18T22:39:30.894486,0.299,-0.369,2.227,2.965,2.077,7.887,left,medium,محمد
2025-12-18T22:39:31.067626,0.348,-0.381,2.181,-7.86,3.665,3.902,left,medium,محمد
2025-12-18T22:39:31.169597,0.323,-0.339,2.238,-15.768,-4.747,23.353,left,medium,محمد
2025-12-18T22:39:31.244473,0.282,-0.381,2.122,3.606,-5.785,12.589,left,medium,محمد
2025-12-18T22:39:31.316783,0.277,-0.402,2.168,12.385,-3.724,7.383,left,medium,محمد
2025-12-18T22:39:31.477292,0.026,-0.338,2.166,22.476,-15.709,-32.815,left,medium,محمد
2025-12-18T22:39:31.581215,0.33,-0.214,2.157,-3.524,-11.831,36.223,left,medium,محمد
2025-12-18T22:39:31.655093,0.325,-0.291,2.189,6.553,-12.381,3.231,left,medium,محمد
2025-12-18T22:39:31.729135,0.438,-0.344,2.195,11.179,-15.755,0.941,left,medium,محمد
2025-12-18T22:39:31.887120,0.398,-0.324,2.194,12.4,-8.945,17.124,left,medium,محمد
