timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T22:33:54.359207,0.003,-0.356,2.425,8.293,-6.732,9.628,left,medium,قلم
2025-12-18T22:33:54.470842,0.019,-0.353,2.418,8.431,-9.327,8.605,left,medium,قلم
2025-12-18T22:33:54.540420,0.01,-0.354,2.446,8.919,-5.388,8.574,left,medium,قلم
2025-12-18T22:33:54.603206,0.007,-0.354,2.431,7.682,-5.129,9.475,left,medium,قلم
2025-12-18T22:33:54.674189,0.003,-0.357,2.438,7.194,0.184,7.002,left,medium,قلم
2025-12-18T22:33:54.860362,-0.021,-0.375,2.431,7.072,-9.159,12.238,left,medium,قلم
2025-12-18T22:33:54.929486,-0.017,-0.368,2.402,6.889,-18.35,12.422,left,medium,قلم
2025-12-18T22:33:54.991424,-0.026,-0.36,2.408,14.446,-20.9,13.338,left,medium,قلم
2025-12-18T22:33:55.081968,-0.023,-0.354,2.41,11.698,-14.655,9.047,left,medium,قلم
2025-12-18T22:33:55.146712,-0.004,-0.359,2.429,9.713,-10.579,6.803,left,medium,قلم
2025-12-18T22:33:55.339601,-0.029,-0.381,2.498,9.377,-8.655,12.498,left,medium,قلم
2025-12-18T22:33:55.406997,-0.019,-0.352,2.395,7.469,-1.007,13.139,left,medium,قلم
2025-12-18T22:33:55.499162,0.044,-0.37,2.433,3.27,-4.304,2.437,left,medium,قلم
2025-12-18T22:33:55.562412,-0.046,-0.346,2.417,6.843,-3.632,1.673,left,medium,قلم
2025-12-18T22:33:55.699636,0.055,-0.346,2.354,11.026,7.818,-5.884,left,medium,قلم
2025-12-18T22:33:55.853222,0.078,-0.355,2.458,12.186,8.81,2.269,left,medium,قلم
2025-12-18T22:33:56.065806,-0.07,-0.498,2.727,-24.959,9.1,8.483,left,medium,قلم
2025-12-18T22:33:56.211000,-0.063,-0.391,2.361,7.331,-4.869,5.368,left,medium,قلم
2025-12-18T22:33:56.344214,0.232,-0.341,2.443,62.11,-67.526,-10.876,left,medium,قلم
2025-12-18T22:33:56.518847,-0.014,-0.34,2.497,-7.157,-13.785,40.452,left,medium,قلم
2025-12-18T22:33:56.723536,-0.126,-0.345,2.451,-4.104,19.039,39.124,left,medium,قلم
2025-12-18T22:33:56.836948,0.254,-0.302,2.6,17.637,-34.671,-2.143,left,medium,قلم
2025-12-18T22:33:56.903018,-0.22,-0.353,2.209,-9.218,18.398,44.681,left,medium,قلم
2025-12-18T22:33:57.030271,-0.287,-0.345,2.401,15.866,-5.968,-24.647,left,medium,قلم
2025-12-18T22:33:57.107021,-0.021,-0.359,2.556,33.988,-4.548,-0.601,left,medium,قلم
2025-12-18T22:33:57.300518,-0.055,-0.383,2.455,8.431,-11.968,-20.632,left,medium,قلم
2025-12-18T22:33:57.363212,-0.002,-0.178,2.429,14.614,-19.373,-4.342,left,medium,قلم
2025-12-18T22:33:57.557229,-0.08,-0.344,2.428,-0.379,3.406,38.971,left,medium,قلم
2025-12-18T22:33:57.627468,-0.203,-0.35,2.397,4.446,22.337,16.483,left,medium,قلم
2025-12-18T22:33:57.747305,-0.343,-0.293,2.392,9.056,14.719,-16.174,left,medium,قلم
2025-12-18T22:33:57.816597,-0.118,-0.322,2.557,19.453,47.589,-16.754,left,medium,قلم
2025-12-18T22:33:57.952306,-0.037,-0.338,2.512,9.866,13.406,2.605,left,medium,قلم
2025-12-18T22:33:58.017352,-0.045,-0.351,2.39,-13.997,6.978,0.33,left,medium,قلم
2025-12-18T22:33:58.089955,-0.095,-0.46,2.644,-15.218,3.161,2.849,left,medium,قلم
2025-12-18T22:33:58.162446,-0.027,-0.334,2.019,-9.173,1.345,6.391,left,medium,قلم
