timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T22:31:31.622166,-0.369,-0.323,1.345,7.499,-5.22,8.742,left,medium,سمع
2025-12-18T22:31:31.696105,-0.379,-0.319,1.329,6.171,6.658,9.261,left,medium,سمع
2025-12-18T22:31:31.771263,-0.438,-0.307,1.273,5.163,-4.442,13.597,left,medium,سمع
2025-12-18T22:31:31.840038,-0.199,-0.313,1.474,9.82,-1.785,7.704,left,medium,سمع
2025-12-18T22:31:31.905067,-0.362,-0.311,1.309,7.805,-9.602,12.589,left,medium,سمع
2025-12-18T22:31:32.092148,-0.381,-0.312,1.294,10.095,0.108,8.971,left,medium,سمع
2025-12-18T22:31:32.165660,-0.353,-0.302,1.326,12.095,-1.984,9.811,left,medium,سمع
2025-12-18T22:31:32.237404,-0.384,-0.317,1.318,10.705,-6.93,8.345,left,medium,سمع
2025-12-18T22:31:32.313189,-0.458,-0.327,1.264,16.583,-0.274,6.406,left,medium,سمع
2025-12-18T22:31:32.385250,-0.324,-0.317,1.429,10.568,-13.449,8.192,left,medium,سمع
2025-12-18T22:31:32.658588,-0.409,-0.254,1.252,-16.104,-18.228,18.986,left,medium,سمع
2025-12-18T22:31:32.745110,-0.371,-0.327,1.339,9.224,-18.167,1.612,left,medium,سمع
2025-12-18T22:31:32.808106,-0.381,-0.324,1.341,23.255,-2.029,-12.632,left,medium,سمع
2025-12-18T22:31:32.884112,-0.322,-0.347,1.375,12.095,-0.548,6.116,left,medium,سمع
2025-12-18T22:31:32.960241,-0.408,-0.315,1.328,9.056,5.116,15.276,left,medium,سمع
2025-12-18T22:31:33.258334,-0.348,-0.33,1.353,8.827,-2.167,9.246,left,medium,سمع
2025-12-18T22:31:33.324692,-0.344,-0.314,1.39,25.484,-4.365,13.246,left,medium,سمع
2025-12-18T22:31:33.475953,-0.361,-0.327,1.351,22.431,-4.945,7.46,left,medium,سمع
2025-12-18T22:31:33.564939,-0.352,-0.348,1.357,6.568,-8.487,7.322,left,medium,سمع
2025-12-18T22:31:33.636211,-0.422,-0.369,1.382,-33.157,1.131,23.582,left,medium,سمع
2025-12-18T22:31:33.710339,-0.377,-0.256,1.276,-10.928,-32.396,14.177,left,medium,سمع
2025-12-18T22:31:33.779412,-0.321,-0.282,1.268,27.896,-6.808,-13.09,left,medium,سمع
2025-12-18T22:31:34.076578,-0.224,-0.353,1.38,14.705,8.719,8.712,left,medium,سمع
2025-12-18T22:31:34.148442,-0.303,-0.344,1.288,6.66,1.742,11.811,left,medium,سمع
2025-12-18T22:31:34.219688,-0.275,-0.348,1.315,14.003,-0.319,10.696,left,medium,سمع
2025-12-18T22:31:34.278697,-0.352,-0.342,1.535,21.85,-0.029,12.544,left,medium,سمع
2025-12-18T22:31:34.472115,-0.271,-0.368,1.365,8.614,-4.594,9.689,left,medium,سمع
2025-12-18T22:31:34.540481,-0.154,-0.381,1.576,-22.592,-31.068,27.567,left,medium,سمع
2025-12-18T22:31:34.606579,-0.149,-0.383,1.343,-27.539,-8.014,13.765,left,medium,سمع
2025-12-18T22:31:34.675956,-0.405,-0.218,1.22,3.82,-27.342,2.91,left,medium,سمع
2025-12-18T22:31:34.866132,-0.208,-0.382,1.428,13.408,-4.335,-4.281,left,medium,سمع
2025-12-18T22:31:34.998919,-0.175,-0.367,1.396,3.163,-1.098,12.452,left,medium,سمع
2025-12-18T22:31:35.119934,-0.307,-0.375,1.298,7.011,13.803,14.162,left,medium,سمع
2025-12-18T22:31:35.189721,-0.297,-0.315,1.243,24.66,-7.892,8.559,left,medium,سمع
2025-12-18T22:31:35.305526,-0.227,-0.365,1.544,11.469,-24.029,7.17,left,medium,سمع
2025-12-18T22:31:35.449984,-0.317,-0.36,1.357,3.805,-29.526,-1.563,left,medium,سمع
2025-12-18T22:31:35.612384,-0.222,-0.372,1.381,9.194,-5.419,6.467,left,medium,سمع
2025-12-18T22:31:35.675182,-0.132,-0.377,1.292,13.759,-1.403,15.963,left,medium,سمع
2025-12-18T22:31:35.818007,-0.31,-0.377,1.355,17.805,1.589,18.238,left,medium,سمع
2025-12-18T22:31:35.886390,-0.267,-0.404,1.325,17.621,-12.884,16.315,left,medium,سمع
2025-12-18T22:31:35.950938,-0.194,-0.401,1.457,-5.157,-27.48,24.528,left,medium,سمع
2025-12-18T22:31:36.019425,-0.293,-0.408,1.183,-40.638,-28.014,28.147,left,medium,سمع
2025-12-18T22:31:36.212035,-0.329,-0.356,1.368,9.163,-10.457,5.49,left,medium,سمع
2025-12-18T22:31:36.281985,-0.312,-0.366,1.334,19.713,-1.281,-1.899,left,medium,سمع
2025-12-18T22:31:36.350410,-0.245,-0.4,1.407,15.789,-9.861,4.559,left,medium,سمع
2025-12-18T22:31:36.435303,-0.184,-0.386,1.434,23.957,0.688,-3.334,left,medium,سمع
2025-12-18T22:31:36.534001,-0.188,-0.442,1.405,24.705,1.055,1.521,left,medium,سمع
2025-12-18T22:31:36.682218,-0.286,-0.419,1.485,7.209,-12.014,8.238,left,medium,سمع
2025-12-18T22:31:36.841595,-0.236,-0.413,1.46,7.835,-18.823,13.612,left,medium,سمع
2025-12-18T22:31:36.912955,-0.274,-0.427,1.51,-12.287,-19.51,-3.655,left,medium,سمع
2025-12-18T22:31:36.978932,-0.344,-0.405,1.435,10.018,-9.678,8.727,left,medium,سمع
2025-12-18T22:31:37.043449,-0.365,-0.389,1.411,7.377,-8.9,9.841,left,medium,سمع
2025-12-18T22:31:37.234019,-0.301,-0.395,1.468,6.751,-6.503,5.963,left,medium,سمع
2025-12-18T22:31:37.456102,-0.26,-0.41,1.355,20.247,4.398,24.834,left,medium,سمع
2025-12-18T22:31:37.520952,-0.288,-0.401,1.487,15.591,-8.869,24.009,left,medium,سمع
2025-12-18T22:31:37.584227,-0.394,-0.397,1.465,14.354,-10.396,18.864,left,medium,سمع
2025-12-18T22:31:37.799729,-0.345,-0.399,1.475,6.797,-5.342,6.574,left,medium,سمع
2025-12-18T22:31:37.862711,-0.3,-0.407,1.475,6.736,-0.548,10.528,left,medium,سمع
2025-12-18T22:31:37.923826,-0.344,-0.394,1.433,6.583,4.352,8.452,left,medium,سمع
