timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2026-01-01T19:24:50.725670,0.024,-1.092,0.052,-3.937,-2.053,-0.81,left,medium,كتب
2026-01-01T19:24:50.948113,-0.028,-1.068,0.104,-0.121,3.504,-1.543,left,medium,كتب
2026-01-01T19:24:51.232251,0.003,-1.076,0.043,3.971,9.825,2.441,left,medium,كتب
2026-01-01T19:24:51.315189,0.065,-1.097,0.109,1.711,1.703,-3.33,left,medium,كتب
2026-01-01T19:24:51.541194,0.122,-1.069,0.131,5.757,-2.175,-5.589,left,medium,كتب
2026-01-01T19:24:51.624339,0.006,-1.079,0.14,2.368,-0.084,-0.597,left,medium,كتب
2026-01-01T19:24:51.846654,-0.024,-1.066,0.121,0.078,9.504,-0.2,left,medium,كتب
2026-01-01T19:24:51.952232,-0.092,-1.059,0.093,10.612,-5.564,-0.734,left,medium,كتب
2026-01-01T19:24:52.032813,-0.021,-1.069,0.209,4.765,-3.198,-3.879,left,medium,كتب
2026-01-01T19:24:52.108239,0.019,-1.073,0.175,4.49,-2.251,-4.627,left,medium,كتب
2026-01-01T19:24:52.256572,0.181,-1.091,0.179,0.169,-4.022,-2.566,left,medium,كتب
2026-01-01T19:24:52.331109,-0.006,-1.095,0.217,-3.724,-6.053,0.564,left,medium,كتب
2026-01-01T19:24:52.410575,0.081,-1.091,0.146,-11.342,-8.328,-3.238,left,medium,كتب
2026-01-01T19:24:52.564888,-0.027,-1.083,0.334,3.711,-3.931,-1.757,left,medium,كتب
2026-01-01T19:24:52.666694,0.041,-1.081,0.256,-2.685,6.756,6.945,left,medium,كتب
2026-01-01T19:24:52.746078,0.01,-1.063,0.174,-0.212,2.787,2.426,left,medium,كتب
2026-01-01T19:24:52.824197,-0.052,-1.067,0.161,3.91,-2.282,0.121,left,medium,كتب
2026-01-01T19:24:52.924738,-0.049,-1.068,0.196,6.933,-5.992,-11.299,left,medium,كتب
2026-01-01T19:24:53.075366,-0.042,-1.078,0.124,3.269,-4.801,-2.749,left,medium,كتب
2026-01-01T19:24:53.281960,0.05,-1.071,0.166,-2.426,-0.984,0.594,left,medium,كتب
2026-01-01T19:24:53.486114,-0.022,-1.028,0.165,-0.915,-12.129,2.38,left,medium,كتب
2026-01-01T19:24:53.691732,0.026,-1.083,0.246,1.864,-0.862,0.991,left,medium,كتب
2026-01-01T19:24:53.896470,0.032,-1.082,0.227,0.902,-2.053,-0.429,left,medium,كتب
2026-01-01T19:24:53.980932,-0.079,-1.075,0.236,4.414,-7.152,-11.391,left,medium,كتب
2026-01-01T19:24:54.113337,0.01,-1.084,0.229,0.047,-7.045,-9.421,left,medium,كتب
2026-01-01T19:24:54.189066,0.071,-1.106,0.319,-14.151,-8.282,-0.383,left,medium,كتب
2026-01-01T19:24:54.311948,0.158,-1.087,0.291,1.94,-8.068,-4.734,left,medium,كتب
2026-01-01T19:24:54.510150,-0.078,-1.079,0.222,-13.724,-9.351,4.335,left,medium,كتب
2026-01-01T19:24:54.611357,0.097,-1.092,0.17,4.124,1.52,-2.978,left,medium,كتب
2026-01-01T19:24:54.710880,0.075,-1.085,0.235,3.94,8.466,4.884,left,medium,كتب
2026-01-01T19:24:54.789141,0.028,-1.132,0.174,8.032,4.054,18.319,left,medium,كتب
2026-01-01T19:24:54.934880,-0.154,-0.868,0.368,31.696,2.084,30.655,left,medium,كتب
2026-01-01T19:24:55.123787,0.015,-1.004,0.298,-15.144,0.207,-15.711,left,medium,كتب
2026-01-01T19:24:55.227084,0.118,-1.13,0.111,-3.418,-3.931,-1.406,left,medium,كتب
2026-01-01T19:24:55.327893,-0.291,-0.72,0.197,57.055,0.039,78.472,left,medium,كتب
2026-01-01T19:24:55.430122,-0.346,-0.84,0.533,-22.808,26.542,21.357,left,medium,كتب
2026-01-01T19:24:55.535286,-0.019,-1.073,0.241,-9.663,8.649,-40.704,left,medium,كتب
2026-01-01T19:24:55.635590,0.159,-1.111,0.173,-7.602,-7.946,3.586,left,medium,كتب
2026-01-01T19:24:55.741549,0.044,-1.078,0.186,0.643,-1.717,-6.047,left,medium,كتب
2026-01-01T19:24:55.818119,0.103,-1.034,0.182,23.681,-11.396,37.067,left,medium,كتب
2026-01-01T19:24:56.057566,-0.023,-1.045,0.175,-1.922,-3.076,1.541,left,medium,كتب
2026-01-01T19:24:56.136632,0.102,-1.068,0.113,-1.25,-12.206,-5.513,left,medium,كتب
2026-01-01T19:24:56.359968,0.004,-1.043,0.183,1.315,-1.885,-0.505,left,medium,كتب
2026-01-01T19:24:56.556631,-0.095,-1.039,0.272,10.231,-2.908,4.182,left,medium,كتب
2026-01-01T19:24:56.662713,-0.045,-1.06,0.356,-12.945,-0.007,-16.322,left,medium,كتب
2026-01-01T19:24:56.761773,0.039,-1.07,0.193,1.544,-2.145,5.831,left,medium,كتب
2026-01-01T19:24:56.866066,-0.085,-1.024,0.233,0.948,-2.465,2.884,left,medium,كتب
2026-01-01T19:24:56.969021,-0.077,-1.038,0.277,0.948,-2.099,-2.093,left,medium,كتب
2026-01-01T19:24:57.174496,-0.024,-1.075,0.284,1.666,-0.923,1.709,left,medium,كتب
