timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-24T12:26:09.139813,-0.203,-0.585,-0.662,-2.491,-9.986,-2.453,left,bad,شمس
2025-12-24T12:26:09.293815,-0.211,-0.553,-0.708,9.493,15.479,-0.056,left,bad,شمس
2025-12-24T12:26:09.396426,-0.154,-0.615,-0.669,5.6,-1.483,-0.346,left,bad,شمس
2025-12-24T12:26:09.472882,-0.238,-0.599,-0.654,3.921,8.716,-3.216,left,bad,شمس
2025-12-24T12:26:09.603809,-0.232,-0.584,-0.698,2.883,6.746,0.509,left,bad,شمس
2025-12-24T12:26:09.675677,-0.165,-0.603,-0.643,-0.095,-0.612,-0.026,left,bad,شمس
2025-12-24T12:26:09.806166,-0.181,-0.609,-0.667,1.478,1.082,-0.056,left,bad,شمس
2025-12-24T12:26:09.908356,-0.207,-0.599,-0.707,-0.049,-3.849,-2.514,left,bad,شمس
2025-12-24T12:26:09.985914,-0.172,-0.608,-0.673,1.218,2.411,3.822,left,bad,شمس
2025-12-24T12:26:10.063935,-0.302,-0.58,-0.675,0.135,-1.925,2.035,left,bad,شمس
2025-12-24T12:26:10.215322,-0.183,-0.614,-0.648,0.608,3.601,-1.079,left,bad,شمس
2025-12-24T12:26:10.290061,-0.201,-0.597,-0.687,1.707,1.907,-1.629,left,bad,شمس
2025-12-24T12:26:10.376056,-0.217,-0.614,-0.663,0.226,0.075,-0.514,left,bad,شمس
2025-12-24T12:26:10.443310,-0.202,-0.602,-0.665,-1.423,-2.231,3.119,left,bad,شمس
2025-12-24T12:26:10.514108,-0.227,-0.594,-0.677,1.295,1.204,3.043,left,bad,شمس
2025-12-24T12:26:10.624938,-0.224,-0.601,-0.662,-0.736,-3.727,3.654,left,bad,شمس
2025-12-24T12:26:10.696923,-0.192,-0.592,-0.649,-0.033,-0.994,2.005,left,bad,شمس
2025-12-24T12:26:10.759390,-0.246,-0.614,-0.662,2.165,-3.315,-2.392,left,bad,شمس
2025-12-24T12:26:10.947667,-0.207,-0.605,-0.685,-0.018,2.838,0.051,left,bad,شمس
2025-12-24T12:26:11.020563,-0.265,-0.611,-0.643,0.333,3.342,-4.392,left,bad,شمس
2025-12-24T12:26:11.137073,-0.207,-0.586,-0.65,-0.766,4.227,-1.659,left,bad,شمس
2025-12-24T12:26:11.210099,-0.175,-0.602,-0.675,-2.827,5.769,-1.583,left,bad,شمس
2025-12-24T12:26:11.342762,-0.221,-0.609,-0.663,0.577,-2.17,3.883,left,bad,شمس
2025-12-24T12:26:11.418332,-0.244,-0.607,-0.653,0.058,-1.696,1.898,left,bad,شمس
2025-12-24T12:26:11.493807,-0.207,-0.615,-0.665,2.409,1.495,-1.049,left,bad,شمس
2025-12-24T12:26:11.649517,-0.213,-0.603,-0.65,1.325,-3.956,-4.758,left,bad,شمس
2025-12-24T12:26:11.718977,-0.215,-0.612,-0.647,-0.385,-4.872,-0.148,left,bad,شمس
2025-12-24T12:26:11.781717,-0.235,-0.605,-0.666,-0.201,1.464,-0.102,left,bad,شمس
2025-12-24T12:26:12.058929,-0.29,-0.606,-0.669,2.654,-6.734,9.409,left,bad,شمس
2025-12-24T12:26:12.161110,-0.316,-0.625,-0.665,1.89,-0.612,-9.003,left,bad,شمس
2025-12-24T12:26:12.243121,-0.189,-0.585,-0.681,1.936,2.502,-6.239,left,bad,شمس
2025-12-24T12:26:12.321557,-0.136,-0.612,-0.648,-2.217,-2.734,8.829,left,bad,شمس
2025-12-24T12:26:12.391566,-0.274,-0.613,-0.692,-0.018,2.365,4.142,left,bad,شمس
2025-12-24T12:26:12.571082,-0.245,-0.613,-0.664,0.822,-0.063,-0.591,left,bad,شمس
2025-12-24T12:26:12.640134,-0.242,-0.615,-0.663,0.837,1.449,-0.041,left,bad,شمس
2025-12-24T12:26:12.775631,-0.211,-0.619,-0.646,0.944,-2.933,1.638,left,bad,شمس
2025-12-24T12:26:12.841107,-0.197,-0.614,-0.636,0.684,-1.131,3.532,left,bad,شمس
2025-12-24T12:26:12.980340,-0.258,-0.605,-0.677,2.364,2.777,0.951,left,bad,شمس
2025-12-24T12:26:13.056252,-0.241,-0.621,-0.623,5.28,5.235,1.898,left,bad,شمس
2025-12-24T12:26:13.133029,-0.269,-0.615,-0.655,1.524,0.731,4.234,left,bad,شمس
2025-12-24T12:26:13.287442,-0.276,-0.632,-0.654,11.86,2.731,-12.774,left,bad,شمس
2025-12-24T12:26:13.389973,-0.278,-0.624,-0.638,0.608,4.869,-21.018,left,bad,شمس
2025-12-24T12:26:13.467731,-0.083,-0.621,-0.541,-9.346,9.846,-6.316,left,bad,شمس
2025-12-24T12:26:13.594589,-0.235,-0.611,-0.671,-13.438,14.624,-1.613,left,bad,شمس
2025-12-24T12:26:13.696955,-0.164,-0.498,-0.756,-17.072,9.372,10.112,left,bad,شمس
2025-12-24T12:26:13.799720,-0.218,-0.54,-0.682,14.959,17.8,2.661,left,bad,شمس
2025-12-24T12:26:13.868002,-0.199,-0.504,-0.726,21.096,-7.101,-2.804,left,bad,شمس
2025-12-24T12:26:13.947312,-0.23,-0.632,-0.633,2.47,-24.826,6.035,left,bad,شمس
2025-12-24T12:26:14.106726,-0.294,-0.644,-0.609,3.188,15.739,-0.285,left,bad,شمس
2025-12-24T12:26:14.180996,-0.28,-0.461,-0.788,-6.598,6.899,3.852,left,bad,شمس
2025-12-24T12:26:14.259540,-0.2,-0.527,-0.703,12.47,1.815,0.799,left,bad,شمس
2025-12-24T12:26:14.413626,-0.259,-0.648,-0.646,8.012,-19.483,2.387,left,bad,شمس
2025-12-24T12:26:14.486046,-0.212,-0.652,-0.61,-13.621,8.884,-3.293,left,bad,شمس
2025-12-24T12:26:14.563557,-0.165,-0.531,-0.729,-16.843,8.136,-10.774,left,bad,شمس
2025-12-24T12:26:14.627879,-0.218,-0.589,-0.7,12.425,7.006,1.7,left,bad,شمس
2025-12-24T12:26:14.927064,-0.249,-0.626,-0.648,-7.988,-0.948,-5.766,left,bad,شمس
2025-12-24T12:26:15.028248,-0.111,-0.528,-0.739,-3.972,8.105,14.661,left,bad,شمس
2025-12-24T12:26:15.233280,-0.279,-0.534,-0.719,-9.362,-1.666,7.394,left,bad,شمس
2025-12-24T12:26:15.302027,-0.184,-0.531,-0.733,-0.354,-1.116,-4.774,left,bad,شمس
2025-12-24T12:26:15.366508,-0.189,-0.527,-0.735,-0.736,-6.963,-4.621,left,bad,شمس
2025-12-24T12:26:15.555922,-0.235,-0.564,-0.722,-3.362,-11.803,-7.751,left,bad,شمس
2025-12-24T12:26:15.746031,-0.115,-0.464,-0.69,42.44,243.434,-55.98,left,bad,شمس
