timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2026-01-01T19:43:52.066964,0.325,-1.135,-0.204,8.185,-1.687,-1.207,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:52.164759,0.387,-1.078,-0.293,5.36,-2.175,3.052,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:52.254576,0.315,-1.11,-0.225,8.75,-1.748,0.38,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:52.345859,0.328,-1.101,-0.237,3.757,-3.381,-0.536,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:52.495439,0.383,-1.117,-0.206,1.895,-0.16,-0.398,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:52.685336,0.371,-1.111,-0.195,-2.151,-5.305,5.541,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:52.796074,0.357,-1.104,-0.22,-5.602,-7.076,3.846,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:52.985277,0.223,-1.108,-0.188,2.139,-3.259,15.648,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:53.072458,0.347,-1.108,-0.15,-17.052,8.161,1.51,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:53.194653,0.448,-1.015,-0.223,-45.082,16.161,-58.246,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:53.597865,0.42,-1.102,-0.16,23.666,-10.938,10.869,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:53.704305,0.29,-1.103,-0.202,-3.51,-0.007,-2.2,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:53.814658,0.356,-1.102,-0.216,-1.174,-0.648,-0.734,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:53.893523,0.349,-1.114,-0.202,-0.289,-1.732,5.128,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:54.007652,0.331,-1.105,-0.229,1.91,-11.641,18.915,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:54.126872,0.293,-1.106,-0.227,-0.395,-2.313,6.35,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:54.323844,0.195,-1.11,-0.173,0.276,-2.496,1.922,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:54.421355,0.27,-1.111,-0.237,1.635,-2.251,0.793,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:54.731921,0.242,-1.101,-0.227,4.612,-12.496,2.67,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:54.821709,0.179,-1.108,-0.259,2.887,-2.587,-4.551,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:54.930105,0.316,-1.104,-0.183,1.757,-3.549,-1.131,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:55.135104,0.268,-1.106,-0.206,1.406,-1.778,2.335,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:55.211066,0.246,-1.101,-0.232,-4.624,1.596,0.945,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:55.543983,0.269,-1.115,-0.309,-3.525,1.352,-0.612,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:55.651559,0.218,-1.11,-0.204,1.406,-1.732,-4.475,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:55.753640,0.224,-1.088,-0.202,-1.602,-2.542,-0.81,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:55.959318,0.246,-1.103,-0.244,-0.701,0.71,-1.085,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:56.058862,0.332,-1.091,-0.264,0.811,-0.954,0.961,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:56.366739,0.324,-1.085,-0.258,-1.266,2.451,-6.765,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:56.480872,0.156,-1.102,-0.194,3.971,0.588,8.09,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:56.563152,0.295,-1.111,-0.236,-5.021,1.642,-2.352,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:56.674223,0.221,-1.108,-0.175,0.093,-2.587,-0.032,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:56.795319,0.223,-1.128,-0.103,-17.021,10.833,-12.612,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:56.992595,0.388,-0.988,-0.392,0.093,-1.534,-14.001,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:57.071485,0.34,-1.082,-0.243,8.612,-3.641,0.289,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:57.160489,0.264,-1.102,-0.27,0.597,-4.221,0.64,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:57.388106,0.215,-1.096,-0.21,-4.182,4.313,3.251,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:57.474664,0.292,-1.099,-0.241,0.795,-3.503,3.968,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:57.700148,0.244,-1.087,-0.156,0.582,-5.763,-4.017,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:57.800546,0.254,-1.097,-0.234,-0.35,0.1,2.991,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:58.103828,0.214,-1.106,-0.244,-0.273,-0.389,4.777,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:58.192047,0.162,-1.091,-0.182,-1.266,1.565,0.136,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:58.264696,0.286,-1.1,-0.161,-1.693,-1.32,7.556,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:58.341680,0.278,-1.093,-0.268,-4.151,-3.809,8.899,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:58.513900,0.072,-1.272,-0.069,-23.785,36.878,-8.994,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:58.719464,0.17,-1.003,-0.454,23.879,-4.19,-16.734,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:58.923986,0.293,-1.09,-0.242,-5.54,3.0,-7.833,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:59.008393,0.234,-1.07,-0.285,-3.8,-0.664,-4.581,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:59.127406,0.304,-1.054,-0.362,3.91,-2.114,2.838,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:59.229723,0.257,-1.103,-0.23,9.04,1.092,3.556,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:59.538888,0.226,-1.122,-0.238,3.192,-0.633,9.144,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:59.639656,0.229,-1.104,-0.236,3.208,-4.175,3.525,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:59.746841,0.119,-1.088,-0.266,0.093,-3.366,0.044,left,bad,العلم نور يضيء الطريق
2026-01-01T19:43:59.949628,0.198,-1.081,-0.296,-1.586,-1.183,-0.2,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.049726,0.217,-1.085,-0.253,0.811,1.947,-0.795,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.131040,0.252,-1.106,-0.1,-2.609,-0.542,2.121,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.209263,0.233,-1.084,-0.233,1.208,1.443,0.197,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.459654,0.165,-1.087,-0.234,-2.319,0.695,5.373,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.666630,0.132,-1.11,-0.181,2.46,-1.778,12.441,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.765691,0.13,-0.997,-0.337,-24.685,-6.099,1.342,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.868135,0.128,-1.108,-0.172,1.544,-2.145,-3.894,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:00.956678,0.147,-1.052,-0.328,0.231,8.985,-19.757,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.080356,0.25,-1.068,-0.394,12.597,-2.771,4.09,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.191890,0.218,-1.083,-0.305,8.795,0.283,12.09,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.264386,-0.015,-1.068,-0.148,4.948,-12.175,15.251,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.345826,0.099,-1.123,-0.154,-8.38,-11.305,-3.528,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.432681,-0.048,-1.24,0.081,-36.105,3.229,-2.78,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.585640,0.225,-1.021,-0.363,-37.006,25.52,-11.452,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.666792,0.252,-1.038,-0.238,8.139,3.55,14.335,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.893721,0.335,-0.997,-0.388,3.299,-0.221,2.075,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:01.994541,0.324,-1.046,-0.337,19.223,-7.916,-7.528,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.201912,0.232,-1.085,-0.341,7.65,2.833,1.8,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.414722,0.226,-0.933,-0.529,-2.701,9.306,2.961,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.511115,0.441,-1.013,-0.337,37.376,14.848,-37.894,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.629385,0.54,-1.07,-0.178,5.147,-7.32,14.961,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.711057,0.38,-1.115,-0.145,8.398,-2.45,-11.33,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.814008,0.175,-1.107,-0.219,10.017,-4.114,-6.704,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.893484,0.349,-1.109,-0.174,-4.151,1.397,-4.246,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:02.966047,0.285,-1.126,-0.219,5.513,-1.106,1.235,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.224343,0.315,-1.112,-0.217,3.513,-4.419,2.838,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.326506,0.511,-1.102,-0.2,-1.571,-0.923,9.724,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.428533,0.337,-1.116,-0.209,-1.54,-1.427,3.434,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.532720,0.341,-1.108,-0.244,1.498,-5.137,1.8,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.610643,0.244,-1.114,-0.321,5.62,-9.916,-0.948,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.683385,0.249,-1.224,-0.022,-24.899,10.558,-11.146,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.842516,0.24,-1.119,-0.239,-12.701,12.008,-9.406,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:03.940387,0.262,-1.129,-0.171,2.612,-1.473,1.449,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.017495,0.284,-1.323,0.044,34.994,-1.885,15.357,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.092034,0.264,-1.113,-0.322,4.811,-2.068,7.525,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.248336,0.279,-1.115,-0.102,-9.25,12.573,-2.917,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.349672,0.396,-1.086,-0.29,13.681,-6.603,3.754,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.454251,0.299,-1.124,-0.24,7.024,-1.824,1.266,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.662705,0.334,-1.273,0.079,-24.075,-0.068,-17.07,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.755887,0.133,-1.056,-0.284,-1.831,-7.32,4.426,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.856931,0.319,-1.099,-0.278,-1.831,-6.465,-2.658,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:04.964136,0.266,-1.099,-0.228,1.94,-1.152,4.396,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:05.068829,0.262,-1.098,-0.21,9.376,-0.755,7.831,left,bad,العلم نور يضيء الطريق
2026-01-01T19:44:05.169206,0.296,-1.088,-0.278,6.948,5.321,1.724,left,bad,العلم نور يضيء الطريق
