timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T14:51:16.371290,-0.024,-0.076,1.21,-1.135,-0.39,-0.609,left,bad,كتب
2025-12-19T14:51:16.444093,-0.028,-0.076,1.207,-0.356,1.793,-0.807,left,bad,كتب
2025-12-19T14:51:16.599356,-0.024,-0.084,1.204,-0.036,1.503,-1.326,left,bad,كتب
2025-12-19T14:51:16.664687,-0.01,-0.09,1.194,-0.631,2.969,-2.792,left,bad,كتب
2025-12-19T14:51:16.741011,-0.035,-0.086,1.208,-0.204,6.435,-5.158,left,bad,كتب
2025-12-19T14:51:16.813366,0.007,-0.101,1.2,-0.692,6.557,-5.494,left,bad,كتب
2025-12-19T14:51:16.964935,0.008,-0.135,1.22,6.01,3.183,-8.471,left,bad,كتب
2025-12-19T14:51:17.037218,0.0,-0.102,1.165,-0.021,3.641,-0.258,left,bad,كتب
2025-12-19T14:51:17.112756,-0.005,-0.101,1.188,-1.578,1.809,0.078,left,bad,كتب
2025-12-19T14:51:17.272234,0.027,-0.102,1.195,-1.486,4.496,-1.372,left,bad,كتب
2025-12-19T14:51:17.420571,0.023,-0.114,1.138,-1.471,22.786,-1.769,left,bad,كتب
2025-12-19T14:51:17.490131,0.006,-0.109,1.1,3.735,7.885,1.193,left,bad,كتب
2025-12-19T14:51:17.585181,0.006,-0.105,1.123,1.613,3.335,0.307,left,bad,كتب
2025-12-19T14:51:17.681997,0.118,-0.152,1.178,3.934,4.068,0.72,left,bad,كتب
2025-12-19T14:51:17.831998,0.04,-0.116,1.147,-2.021,2.801,-0.517,left,bad,كتب
2025-12-19T14:51:17.989832,0.072,-0.131,1.128,0.392,2.083,-2.945,left,bad,كتب
2025-12-19T14:51:18.091551,0.106,-0.105,1.114,-4.83,-6.42,-1.815,left,bad,كتب
2025-12-19T14:51:18.155999,0.073,-0.113,1.106,-1.807,-3.52,-1.723,left,bad,كتب
