timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T15:01:49.485764,0.335,-0.299,1.234,-4.387,-15.077,-24.349,left,bad,محمد
2025-12-19T15:01:49.554687,0.333,-0.305,1.206,6.514,6.847,-15.418,left,bad,محمد
2025-12-19T15:01:49.625082,0.434,-0.292,1.206,12.926,3.534,10.323,left,bad,محمد
2025-12-19T15:01:49.814478,0.196,-0.324,1.277,9.567,-6.71,2.521,left,bad,محمد
2025-12-19T15:01:49.887486,0.197,-0.263,1.392,-16.204,5.87,-27.723,left,bad,محمد
2025-12-19T15:01:49.949966,0.381,-0.325,1.164,-2.127,-2.985,-1.54,left,bad,محمد
2025-12-19T15:01:50.010987,0.252,-0.383,1.249,0.132,-25.978,-7.769,left,bad,محمد
2025-12-19T15:01:50.257669,0.413,-0.341,1.359,1.552,17.305,6.613,left,bad,محمد
2025-12-19T15:01:50.333150,0.374,-0.371,1.32,-6.28,5.274,18.185,left,bad,محمد
2025-12-19T15:01:50.395491,0.245,-0.314,1.338,-7.837,0.725,10.857,left,bad,محمد
2025-12-19T15:01:50.464842,0.319,-0.311,1.405,-4.051,4.496,3.284,left,bad,محمد
2025-12-19T15:01:50.633002,0.31,-0.318,1.256,1.644,-2.222,8.399,left,bad,محمد
2025-12-19T15:01:50.702242,0.207,-0.289,1.23,4.621,-9.382,-8.807,left,bad,محمد
2025-12-19T15:01:50.837920,0.327,-0.341,1.31,20.758,-20.604,-16.364,left,bad,محمد
2025-12-19T15:01:50.940292,0.396,-0.336,1.419,2.56,-15.077,-0.105,left,bad,محمد
2025-12-19T15:01:51.008712,0.28,-0.332,1.431,5.384,-14.237,5.773,left,bad,محمد
2025-12-19T15:01:51.072088,-0.116,-0.3,1.332,29.14,-35.825,-24.761,left,bad,محمد
2025-12-19T15:01:51.133473,0.378,-0.356,1.588,0.621,-18.939,-37.189,left,bad,محمد
2025-12-19T15:01:51.320890,0.275,-0.343,1.463,2.758,7.717,-0.227,left,bad,محمد
2025-12-19T15:01:51.396245,0.455,-0.37,1.467,-3.776,19.625,36.017,left,bad,محمد
2025-12-19T15:01:51.460135,0.363,-0.339,1.449,-3.654,6.083,13.59,left,bad,محمد
2025-12-19T15:01:51.522160,0.449,-0.352,1.473,7.506,-3.367,-4.441,left,bad,محمد
2025-12-19T15:01:51.710437,0.321,-0.346,1.526,-1.532,0.435,3.208,left,bad,محمد
2025-12-19T15:01:51.780604,0.402,-0.329,1.426,3.888,-12.023,11.926,left,bad,محمد
2025-12-19T15:01:51.842274,0.331,-0.348,1.501,4.025,-8.191,-0.12,left,bad,محمد
