timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T14:53:29.860009,0.21,-0.229,1.119,-0.814,1.351,-3.998,left,bad,سمع
2025-12-19T14:53:29.929758,0.223,-0.221,1.114,-1.211,0.45,-1.571,left,bad,سمع
2025-12-19T14:53:29.990960,0.188,-0.197,1.088,1.292,2.038,-3.647,left,bad,سمع
2025-12-19T14:53:30.054895,0.295,-0.356,1.117,12.728,6.358,-11.571,left,bad,سمع
2025-12-19T14:53:30.302807,0.176,-0.222,1.405,10.88,-9.489,4.445,left,bad,سمع
2025-12-19T14:53:30.395738,0.209,-0.26,1.264,1.949,-9.947,-2.807,left,bad,سمع
2025-12-19T14:53:30.466622,0.281,-0.209,1.214,-9.807,-2.436,-4.731,left,bad,سمع
2025-12-19T14:53:30.541664,0.178,-0.275,1.264,1.506,-5.107,0.491,left,bad,سمع
2025-12-19T14:53:30.626084,0.154,-0.252,1.237,0.468,-1.016,2.414,left,bad,سمع
2025-12-19T14:53:30.713259,0.184,-0.251,1.28,-2.937,-1.642,1.147,left,bad,سمع
2025-12-19T14:53:30.805902,0.092,-0.292,1.143,7.201,-0.115,-2.853,left,bad,سمع
2025-12-19T14:53:30.868112,0.357,-0.251,1.056,-0.57,7.946,-22.838,left,bad,سمع
2025-12-19T14:53:30.934620,0.169,-0.285,1.406,3.796,-9.52,-5.509,left,bad,سمع
2025-12-19T14:53:31.175433,0.201,-0.272,1.3,13.094,-9.443,14.307,left,bad,سمع
2025-12-19T14:53:31.247052,0.144,-0.266,1.241,-14.387,3.137,-4.319,left,bad,سمع
2025-12-19T14:53:31.316868,0.355,-0.297,1.245,17.873,-3.382,-5.357,left,bad,سمع
2025-12-19T14:53:31.453678,0.205,-0.262,1.307,2.499,-19.855,-22.12,left,bad,سمع
2025-12-19T14:53:31.525457,0.256,-0.305,1.491,-27.318,9.824,-12.12,left,bad,سمع
2025-12-19T14:53:31.624566,0.3,-0.28,1.223,-3.669,3.946,-5.296,left,bad,سمع
2025-12-19T14:53:31.727065,0.146,-0.265,1.247,6.682,-7.245,-6.731,left,bad,سمع
2025-12-19T14:53:31.785716,0.343,-0.272,1.078,12.132,5.122,6.75,left,bad,سمع
2025-12-19T14:53:31.932549,0.263,-0.302,1.352,17.094,3.015,12.307,left,bad,سمع
2025-12-19T14:53:32.001350,0.102,-0.354,1.227,-6.326,25.274,13.803,left,bad,سمع
2025-12-19T14:53:32.063176,0.246,-0.277,1.2,4.285,-9.535,4.933,left,bad,سمع
2025-12-19T14:53:32.129149,0.248,-0.277,1.2,2.605,-9.81,1.803,left,bad,سمع
2025-12-19T14:53:32.327884,0.156,-0.27,1.253,-6.799,0.251,-2.731,left,bad,سمع
2025-12-19T14:53:32.443789,0.248,-0.284,1.248,1.689,-5.855,-0.96,left,bad,سمع
2025-12-19T14:53:32.546977,0.262,-0.255,1.184,4.56,-17.321,-11.983,left,bad,سمع
2025-12-19T14:53:32.686917,0.16,-0.287,1.271,5.033,-7.107,2.124,left,bad,سمع
2025-12-19T14:53:32.758067,0.139,-0.31,1.252,12.208,-30.146,-9.387,left,bad,سمع
2025-12-19T14:53:32.854177,0.411,-0.304,1.249,-19.089,-3.474,-34.395,left,bad,سمع
2025-12-19T14:53:32.919520,0.432,-0.322,1.384,-9.898,-16.512,-13.067,left,bad,سمع
2025-12-19T14:53:32.980798,0.41,-0.284,1.103,-4.051,-24.375,1.223,left,bad,سمع
2025-12-19T14:53:33.317843,0.121,-0.249,1.2,-27.7,29.793,-2.578,left,bad,سمع
2025-12-19T14:53:33.384091,0.303,-0.302,1.218,1.873,14.633,7.712,left,bad,سمع
2025-12-19T14:53:33.509881,0.229,-0.295,1.269,11.14,-7.321,4.353,left,bad,سمع
2025-12-19T14:53:33.579008,0.314,-0.294,1.29,13.857,-21.489,-17.326,left,bad,سمع
2025-12-19T14:53:33.641825,0.32,-0.314,1.249,-4.57,6.16,-22.364,left,bad,سمع
2025-12-19T14:53:33.720879,0.469,-0.345,1.156,6.193,-4.375,-6.822,left,bad,سمع
2025-12-19T14:53:33.906264,0.19,-0.335,1.341,16.59,5.244,-0.838,left,bad,سمع
2025-12-19T14:53:33.970348,0.253,-0.333,1.353,6.361,25.564,-4.517,left,bad,سمع
2025-12-19T14:53:34.031847,0.479,-0.366,1.306,3.033,12.358,12.078,left,bad,سمع
2025-12-19T14:53:34.098740,0.076,-0.371,1.195,-22.173,34.74,6.735,left,bad,سمع
2025-12-19T14:53:34.296525,0.112,-0.413,1.421,-13.746,-4.008,48.567,left,bad,سمع
2025-12-19T14:53:34.357711,0.02,-0.194,1.233,-5.898,-19.52,27.971,left,bad,سمع
2025-12-19T14:53:34.422269,0.204,-0.244,1.239,-12.937,0.282,-2.517,left,bad,سمع
