timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T14:52:40.772836,0.261,-0.236,1.082,-0.433,-2.649,-1.387,left,bad,سلام
2025-12-19T14:52:40.843217,0.257,-0.244,1.088,0.285,-5.657,-1.051,left,bad,سلام
2025-12-19T14:52:40.966661,0.225,-0.228,1.108,0.926,3.061,-5.952,left,bad,سلام
2025-12-19T14:52:41.039107,0.277,-0.25,1.119,6.285,-0.878,-4.7,left,bad,سلام
2025-12-19T14:52:41.101179,0.272,-0.244,1.07,11.216,-15.428,0.72,left,bad,سلام
2025-12-19T14:52:41.177487,0.297,-0.257,1.117,6.865,-0.817,-3.571,left,bad,سلام
2025-12-19T14:52:41.241843,0.296,-0.242,1.003,18.88,-22.817,6.017,left,bad,سلام
2025-12-19T14:52:41.426294,0.295,-0.271,1.123,2.651,-19.718,-11.464,left,bad,سلام
2025-12-19T14:52:41.549949,0.251,-0.262,1.186,-2.57,-4.955,3.254,left,bad,سلام
2025-12-19T14:52:41.623038,0.236,-0.276,1.191,9.949,-21.336,0.139,left,bad,سلام
2025-12-19T14:52:41.683801,0.401,-0.314,1.297,-1.105,2.603,-10.502,left,bad,سلام
2025-12-19T14:52:41.752872,0.19,-0.275,1.313,-0.937,-3.978,-1.051,left,bad,سلام
2025-12-19T14:52:41.947872,0.275,-0.288,1.169,-1.639,0.358,-7.387,left,bad,سلام
2025-12-19T14:52:42.063574,0.256,-0.277,1.21,7.46,-7.626,-2.181,left,bad,سلام
2025-12-19T14:52:42.127693,0.284,-0.284,1.222,5.674,-4.955,3.101,left,bad,سلام
2025-12-19T14:52:42.188617,0.319,-0.291,1.216,-10.753,0.297,-5.647,left,bad,سلام
2025-12-19T14:52:42.252236,0.237,-0.288,1.266,-3.822,-2.191,0.735,left,bad,سلام
2025-12-19T14:52:42.446521,0.284,-0.293,1.176,-0.387,5.916,-5.219,left,bad,سلام
2025-12-19T14:52:42.523807,0.022,-0.327,1.434,18.193,-11.855,-9.189,left,bad,سلام
2025-12-19T14:52:42.593831,0.318,-0.297,1.266,3.689,4.557,-1.632,left,bad,سلام
2025-12-19T14:52:42.664245,0.319,-0.305,1.23,2.376,-12.802,2.323,left,bad,سلام
2025-12-19T14:52:42.727223,0.336,-0.289,1.224,-9.929,-7.0,-2.899,left,bad,سلام
2025-12-19T14:52:42.915222,0.33,-0.265,1.21,-3.288,-8.527,-1.968,left,bad,سلام
2025-12-19T14:52:42.982617,0.338,-0.308,1.105,-1.028,2.175,4.994,left,bad,سلام
2025-12-19T14:52:43.089414,0.26,-0.303,1.312,-3.578,0.801,2.368,left,bad,سلام
2025-12-19T14:52:43.150455,0.318,-0.3,1.207,-5.41,3.32,-5.586,left,bad,سلام
2025-12-19T14:52:43.290330,0.206,-0.305,1.293,5.537,-5.275,-1.433,left,bad,سلام
2025-12-19T14:52:43.357077,0.271,-0.297,1.181,2.59,1.076,-4.792,left,bad,سلام
2025-12-19T14:52:43.419913,0.294,-0.303,1.262,-3.822,5.198,-7.662,left,bad,سلام
2025-12-19T14:52:43.483348,0.277,-0.308,1.272,0.392,1.427,-5.662,left,bad,سلام
