timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T15:04:11.825831,0.731,-0.318,1.142,-3.334,-3.993,6.658,left,bad,طالب
2025-12-19T15:04:11.949160,0.746,-0.313,1.149,7.43,-30.191,15.254,left,bad,طالب
2025-12-19T15:04:12.019160,0.712,-0.358,1.125,0.239,-12.237,0.277,left,bad,طالب
2025-12-19T15:04:12.081064,0.701,-0.305,1.186,-0.83,-11.199,0.124,left,bad,طالب
2025-12-19T15:04:12.148883,0.695,-0.35,1.214,-8.799,-7.55,6.17,left,bad,طالب
2025-12-19T15:04:12.461163,0.694,-0.305,1.004,-2.677,-2.588,1.971,left,bad,طالب
2025-12-19T15:04:12.595824,0.712,-0.315,1.005,-1.272,-18.665,-1.082,left,bad,طالب
2025-12-19T15:04:12.768444,0.657,-0.323,1.04,4.437,-4.817,3.788,left,bad,طالب
2025-12-19T15:04:12.847105,0.643,-0.317,1.05,-7.288,-1.978,-3.937,left,bad,طالب
2025-12-19T15:04:13.030085,0.63,-0.32,1.001,-2.921,5.473,0.384,left,bad,طالب
2025-12-19T15:04:13.091357,0.61,-0.324,1.005,4.987,5.015,1.025,left,bad,طالب
2025-12-19T15:04:13.177439,0.585,-0.277,1.096,2.483,-4.97,18.674,left,bad,طالب
2025-12-19T15:04:13.279979,0.461,-0.34,1.158,9.018,-16.802,3.376,left,bad,طالب
2025-12-19T15:04:13.418552,0.736,-0.31,1.007,6.285,-16.894,-1.174,left,bad,طالب
2025-12-19T15:04:13.587887,0.468,-0.232,1.083,5.857,-4.1,-6.242,left,bad,طالب
2025-12-19T15:04:13.792227,0.706,-0.365,1.054,-4.082,14.038,-12.395,left,bad,طالب
2025-12-19T15:04:13.863410,0.618,-0.352,1.085,-7.196,-3.947,2.277,left,bad,طالب
2025-12-19T15:04:13.940711,0.699,-0.339,1.134,7.949,-2.649,1.132,left,bad,طالب
2025-12-19T15:04:14.099746,0.699,-0.354,1.096,-0.814,-3.55,-0.181,left,bad,طالب
2025-12-19T15:04:14.169955,0.72,-0.345,1.193,0.376,-1.81,1.788,left,bad,طالب
2025-12-19T15:04:14.233032,0.653,-0.334,1.053,-5.379,5.977,1.849,left,bad,طالب
2025-12-19T15:04:14.306763,0.711,-0.32,1.247,-8.204,5.061,7.04,left,bad,طالب
2025-12-19T15:04:14.406438,0.654,-0.317,1.274,-9.135,0.969,0.46,left,bad,طالب
2025-12-19T15:04:14.508761,0.779,-0.388,1.322,-0.356,-0.634,-1.662,left,bad,طالب
2025-12-19T15:04:14.652129,0.639,-0.351,1.164,4.224,-2.375,-9.326,left,bad,طالب
2025-12-19T15:04:14.719178,0.787,-0.215,1.195,11.781,-14.649,-15.342,left,bad,طالب
2025-12-19T15:04:14.781271,0.773,-0.207,1.099,-2.418,-10.268,5.62,left,bad,طالب
2025-12-19T15:04:14.968198,0.722,-0.293,1.171,0.01,-3.901,3.468,left,bad,طالب
2025-12-19T15:04:15.031401,0.573,-0.446,1.174,-11.639,-2.894,0.765,left,bad,طالب
2025-12-19T15:04:15.091632,0.691,-0.295,1.122,8.85,0.175,0.826,left,bad,طالب
2025-12-19T15:04:15.155920,0.501,-0.323,0.829,-3.929,-8.252,12.277,left,bad,طالب
2025-12-19T15:04:15.358403,0.827,-0.356,1.052,10.728,-2.848,6.323,left,bad,طالب
2025-12-19T15:04:15.473566,0.786,-0.34,0.907,5.369,-6.023,-3.601,left,bad,طالب
2025-12-19T15:04:15.635597,0.647,-0.314,1.055,-7.731,3.656,-7.616,left,bad,طالب
2025-12-19T15:04:15.737705,0.232,-0.278,1.063,16.743,-23.749,17.193,left,bad,طالب
2025-12-19T15:04:15.884751,0.562,-0.293,1.171,5.033,-28.466,-3.174,left,bad,طالب
2025-12-19T15:04:15.954000,0.648,-0.369,1.023,-10.479,23.625,-11.723,left,bad,طالب
2025-12-19T15:04:16.025441,0.661,-0.259,1.278,-0.494,17.931,5.697,left,bad,طالب
2025-12-19T15:04:16.087503,0.742,-0.191,1.135,-7.486,15.167,27.758,left,bad,طالب
2025-12-19T15:04:16.270459,0.613,-0.604,1.323,-19.349,17.213,-36.96,left,bad,طالب
2025-12-19T15:04:16.377960,0.65,-0.407,1.195,-3.166,23.916,-50.853,left,bad,طالب
2025-12-19T15:04:16.451917,0.812,-0.183,1.191,0.117,14.618,2.491,left,bad,طالب
2025-12-19T15:04:16.517443,0.598,-0.512,1.021,1.567,-3.535,12.063,left,bad,طالب
