timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T21:05:20.334729,-0.356,-0.709,0.661,-0.346,1.38,0.488,left,good,استيقظ
2025-12-16T21:05:20.398311,-0.349,-0.712,0.653,0.067,-1.826,0.183,left,good,استيقظ
2025-12-16T21:05:20.530647,-0.343,-0.726,0.656,-1.231,-3.78,0.656,left,good,استيقظ
2025-12-16T21:05:20.698003,-0.34,-0.714,0.641,-0.895,-2.162,-0.092,left,good,استيقظ
2025-12-16T21:05:20.902365,-0.329,-0.703,0.62,0.479,-10.483,1.587,left,good,استيقظ
2025-12-16T21:05:21.079706,-0.325,-0.714,0.662,3.09,1.548,0.595,left,good,استيقظ
2025-12-16T21:05:21.157631,-0.325,-0.714,0.64,-0.04,-8.055,-0.367,left,good,استيقظ
2025-12-16T21:05:21.311813,-0.331,-0.715,0.634,4.372,-5.735,-0.199,left,good,استيقظ
2025-12-16T21:05:21.520328,-0.324,-0.717,0.631,11.822,1.304,7.16,left,good,استيقظ
2025-12-16T21:05:21.738154,-0.417,-0.715,0.687,-10.055,33.472,-3.772,left,good,استيقظ
2025-12-16T21:05:21.870091,-0.254,-0.714,0.492,-8.269,-25.704,-24.688,left,good,استيقظ
2025-12-16T21:05:21.975176,-0.406,-0.707,0.642,11.334,-9.353,10.045,left,good,استيقظ
2025-12-16T21:05:22.132138,-0.407,-0.765,0.719,16.601,16.174,23.251,left,good,استيقظ
2025-12-16T21:05:22.317047,-0.462,-0.76,0.793,-6.819,33.151,-17.069,left,good,استيقظ
2025-12-16T21:05:22.445518,-0.457,-0.72,0.755,-2.62,1.334,19.053,left,good,استيقظ
2025-12-16T21:05:22.551124,-0.498,-0.748,0.772,6.784,6.235,4.87,left,good,استيقظ
2025-12-16T21:05:22.677208,-0.396,-0.736,0.692,1.761,16.907,-2.611,left,good,استيقظ
2025-12-16T21:05:22.861565,-0.504,-0.774,0.784,-3.43,14.907,17.16,left,good,استيقظ
2025-12-16T21:05:23.021019,-0.422,-0.761,0.803,0.723,6.357,3.679,left,good,استيقظ
2025-12-16T21:05:23.127266,-0.685,-0.723,0.683,-4.895,7.746,6.915,left,good,استيقظ
2025-12-16T21:05:23.480971,-0.32,-0.725,0.682,2.128,0.51,8.671,left,good,استيقظ
2025-12-16T21:05:23.604423,-0.574,-0.76,0.849,-7.567,12.113,-2.962,left,good,استيقظ
2025-12-16T21:05:23.775161,-0.458,-0.755,0.943,-23.521,12.113,23.389,left,good,استيقظ
2025-12-16T21:05:23.871928,-0.36,-0.7,0.697,32.265,-10.162,-20.504,left,good,استيقظ
2025-12-16T21:05:24.103646,-0.594,-0.782,0.945,-0.055,17.746,5.19,left,good,استيقظ
2025-12-16T21:05:24.350261,-0.57,-0.834,0.748,25.364,15.502,39.328,left,good,استيقظ
