timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T21:54:47.773568,-0.166,-0.179,0.98,6.837,3.718,-3.077,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:47.835582,-0.173,-0.172,0.985,4.089,-2.923,-3.413,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:47.900999,-0.177,-0.181,0.996,3.554,-1.976,-4.39,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.020512,-0.177,-0.172,0.992,5.905,3.367,-4.589,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.157168,-0.2,-0.172,0.912,7.524,1.001,-1.993,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.222327,-0.2,-0.185,0.976,7.646,11.321,-6.146,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.296989,-0.179,-0.177,0.978,10.089,14.314,-3.474,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.368959,-0.169,-0.179,0.958,13.127,13.718,-2.314,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.634520,-0.24,-0.163,0.944,-31.056,1.321,-11.551,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.737031,-0.145,-0.267,1.08,-1.85,18.649,-24.68,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.801441,-0.145,-0.16,0.93,16.44,0.924,-3.459,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:48.859991,-0.126,-0.167,0.917,15.646,18.207,4.205,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.198013,-0.23,-0.202,1.048,18.944,47.123,5.671,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.267110,-0.097,-0.192,1.149,2.486,28.726,9.808,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.328986,-0.318,-0.193,1.119,-3.575,30.909,27.396,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.399076,-0.548,-0.156,1.172,2.531,13.627,-22.619,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.592275,-0.165,-0.175,1.011,30.089,33.382,42.358,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.670309,-0.414,-0.23,1.266,10.745,27.352,-7.428,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.786484,-0.067,-0.24,1.127,-13.896,31.291,4.526,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.854766,-0.283,-0.343,1.342,-8.232,66.344,22.877,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:49.915672,-0.38,-0.223,1.049,-7.255,-30.831,-35.261,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.125136,-0.254,-0.197,1.17,38.684,29.321,43.457,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.203201,-0.296,-0.222,1.002,-14.11,43.443,-0.894,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.270619,-0.524,-0.21,0.922,-29.072,-1.045,-45.062,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.336372,-0.062,-0.149,1.048,-1.117,-22.419,-29.657,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.580765,-0.399,-0.219,1.166,10.287,29.123,-2.238,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.651642,-0.18,-0.246,1.192,-2.247,18.634,-0.497,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.723012,-0.261,-0.364,1.132,-7.377,-17.351,26.449,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.890086,-0.197,-0.289,1.135,-13.85,-19.946,-0.467,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:50.957855,-0.645,-0.251,1.35,24.409,4.573,-21.108,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:51.019636,-0.265,-0.199,1.042,0.76,0.344,-46.345,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:51.218544,-0.359,-0.296,1.364,46.592,32.512,38.678,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:51.278842,-0.335,-0.225,1.158,-29.774,-5.656,-41.581,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:51.354953,-0.118,-0.219,1.255,-5.82,-25.289,-30.177,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:51.425457,-0.632,-0.278,1.49,21.936,38.97,38.556,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:51.706664,-0.206,-0.16,1.024,-3.621,4.314,15.167,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:51.857194,-0.238,-0.212,1.067,12.898,16.268,9.304,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.014215,-0.244,-0.23,1.078,-5.56,8.298,-11.902,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.079278,-0.725,-0.36,0.872,-7.621,-9.137,29.213,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.142130,-0.66,-0.178,0.825,56.577,17.688,-8.238,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.210753,-0.432,-0.368,1.272,-5.316,26.711,-116.1,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.432705,-0.044,-0.306,0.19,2.547,4.115,-61.184,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.503111,0.023,-0.053,0.921,42.348,-43.366,1.488,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.577702,-0.328,0.001,1.285,31.325,-21.625,-4.757,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:52.648857,-0.378,-0.274,1.431,32.348,21.962,6.77,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.038193,-0.281,-0.215,1.136,9.967,-9.381,-5.215,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.172877,-0.325,-0.215,0.946,14.837,-1.412,-6.757,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.245879,-0.521,-0.199,1.391,-3.56,46.237,-5.291,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.314037,0.024,-0.296,1.099,-13.484,0.436,-32.161,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.450970,-0.409,-0.318,0.939,25.753,-10.999,-9.902,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.587286,-0.336,-0.281,1.049,30.867,24.375,41.091,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.754597,-0.182,-0.218,1.081,2.425,25.001,-25.215,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.857021,-0.437,-0.203,1.188,-11.835,9.642,17.93,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.924730,0.018,-0.328,1.237,-0.018,-35.717,-59.322,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:53.991459,-0.036,-0.105,1.007,19.218,4.649,35.747,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:54.097043,-0.346,-0.271,1.056,27.585,38.207,51.091,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:54.170241,-0.385,-0.237,1.054,1.234,40.008,-25.413,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:54.381833,-0.148,-0.236,1.095,-2.507,32.253,-29.23,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:54.487794,-0.028,-0.144,1.084,13.218,-39.564,-33.81,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:54.676558,-0.58,-0.266,1.199,25.279,25.352,35.793,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:54.785164,-0.198,-0.35,1.546,-9.942,5.794,25.533,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:54.934326,0.255,-0.099,0.912,6.409,34.802,33.793,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:55.214431,-0.096,-0.236,0.98,15.218,25.459,32.281,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:55.281844,-0.058,-0.145,0.995,28.394,17.443,44.22,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:55.354443,-0.59,-0.292,1.305,16.592,21.84,12.175,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:55.450305,-0.437,-0.272,1.055,10.272,-0.541,21.136,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:55.547824,-0.144,-0.309,1.194,5.157,44.878,-28.65,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:55.700131,-0.174,-0.299,1.042,-33.117,-4.129,-5.077,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:55.825607,-0.051,-0.111,0.571,30.867,-7.534,-7.306,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.007834,-0.283,-0.256,1.12,13.508,-4.725,-67.428,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.065997,-0.175,-0.284,1.167,36.944,38.863,30.739,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.130343,-0.471,-0.271,1.242,-26.003,-8.602,-35.367,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.417921,-0.204,-0.466,0.633,-23.408,-16.755,-62.039,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.500623,-0.3,-0.12,1.38,15.188,-4.144,-1.642,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.571247,0.059,-0.305,1.239,6.379,-0.068,-31.245,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.631481,-0.237,-0.304,1.134,6.898,2.42,-15.032,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:56.928922,-0.15,-0.182,1.013,19.631,7.596,17.808,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.059190,-0.118,-0.249,1.049,-4.4,45.138,-27.276,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.126076,-0.24,-0.192,1.295,-21.743,10.619,51.503,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.194567,-0.598,-0.231,1.179,5.493,-21.06,-42.253,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.270752,-0.072,-0.172,1.109,23.341,-53.931,-74.864,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.600562,-0.525,-0.277,1.452,-17.682,41.733,-19.81,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.748324,-0.219,-0.164,1.207,29.081,18.207,39.976,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.814598,-0.228,-0.229,1.18,4.974,0.375,-28.94,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:57.877557,-0.164,-0.222,1.122,8.455,4.619,-11.596,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.092932,-0.234,-0.195,1.171,12.104,16.512,11.64,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.161125,-0.387,-0.218,1.278,19.57,37.352,17.701,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.293246,-0.161,-0.232,1.216,-2.171,30.191,-11.978,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.369712,-0.122,-0.272,1.403,-4.171,20.13,24.281,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.465404,-0.53,-0.19,1.221,-9.972,-25.183,-70.07,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.542311,-0.001,-0.12,1.115,7.799,33.611,27.06,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.619514,-0.448,-0.252,1.279,1.89,3.581,0.846,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.690562,-0.607,-0.216,1.099,5.203,-13.686,-36.726,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.758086,0.024,-0.14,1.031,16.058,23.917,38.297,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:58.939104,0.09,-0.095,0.982,25.829,-22.572,1.778,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.080797,-0.11,-0.209,1.084,37.997,-0.343,52.633,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.145959,-0.69,-0.207,1.254,6.623,44.344,-19.642,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.210008,-0.094,-0.258,1.119,-12.675,30.359,5.976,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.409531,-0.254,-0.26,1.175,-3.667,28.726,-6.345,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.477165,-1.073,-0.127,1.283,-31.606,-14.709,12.51,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.608098,-0.538,-0.16,1.04,20.989,-103.992,-129.245,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.693966,-0.344,-0.298,1.138,22.608,30.146,67.9,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.802386,-0.557,-0.252,1.249,-0.751,31.764,-4.177,left,good,الكتاب صديق لا يمل
2025-12-16T21:54:59.937217,-0.5,-0.231,1.163,-19.255,42.848,-35.444,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.007163,-0.165,-0.28,1.203,-21.972,24.573,1.808,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.084896,-0.335,-0.185,1.409,-56.736,-70.358,80.327,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.172053,-0.294,-0.235,0.758,56.76,-11.564,12.694,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.239029,-0.628,-0.289,1.344,14.928,43.428,-97.383,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.564777,-0.373,-0.254,1.09,4.821,0.176,-0.375,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.631511,-0.315,-0.247,1.104,4.196,3.611,-5.016,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.760010,-0.303,-0.247,1.083,4.989,6.497,-5.444,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.821024,-0.268,-0.234,1.038,5.921,4.604,-6.497,left,good,الكتاب صديق لا يمل
2025-12-16T21:55:00.884217,-0.292,-0.239,1.071,8.226,8.329,-5.581,left,good,الكتاب صديق لا يمل
