timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-31T22:06:51.977368,-0.455,-0.631,0.825,-2.62,-5.603,0.78,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.048433,-0.479,-0.634,0.782,4.784,5.527,1.177,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.123775,-0.482,-0.693,0.895,17.38,12.077,3.146,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.271702,-0.527,-0.64,0.698,8.036,11.206,0.474,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.477309,-0.484,-0.66,0.899,2.54,7.649,-1.144,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.556924,-0.467,-0.654,0.846,0.449,0.81,-0.304,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.632093,-0.442,-0.686,0.886,0.311,5.771,2.047,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.711737,-0.52,-0.699,0.86,5.807,10.703,15.864,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.789025,-0.621,-0.679,0.86,5.41,17.71,8.932,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:52.857638,-0.585,-0.712,1.05,-8.025,-18.519,-3.113,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.046777,-0.467,-0.651,0.823,18.235,28.092,2.337,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.130527,-0.437,-0.672,0.939,11.151,20.55,1.757,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.294509,-0.46,-0.691,0.912,8.128,18.214,10.032,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.363185,-0.534,-0.694,0.903,8.235,12.779,6.994,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.499089,-0.494,-0.753,1.11,3.09,-27.801,-4.35,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.603121,-0.404,-0.651,0.897,14.632,10.794,7.864,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.807098,-0.476,-0.724,1.047,5.487,9.817,3.849,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:53.890848,-0.421,-0.63,0.932,-7.246,11.237,12.551,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.011624,-0.678,-0.707,1.047,10.006,-16.168,9.238,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.216467,-0.358,-0.595,0.832,-12.315,-33.267,-24.365,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.320178,-0.526,-0.722,0.972,0.113,20.046,12.291,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.421131,-0.496,-0.69,0.945,10.8,3.939,11.864,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.504714,-0.437,-0.703,1.029,12.204,3.802,-4.014,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.629050,-0.494,-0.703,1.101,0.006,3.726,-8.945,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.703685,-0.326,-0.83,0.995,-9.979,-56.565,-19.724,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.830676,-0.491,-0.537,0.685,-3.063,-13.16,6.841,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.906509,-0.525,-0.708,1.023,14.769,18.123,10.688,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:54.983696,-0.388,-0.785,0.801,8.204,19.084,16.062,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.137431,-0.581,-0.644,1.127,11.991,8.962,12.2,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.215933,-0.431,-0.732,1.065,1.09,11.497,-0.655,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.294747,-0.419,-0.733,0.986,13.304,-3.481,4.047,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.389363,-0.377,-0.711,1.012,16.54,-8.076,-6.9,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.458274,-0.607,-0.762,1.259,-30.254,17.466,-29.144,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.530475,-0.365,-0.615,0.843,-59.353,-87.206,-7.022,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.752200,0.003,-0.722,1.029,-76.529,-58.839,-29.434,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:55.854668,-0.749,-0.483,0.304,-35.292,-22.687,13.223,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:56.061723,-0.524,-0.698,0.803,-10.513,4.321,4.291,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:56.162952,-0.559,-0.677,0.841,6.891,0.245,4.108,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:56.263939,-0.512,-0.704,0.899,25.853,24.81,5.543,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:56.471756,-0.575,-0.715,0.873,11.746,26.932,2.2,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:56.577286,-0.544,-0.529,0.513,-8.071,5.39,6.765,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:56.780256,-0.524,-0.793,1.29,-4.3,-5.786,3.268,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:56.982312,-0.535,-0.564,0.754,-24.849,-53.664,-34.503,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.083778,-0.447,-0.699,1.019,5.105,-0.473,-1.006,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.189787,-0.449,-0.7,0.83,17.731,1.848,3.299,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.390577,-0.612,-0.674,1.065,-10.666,12.382,5.299,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.495016,-0.525,-0.737,1.335,26.54,0.229,8.719,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.578310,-0.631,-0.724,0.986,5.227,6.855,-0.442,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.657814,-0.467,-0.775,1.05,19.67,-21.954,7.436,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.902347,-0.374,-0.825,1.274,-9.78,-12.137,6.322,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:57.987311,-0.37,-0.726,1.149,27.487,11.497,8.047,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:58.068237,-0.343,-0.636,0.943,-18.223,-29.068,-8.319,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:58.209960,-0.539,-0.69,1.033,26.449,15.298,16.81,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:58.312016,-0.439,-0.718,0.923,24.632,0.825,9.1,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:58.389935,-0.307,-0.77,1.296,24.662,5.191,-10.228,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:58.619893,-0.205,-0.813,1.21,-30.559,11.222,-8.716,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:58.722811,-0.34,-0.545,0.403,-67.689,-67.939,-24.564,left,good,الطالب يكتب درسه في الدفتر
2025-12-31T22:06:58.802936,-0.96,-0.518,-0.402,-16.849,5.405,11.91,left,good,الطالب يكتب درسه في الدفتر
