timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-31T22:02:11.420575,-1.264,-0.615,1.753,0.998,0.519,-1.006,left,good,لغة
2025-12-31T22:02:11.608135,-1.304,-0.624,1.792,-4.025,5.039,0.459,left,good,لغة
2025-12-31T22:02:11.680802,-1.391,-0.624,1.67,-3.719,13.222,2.642,left,good,لغة
2025-12-31T22:02:11.750990,-1.3,-0.634,1.755,-4.437,16.413,2.734,left,good,لغة
2025-12-31T22:02:11.903420,-1.315,-0.632,1.795,-4.696,8.81,-3.464,left,good,لغة
2025-12-31T22:02:11.978393,-1.196,-0.612,1.613,-5.414,3.023,-5.281,left,good,لغة
2025-12-31T22:02:12.059085,-1.181,-0.624,1.546,-2.345,7.069,4.459,left,good,لغة
2025-12-31T22:02:12.147545,-1.403,-0.672,1.751,-5.216,-0.992,-3.327,left,good,لغة
2025-12-31T22:02:12.217507,-1.356,-0.663,1.724,-4.162,6.703,3.94,left,good,لغة
2025-12-31T22:02:12.315338,-1.297,-0.657,1.695,-6.758,0.367,6.23,left,good,لغة
2025-12-31T22:02:12.388891,-1.348,-0.654,1.668,-10.009,4.519,4.734,left,good,لغة
2025-12-31T22:02:12.519705,-1.341,-0.648,1.654,-10.04,5.573,9.329,left,good,لغة
2025-12-31T22:02:12.590385,-1.446,-0.647,1.695,4.006,-20.824,6.383,left,good,لغة
2025-12-31T22:02:12.657442,-1.477,-0.675,1.821,1.151,4.581,6.123,left,good,لغة
2025-12-31T22:02:12.735780,-1.343,-0.663,1.744,5.563,-6.931,0.215,left,good,لغة
2025-12-31T22:02:12.808601,-1.318,-0.638,1.716,1.624,-4.58,-3.526,left,good,لغة
2025-12-31T22:02:12.999811,-1.304,-0.646,1.747,-2.788,-2.977,0.398,left,good,لغة
2025-12-31T22:02:13.074186,-1.312,-0.657,1.718,-3.948,9.344,-1.541,left,good,لغة
2025-12-31T22:02:13.141067,-1.295,-0.629,1.68,-8.849,16.077,-0.655,left,good,لغة
2025-12-31T22:02:13.211390,-1.285,-0.637,1.46,-11.765,7.68,-0.533,left,good,لغة
2025-12-31T22:02:13.284041,-1.32,-0.67,1.708,-8.574,0.703,6.536,left,good,لغة
2025-12-31T22:02:13.643898,-1.345,-0.639,1.592,4.891,-3.313,9.1,left,good,لغة
2025-12-31T22:02:13.716386,-1.28,-0.633,1.594,-5.765,-6.397,2.123,left,good,لغة
2025-12-31T22:02:13.795805,-1.434,-0.691,1.747,-17.597,0.84,12.078,left,good,لغة
2025-12-31T22:02:13.858841,-1.41,-0.636,1.591,-3.735,-2.442,-6.747,left,good,لغة
2025-12-31T22:02:14.049146,-1.357,-0.56,1.871,49.975,-89.206,-1.052,left,good,لغة
2025-12-31T22:02:14.124935,-1.294,-0.573,1.836,15.929,6.153,3.238,left,good,لغة
2025-12-31T22:02:14.360247,-1.212,-0.633,1.813,-16.132,35.023,0.841,left,good,لغة
2025-12-31T22:02:14.428084,-1.176,-0.724,1.723,1.441,-35.007,8.444,left,good,لغة
2025-12-31T22:02:14.563840,-1.219,-0.519,1.976,-6.956,-17.328,14.963,left,good,لغة
2025-12-31T22:02:14.670096,-1.336,-0.63,1.73,-2.269,6.443,-0.961,left,good,لغة
2025-12-31T22:02:14.738121,-1.34,-0.622,1.761,-6.803,14.199,-1.037,left,good,لغة
2025-12-31T22:02:14.801085,-1.301,-0.65,1.77,-7.46,13.97,0.413,left,good,لغة
2025-12-31T22:02:14.974410,-1.386,-0.627,1.64,-5.536,9.039,4.566,left,good,لغة
2025-12-31T22:02:15.046437,-1.355,-0.611,1.719,-5.964,10.871,1.146,left,good,لغة
2025-12-31T22:02:15.180177,-1.341,-0.632,1.728,-2.544,1.39,-1.19,left,good,لغة
2025-12-31T22:02:15.254874,-1.379,-0.63,1.714,-6.009,5.39,-0.411,left,good,لغة
2025-12-31T22:02:15.487398,-1.288,-0.641,1.76,-5.231,9.359,3.009,left,good,لغة
2025-12-31T22:02:15.694512,-1.375,-0.649,1.712,1.914,-0.488,0.932,left,good,لغة
2025-12-31T22:02:15.767346,-1.319,-0.645,1.687,-1.887,3.726,3.192,left,good,لغة
2025-12-31T22:02:15.841615,-1.344,-0.643,1.688,-3.384,-4.656,-2.808,left,good,لغة
2025-12-31T22:02:15.998080,-1.37,-0.645,1.703,2.372,1.313,-0.961,left,good,لغة
2025-12-31T22:02:16.108888,-1.403,-0.642,1.69,-0.086,-0.626,-0.609,left,good,لغة
2025-12-31T22:02:16.208399,-1.394,-0.664,1.65,2.968,-9.221,-1.693,left,good,لغة
