timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T21:07:30.757314,-0.435,-0.729,0.861,0.632,0.006,-0.184,left,good,محمد
2025-12-16T21:07:30.838403,-0.414,-0.729,0.849,-0.513,-1.506,0.335,left,good,محمد
2025-12-16T21:07:30.953560,-0.427,-0.736,0.851,-0.834,-2.284,0.534,left,good,محمد
2025-12-16T21:07:31.016896,-0.427,-0.723,0.839,1.349,2.097,1.267,left,good,محمد
2025-12-16T21:07:31.078817,-0.422,-0.733,0.859,0.296,0.143,-0.321,left,good,محمد
2025-12-16T21:07:31.156437,-0.42,-0.724,0.851,0.265,1.624,0.259,left,good,محمد
2025-12-16T21:07:31.240186,-0.406,-0.728,0.829,0.433,1.166,-0.062,left,good,محمد
2025-12-16T21:07:31.430566,-0.429,-0.725,0.834,-0.101,-0.086,-0.565,left,good,محمد
2025-12-16T21:07:31.499409,-0.414,-0.727,0.841,1.242,1.319,0.854,left,good,محمد
2025-12-16T21:07:31.566653,-0.416,-0.726,0.832,0.143,-0.025,-0.107,left,good,محمد
2025-12-16T21:07:31.632487,-0.432,-0.729,0.869,-0.422,-0.605,-0.672,left,good,محمد
2025-12-16T21:07:31.875512,-0.471,-0.718,0.892,-6.391,10.983,-6.764,left,good,محمد
2025-12-16T21:07:31.945180,-0.488,-0.653,0.853,-5.491,46.464,10.641,left,good,محمد
2025-12-16T21:07:32.016796,-0.574,-0.684,0.821,5.609,-24.07,1.373,left,good,محمد
2025-12-16T21:07:32.083590,-0.532,-0.739,1.08,12.83,-6.864,6.061,left,good,محمد
2025-12-16T21:07:32.328225,-0.442,-0.733,0.93,-3.063,10.83,0.946,left,good,محمد
2025-12-16T21:07:32.393780,-0.517,-0.809,0.94,-14.804,12.449,11.694,left,good,محمد
2025-12-16T21:07:32.492664,-0.488,-0.777,0.977,-13.872,31.624,24.519,left,good,محمد
2025-12-16T21:07:32.558556,-0.782,-0.675,0.683,-0.865,21.38,5.175,left,good,محمد
2025-12-16T21:07:32.618428,-0.938,-0.651,0.716,19.181,-25.994,-62.199,left,good,محمد
2025-12-16T21:07:33.002491,-0.409,-0.715,0.926,-7.857,-27.903,8.015,left,good,محمد
2025-12-16T21:07:33.064476,-0.539,-0.793,1.095,5.456,30.861,31.755,left,good,محمد
2025-12-16T21:07:33.132814,-0.602,-0.679,0.905,9.792,-10.33,2.381,left,good,محمد
2025-12-16T21:07:33.309236,-0.659,-0.75,0.999,4.57,10.678,-16.55,left,good,محمد
2025-12-16T21:07:33.378517,-0.475,-0.74,0.92,8.097,3.609,9.511,left,good,محمد
2025-12-16T21:07:33.450598,-0.376,-0.76,0.668,-17.552,10.174,-1.878,left,good,محمد
2025-12-16T21:07:33.521838,-0.549,-0.792,1.058,-23.491,6.617,-0.123,left,good,محمد
2025-12-16T21:07:33.705498,-0.605,-0.752,0.863,-17.582,47.517,17.954,left,good,محمد
2025-12-16T21:07:33.770205,-0.752,-0.77,0.906,4.296,-11.948,-20.55,left,good,محمد
2025-12-16T21:07:33.923769,-0.124,-0.939,1.098,70.174,16.861,-106.168,left,good,محمد
2025-12-16T21:07:33.992926,-0.645,-0.594,0.968,-11.582,-45.933,0.656,left,good,محمد
2025-12-16T21:07:34.055091,-0.145,-0.822,1.148,21.67,5.731,16.198,left,good,محمد
2025-12-16T21:07:34.283115,-0.415,-0.726,0.903,-0.01,1.868,5.19,left,good,محمد
2025-12-16T21:07:34.439164,-0.587,-0.745,0.983,1.548,21.563,-3.314,left,good,محمد
2025-12-16T21:07:34.541035,-0.726,-0.707,1.04,-2.3,30.159,-13.13,left,good,محمد
2025-12-16T21:07:34.761632,-0.522,-0.723,0.925,-16.025,0.128,10.366,left,good,محمد
2025-12-16T21:07:34.898346,-0.538,-0.768,1.12,-5.017,16.785,3.465,left,good,محمد
2025-12-16T21:07:35.064034,-0.395,-0.789,1.083,-14.529,16.693,8.381,left,good,محمد
2025-12-16T21:07:35.278334,-0.096,-0.632,0.816,28.387,-44.803,-52.123,left,good,محمد
2025-12-16T21:07:35.384577,-0.614,-0.767,0.955,-7.888,4.678,8.457,left,good,محمد
2025-12-16T21:07:35.565827,-0.41,-0.75,0.845,-2.544,18.052,32.503,left,good,محمد
2025-12-16T21:07:35.673474,-0.243,-0.809,0.949,3.624,18.174,-7.649,left,good,محمد
2025-12-16T21:07:35.865927,-0.547,-0.766,0.956,-9.307,11.243,3.206,left,good,محمد
2025-12-16T21:07:35.957283,-0.699,-0.766,0.798,-16.117,-2.635,10.595,left,good,محمد
2025-12-16T21:07:36.073994,-0.59,-0.843,0.941,-12.178,12.052,8.366,left,good,محمد
2025-12-16T21:07:36.155333,-0.627,-0.787,0.853,-4.315,3.517,-2.123,left,good,محمد
2025-12-16T21:07:36.347955,-0.518,-0.777,0.92,2.891,-1.246,-1.268,left,good,محمد
2025-12-16T21:07:36.484043,-0.535,-0.768,0.896,-0.62,4.22,-0.55,left,good,محمد
2025-12-16T21:07:36.551772,-0.565,-0.762,0.902,-0.055,-2.467,-2.459,left,good,محمد
