timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:50:42.441398,-0.508,-0.733,0.196,-0.147,1.991,-0.834,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:42.514493,-0.52,-0.729,0.211,-0.254,1.274,-0.132,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:42.590503,-0.52,-0.752,0.214,1.762,2.098,0.616,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:42.656039,-0.523,-0.747,0.22,0.891,2.862,0.128,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:42.863805,-0.522,-0.746,0.214,0.846,-0.1,0.403,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.023514,-0.505,-0.744,0.209,0.296,0.938,0.22,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.114507,-0.516,-0.747,0.214,0.876,0.694,0.449,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.180544,-0.515,-0.753,0.211,0.769,0.816,-0.605,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.316505,-0.506,-0.741,0.213,-0.131,-0.619,-1.093,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.400496,-0.509,-0.739,0.221,0.525,0.404,-0.696,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.471506,-0.5,-0.736,0.211,1.059,0.541,-0.361,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.563558,-0.489,-0.729,0.225,3.884,0.953,-0.864,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.720687,-0.53,-0.754,0.232,15.075,1.365,1.059,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.784281,-0.537,-0.692,0.227,-9.918,-2.848,18.723,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:43.928251,-0.385,-0.763,0.23,-3.551,3.32,10.097,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:44.028285,-0.605,-0.775,0.21,3.517,-15.657,-12.422,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:44.127879,-0.59,-0.772,0.315,4.601,3.533,-8.971,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:44.317592,-0.638,-0.743,0.248,-3.689,-4.955,9.7,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:44.435979,-0.557,-0.764,0.306,7.548,-9.474,-6.635,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:44.550054,-0.572,-0.774,0.27,-1.231,-2.299,-0.803,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:44.712400,-0.513,-0.766,0.234,2.83,-2.1,0.952,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:44.926632,-0.535,-0.79,0.402,17.487,-15.077,-9.75,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.002162,-0.486,-0.761,0.164,-2.895,-10.635,0.036,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.154657,-0.562,-0.873,0.431,-19.979,2.388,-15.307,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.229721,-0.513,-0.861,0.433,15.975,5.32,1.395,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.307084,-0.507,-0.769,0.254,-12.788,10.999,6.158,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.463224,-0.393,-0.825,0.276,-1.673,-6.39,8.907,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.531331,-0.563,-0.732,0.285,3.991,-15.841,-7.765,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.605982,-0.383,-0.784,0.237,-0.498,10.22,-7.78,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.686562,-0.557,-0.763,0.249,4.937,8.785,-15.887,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.752835,-0.285,-0.832,0.279,0.525,-1.871,10.998,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:45.942257,-0.394,-0.81,0.291,13.166,-15.276,-5.719,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.017348,-0.825,-0.67,0.357,9.578,21.411,-34.971,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.106887,-0.361,-0.793,0.316,7.456,6.785,-18.513,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.281210,-0.61,-1.01,0.493,10.632,-18.467,12.113,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.383414,-0.548,-0.749,0.362,16.998,-18.238,-31.292,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.446565,-0.297,-0.886,0.43,-37.841,7.686,17.655,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.510243,-0.538,-0.823,0.28,-65.857,20.984,4.968,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.793409,-0.384,-0.658,0.241,24.846,3.197,19.563,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.865346,-0.871,-0.978,0.441,-21.857,-11.016,-36.193,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:46.938255,-0.479,-0.679,0.035,2.311,-23.032,-10.773,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.100770,-0.414,-0.682,0.246,30.174,-0.604,25.884,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.214741,-0.508,-0.805,0.246,-17.628,-14.39,-45.002,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.417772,-0.689,-0.858,0.62,16.204,-0.146,11.136,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.487741,-0.454,-0.714,0.265,-16.589,64.938,11.12,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.566245,-0.476,-0.824,0.36,6.891,10.465,9.426,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.671374,-0.131,-0.96,0.044,22.449,14.541,2.708,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.734264,-0.533,-0.913,0.275,-15.765,-24.07,8.265,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.859940,-0.294,-0.571,0.104,-0.62,-13.673,-28.406,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:47.922646,-0.382,-0.9,0.364,-31.383,-38.283,18.097,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.024777,-0.413,-0.738,0.406,-40.147,-50.299,-50.788,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.106491,-0.553,-0.575,0.159,23.319,-15.306,17.151,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.179658,-0.642,-0.727,0.056,26.754,24.434,-7.643,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.253284,-0.479,-0.802,0.327,-0.269,-6.497,-6.071,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.485805,-0.753,-0.808,0.333,0.907,-6.36,38.525,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.638470,-0.427,-0.758,0.279,-25.673,8.007,-68.009,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.766392,-0.506,-0.841,0.334,3.991,-1.077,5.349,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.840127,-0.617,-0.73,0.247,1.258,-3.856,-1.155,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.905101,-0.356,-0.816,0.314,-1.078,4.037,-10.956,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:48.971609,-0.542,-0.79,0.309,-1.368,1.9,2.464,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.300002,-0.506,-0.802,0.353,-2.269,-4.207,2.662,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.366932,-0.439,-0.709,0.427,5.884,11.778,-23.384,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.446733,-0.517,-0.826,0.244,0.327,3.747,-10.177,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.520411,-0.466,-0.895,0.296,-75.948,-14.711,4.021,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.671639,-0.418,-0.618,0.04,-23.276,4.709,25.029,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.739036,-0.617,-0.828,0.372,-17.444,0.739,4.891,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.808384,-0.685,-0.928,0.449,-7.735,-8.375,-50.147,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:49.967506,-0.405,-0.592,0.131,21.365,-8.39,17.41,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.082676,-0.746,-0.894,0.502,-13.063,3.03,-35.872,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.147389,-0.143,-0.803,0.233,39.807,2.312,24.403,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.223100,-0.8,-0.801,0.231,-22.07,-15.032,-4.025,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.411724,-0.449,-0.617,0.184,0.372,-19.734,-27.429,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.481799,-0.5,-0.827,0.297,-1.032,1.823,12.616,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.559795,-0.581,-0.724,0.308,15.487,-22.619,-9.277,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.630238,-0.273,-0.761,0.325,3.685,-13.963,-3.704,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:50.697873,-0.63,-0.721,0.344,2.571,2.343,-7.704,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.042040,-0.473,-0.585,0.165,-27.887,-3.703,-5.521,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.113222,-0.258,-0.556,0.337,-5.063,-28.528,-45.536,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.234088,-0.446,-0.611,0.073,24.922,-2.024,29.136,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.300097,-0.467,-0.821,0.351,3.411,-22.803,7.136,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.375395,-0.243,-0.725,0.11,17.64,-30.604,-16.849,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.503291,-0.592,-0.794,0.442,-1.979,35.32,-15.384,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.569753,-0.558,-0.816,0.311,-19.643,4.22,-9.567,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.636750,-0.304,-0.553,0.139,-6.788,15.121,-1.613,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.697499,-0.661,-0.96,0.186,43.105,18.312,59.609,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:51.912025,-0.934,-1.015,0.185,45.319,21.808,29.868,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:52.138521,-0.35,-0.436,-0.218,-50.88,-21.474,26.525,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:52.205625,-0.7,-0.769,0.272,24.143,55.152,51.075,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:52.280649,-0.545,-0.772,0.368,14.159,32.785,10.235,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:52.377029,-0.577,-0.787,0.294,-12.223,4.281,-16.681,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
2025-12-16T20:50:52.527829,-0.497,-0.691,0.208,0.724,2.22,-5.414,left,good,تسجيل البيانات يتم بخط واضح و سرعة ثابتة
