timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:43:29.524218,-0.46,-0.757,0.349,20.83,15.197,8.647,left,good,قلم
2025-12-16T20:43:29.706989,-0.448,-0.75,0.312,-0.895,-2.864,-1.353,left,good,قلم
2025-12-16T20:43:29.799163,-0.458,-0.754,0.333,0.617,-0.68,-0.681,left,good,قلم
2025-12-16T20:43:29.862030,-0.457,-0.747,0.303,1.075,-1.123,1.044,left,good,قلم
2025-12-16T20:43:30.250413,-0.457,-0.751,0.33,0.433,0.098,0.296,left,good,قلم
2025-12-16T20:43:30.317599,-0.461,-0.755,0.322,1.884,0.22,0.632,left,good,قلم
2025-12-16T20:43:30.383871,-0.452,-0.75,0.318,1.685,-0.253,0.815,left,good,قلم
2025-12-16T20:43:30.557543,-0.452,-0.74,0.299,13.105,1.152,11.67,left,good,قلم
2025-12-16T20:43:30.624819,-0.573,-0.733,0.288,2.128,9.823,-6.3,left,good,قلم
2025-12-16T20:43:30.689515,-0.405,-0.782,0.345,-7.093,12.327,-6.88,left,good,قلم
2025-12-16T20:43:30.864386,-0.467,-0.758,0.264,-8.559,9.839,2.067,left,good,قلم
2025-12-16T20:43:30.926001,-0.422,-0.756,0.326,3.426,-5.871,3.594,left,good,قلم
2025-12-16T20:43:31.069478,-0.499,-0.774,0.454,9.38,-13.49,1.624,left,good,قلم
2025-12-16T20:43:31.137440,-0.465,-0.797,0.569,9.869,-9.825,-8.147,left,good,قلم
2025-12-16T20:43:31.203745,-0.616,-0.687,0.267,9.991,-6.558,-11.643,left,good,قلم
2025-12-16T20:43:31.376592,-0.387,-0.76,0.427,3.166,6.434,-14.269,left,good,قلم
2025-12-16T20:43:31.446443,-0.425,-0.738,0.373,2.342,5.93,-2.803,left,good,قلم
2025-12-16T20:43:31.581575,-0.434,-0.741,0.393,-0.04,3.213,-1.124,left,good,قلم
2025-12-16T20:43:31.648507,-0.267,-0.762,0.431,2.143,5.03,18.006,left,good,قلم
2025-12-16T20:43:31.793992,-0.447,-0.766,0.371,1.12,-7.978,3.548,left,good,قلم
2025-12-16T20:43:31.862546,-0.404,-0.743,0.472,4.113,-17.184,-9.521,left,good,قلم
2025-12-16T20:43:31.940653,-0.465,-0.798,0.454,1.273,-7.337,-9.613,left,good,قلم
2025-12-16T20:43:32.007559,-0.512,-0.786,0.399,-0.925,4.48,-2.452,left,good,قلم
2025-12-16T20:43:32.344565,-0.437,-0.854,0.698,11.93,-2.268,-12.559,left,good,قلم
2025-12-16T20:43:32.503024,-0.398,-0.778,0.233,17.914,-23.261,-2.406,left,good,قلم
2025-12-16T20:43:32.616026,-0.043,-0.624,0.441,-20.284,0.556,59.426,left,good,قلم
2025-12-16T20:43:32.682378,-0.491,-0.794,0.31,-3.047,-15.23,-12.681,left,good,قلم
2025-12-16T20:43:32.753535,-0.246,-0.792,0.305,-44.147,32.251,-71.979,left,good,قلم
2025-12-16T20:43:32.912782,-0.368,-0.689,0.261,-25.735,48.541,-17.475,left,good,قلم
2025-12-16T20:43:32.978297,-0.396,-0.684,0.373,-0.406,-0.054,-6.467,left,good,قلم
2025-12-16T20:43:33.049234,-0.351,-0.67,0.255,21.105,5.167,12.357,left,good,قلم
2025-12-16T20:43:33.219907,-0.354,-0.824,0.45,-10.208,-7.077,24.647,left,good,قلم
2025-12-16T20:43:33.289062,-0.2,-0.64,0.283,17.685,-11.154,26.937,left,good,قلم
2025-12-16T20:43:33.352040,-0.584,-0.748,0.428,-4.376,3.289,27.136,left,good,قلم
2025-12-16T20:43:33.567523,-0.273,-0.503,-0.044,-21.551,-15.917,-12.544,left,good,قلم
2025-12-16T20:43:33.627685,-0.381,-0.72,0.353,18.998,23.778,19.365,left,good,قلم
2025-12-16T20:43:33.699725,-0.384,-0.708,0.327,-3.322,0.129,4.174,left,good,قلم
2025-12-16T20:43:33.849838,-0.409,-0.671,0.212,1.472,0.663,4.403,left,good,قلم
