timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:42:23.996551,-0.474,-0.752,0.302,0.556,0.648,-0.101,left,good,سمع
2025-12-16T20:42:24.071302,-0.467,-0.755,0.286,-0.467,-0.436,0.021,left,good,سمع
2025-12-16T20:42:24.271340,-0.47,-0.744,0.301,-1.628,-0.009,-0.987,left,good,سمع
2025-12-16T20:42:24.405235,-0.471,-0.751,0.317,-0.101,1.518,-1.49,left,good,سمع
2025-12-16T20:42:24.475014,-0.456,-0.742,0.301,1.334,1.091,-0.727,left,good,سمع
2025-12-16T20:42:24.547598,-0.453,-0.748,0.307,1.029,1.289,-0.391,left,good,سمع
2025-12-16T20:42:24.624081,-0.442,-0.751,0.317,0.235,1.136,0.311,left,good,سمع
2025-12-16T20:42:24.694134,-0.446,-0.75,0.318,-0.666,0.129,0.449,left,good,سمع
2025-12-16T20:42:24.882810,-0.444,-0.747,0.31,0.006,1.35,-0.193,left,good,سمع
2025-12-16T20:42:25.020154,-0.47,-0.74,0.296,-0.208,0.556,-0.071,left,good,سمع
2025-12-16T20:42:25.140647,-0.45,-0.738,0.312,-0.36,-0.299,-1.155,left,good,سمع
2025-12-16T20:42:25.224429,-0.467,-0.75,0.273,14.785,3.167,7.868,left,good,سمع
2025-12-16T20:42:25.328553,-0.467,-0.771,0.349,-0.498,1.488,3.456,left,good,سمع
2025-12-16T20:42:25.469598,-0.574,-0.73,0.406,-3.047,2.785,10.586,left,good,سمع
2025-12-16T20:42:25.530376,-0.497,-0.763,0.337,10.846,-7.459,-4.071,left,good,سمع
2025-12-16T20:42:25.592965,-0.552,-0.72,0.225,3.014,-5.596,-3.536,left,good,سمع
2025-12-16T20:42:25.669529,-0.566,-0.728,0.31,3.899,0.862,-10.895,left,good,سمع
2025-12-16T20:42:25.941756,-0.473,-0.744,0.34,-3.78,-5.23,11.181,left,good,سمع
2025-12-16T20:42:26.045159,-0.392,-0.727,0.336,10.296,-12.207,1.609,left,good,سمع
2025-12-16T20:42:26.110930,-0.449,-0.784,0.352,6.846,-3.948,-7.368,left,good,سمع
2025-12-16T20:42:26.172334,-0.369,-0.791,0.4,2.647,-3.581,-10.742,left,good,سمع
2025-12-16T20:42:26.557731,-0.409,-0.76,0.335,1.105,0.526,6.174,left,good,سمع
2025-12-16T20:42:26.705115,-0.487,-0.855,0.414,9.96,-0.528,-10.925,left,good,سمع
2025-12-16T20:42:26.869196,-0.446,-0.769,0.354,-1.735,3.35,0.845,left,good,سمع
2025-12-16T20:42:26.946381,-0.478,-0.77,0.332,6.235,-9.245,0.021,left,good,سمع
2025-12-16T20:42:27.117187,-0.516,-0.73,0.274,4.357,-0.238,-7.246,left,good,سمع
2025-12-16T20:42:27.196271,-0.489,-0.768,0.346,-2.376,1.823,-0.696,left,good,سمع
2025-12-16T20:42:27.378741,-0.417,-0.79,0.325,1.563,2.633,2.891,left,good,سمع
2025-12-16T20:42:27.581652,-0.556,-0.752,0.366,12.281,-20.115,-12.147,left,good,سمع
2025-12-16T20:42:27.647614,-0.382,-0.831,0.394,-8.193,17.61,-1.445,left,good,سمع
2025-12-16T20:42:27.709508,-0.423,-0.769,0.35,-6.07,1.701,3.548,left,good,سمع
2025-12-16T20:42:27.989530,-0.363,-0.808,0.312,10.113,-24.757,10.8,left,good,سمع
2025-12-16T20:42:28.102264,-0.362,-0.739,0.557,-15.796,21.03,7.456,left,good,سمع
2025-12-16T20:42:28.194079,-0.573,-0.839,0.527,-37.811,-6.299,-6.88,left,good,سمع
2025-12-16T20:42:28.398899,-0.467,-0.611,-0.088,-68.36,-45.413,-22.773,left,good,سمع
2025-12-16T20:42:28.459065,-0.49,-0.698,0.169,0.342,-2.207,-7.948,left,good,سمع
2025-12-16T20:42:28.526654,-0.46,-0.695,0.159,-9.185,-11.917,-14.635,left,good,سمع
2025-12-16T20:42:28.603963,-0.472,-0.705,0.157,2.693,5.869,-8.895,left,good,سمع
