timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:37:35.878779,-0.376,-0.737,0.441,2.296,2.007,1.548,left,good,شمس
2025-12-16T20:37:36.039570,-0.373,-0.739,0.453,-0.528,0.572,0.296,left,good,شمس
2025-12-16T20:37:36.106335,-0.371,-0.72,0.438,-1.307,-0.253,-1.216,left,good,شمس
2025-12-16T20:37:36.244731,-0.352,-0.724,0.435,-0.147,1.701,-0.727,left,good,شمس
2025-12-16T20:37:36.302275,-0.363,-0.72,0.435,-1.368,-0.635,0.036,left,good,شمس
2025-12-16T20:37:36.366536,-0.371,-0.729,0.427,0.159,1.411,-0.238,left,good,شمس
2025-12-16T20:37:36.479316,-0.366,-0.722,0.432,0.449,-0.146,-0.452,left,good,شمس
2025-12-16T20:37:36.552313,-0.369,-0.721,0.433,-0.818,-0.482,-0.147,left,good,شمس
2025-12-16T20:37:36.621014,-0.361,-0.728,0.444,0.174,0.388,0.632,left,good,شمس
2025-12-16T20:37:36.804521,-0.365,-0.723,0.434,-1.078,-0.711,0.357,left,good,شمس
2025-12-16T20:37:36.962090,-0.365,-0.728,0.436,0.22,1.365,0.158,left,good,شمس
2025-12-16T20:37:37.038867,-0.347,-0.702,0.41,6.983,7.106,8.235,left,good,شمس
2025-12-16T20:37:37.166000,-0.343,-0.767,0.569,2.036,-4.741,2.128,left,good,شمس
2025-12-16T20:37:37.233432,-0.419,-0.694,0.463,-11.872,-0.268,10.998,left,good,شمس
2025-12-16T20:37:37.295046,-0.52,-0.69,0.233,3.762,8.877,1.807,left,good,شمس
2025-12-16T20:37:37.474511,-0.366,-0.755,0.407,2.769,-8.406,1.365,left,good,شمس
2025-12-16T20:37:37.684144,-0.305,-0.806,0.627,8.785,-0.848,-6.712,left,good,شمس
2025-12-16T20:37:37.908959,-0.37,-0.763,0.478,-0.849,2.175,2.235,left,good,شمس
2025-12-16T20:37:37.993865,-0.365,-0.727,0.384,5.044,-3.612,-3.399,left,good,شمس
2025-12-16T20:37:38.147298,-0.467,-0.747,0.407,1.395,-3.306,-10.422,left,good,شمس
2025-12-16T20:37:38.305381,-0.448,-0.72,0.432,-0.483,-0.543,5.288,left,good,شمس
2025-12-16T20:37:38.446152,-0.449,-0.761,0.508,6.769,-12.65,-0.91,left,good,شمس
2025-12-16T20:37:38.523552,-0.365,-0.828,0.523,8.556,-7.627,-9.093,left,good,شمس
2025-12-16T20:37:38.728802,-0.42,-0.743,0.429,0.632,3.625,-1.49,left,good,شمس
2025-12-16T20:37:38.945772,-0.392,-0.764,0.362,6.403,-9.261,0.907,left,good,شمس
2025-12-16T20:37:39.061576,-0.452,-0.711,0.491,-5.597,-1.23,-3.78,left,good,شمس
2025-12-16T20:37:39.256979,-0.39,-0.744,0.453,1.182,-2.238,1.288,left,good,شمس
2025-12-16T20:37:39.409515,-0.387,-0.741,0.43,-1.948,-8.665,-0.3,left,good,شمس
2025-12-16T20:37:39.519441,-0.38,-0.753,0.466,-1.017,2.785,1.273,left,good,شمس
2025-12-16T20:37:39.580983,-0.538,-0.725,0.519,3.426,-6.436,-1.2,left,good,شمس
2025-12-16T20:37:39.642153,-0.399,-0.741,0.52,3.456,-4.94,-3.521,left,good,شمس
2025-12-16T20:37:39.702431,-0.378,-0.759,0.405,-1.399,-3.642,-3.017,left,good,شمس
2025-12-16T20:37:39.886105,-0.472,-0.717,0.381,15.349,-10.65,-8.422,left,good,شمس
2025-12-16T20:37:39.950402,-0.326,-0.754,0.392,-4.33,-6.726,2.616,left,good,شمس
2025-12-16T20:37:40.013443,-0.39,-0.76,0.431,-0.681,0.007,2.708,left,good,شمس
2025-12-16T20:37:40.079785,-0.242,-0.914,0.434,-4.528,-9.428,26.891,left,good,شمس
2025-12-16T20:37:40.265098,-0.341,-0.988,0.896,-32.208,33.64,-4.452,left,good,شمس
2025-12-16T20:37:40.335636,-0.731,-0.779,0.161,-26.62,-26.283,22.632,left,good,شمس
2025-12-16T20:37:40.403619,-0.191,-0.524,0.273,-43.078,35.656,-26.712,left,good,شمس
2025-12-16T20:37:40.545308,-0.291,-0.599,0.41,-31.887,56.541,30.021,left,good,شمس
2025-12-16T20:37:40.611384,-0.373,-0.757,0.476,-5.353,8.129,-9.582,left,good,شمس
2025-12-16T20:37:40.750291,-0.249,-0.701,0.433,-4.04,17.656,8.586,left,good,شمس
2025-12-16T20:37:40.816703,-0.525,-0.694,0.467,1.075,-8.772,4.845,left,good,شمس
2025-12-16T20:37:40.887161,-0.251,-0.69,0.589,12.311,-2.986,-12.33,left,good,شمس
2025-12-16T20:37:40.952677,-0.152,-0.795,0.461,1.548,8.083,11.746,left,good,شمس
2025-12-16T20:37:41.144526,-0.283,-0.521,0.332,-54.574,-76.177,-59.704,left,good,شمس
2025-12-16T20:37:41.253099,-0.282,-0.622,0.182,17.456,-22.314,-23.124,left,good,شمس
2025-12-16T20:37:41.364224,-0.211,-0.564,0.277,31.273,-6.955,-18.559,left,good,شمس
2025-12-16T20:37:41.441064,-0.195,-0.531,0.271,16.815,-15.245,-6.009,left,good,شمس
2025-12-16T20:37:41.601149,-0.241,-0.568,0.167,1.67,-1.306,11.151,left,good,شمس
