timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:33:18.310421,-0.404,-0.75,0.458,-0.544,-0.818,0.158,left,good,استيقظ
2025-12-16T20:33:18.379104,-0.4,-0.76,0.473,-0.788,-1.199,-0.742,left,good,استيقظ
2025-12-16T20:33:18.506621,-0.411,-0.752,0.457,-0.559,-1.261,0.387,left,good,استيقظ
2025-12-16T20:33:18.580061,-0.398,-0.752,0.455,-0.971,-0.635,-0.086,left,good,استيقظ
2025-12-16T20:33:18.701464,-0.414,-0.757,0.462,-0.925,-0.955,-0.529,left,good,استيقظ
2025-12-16T20:33:18.855610,-0.407,-0.75,0.453,-0.666,-0.268,-0.162,left,good,استيقظ
2025-12-16T20:33:19.018279,-0.404,-0.752,0.469,-0.483,-0.1,-0.208,left,good,استيقظ
2025-12-16T20:33:19.102971,-0.404,-0.751,0.461,-0.559,0.343,-0.254,left,good,استيقظ
2025-12-16T20:33:19.172031,-0.41,-0.747,0.442,-0.376,0.327,-0.284,left,good,استيقظ
2025-12-16T20:33:19.315721,-0.425,-0.752,0.46,3.38,1.259,-4.406,left,good,استيقظ
2025-12-16T20:33:19.382261,-0.39,-0.744,0.476,7.411,5.106,-4.391,left,good,استيقظ
2025-12-16T20:33:19.539443,-0.332,-0.723,0.456,9.731,1.472,10.082,left,good,استيقظ
2025-12-16T20:33:19.734555,-0.383,-0.751,0.476,1.64,2.938,0.708,left,good,استيقظ
2025-12-16T20:33:19.847345,-0.478,-0.767,0.264,-14.193,-1.398,19.96,left,good,استيقظ
2025-12-16T20:33:20.035762,-0.478,-0.871,0.52,17.12,-9.657,-57.872,left,good,استيقظ
2025-12-16T20:33:20.183668,-0.416,-0.741,0.494,4.678,-0.864,7.868,left,good,استيقظ
2025-12-16T20:33:20.264306,-0.473,-0.769,0.501,-4.589,-0.375,1.914,left,good,استيقظ
2025-12-16T20:33:20.350904,-0.534,-0.789,0.48,-14.712,3.274,13.471,left,good,استيقظ
2025-12-16T20:33:20.430912,-0.43,-0.773,0.514,1.716,-6.955,1.868,left,good,استيقظ
2025-12-16T20:33:20.544440,-0.449,-0.751,0.444,7.014,-4.467,-4.834,left,good,استيقظ
2025-12-16T20:33:20.682582,-0.426,-0.767,0.46,1.67,-0.36,-0.376,left,good,استيقظ
2025-12-16T20:33:20.771889,-0.466,-0.74,0.465,0.281,-11.886,3.105,left,good,استيقظ
2025-12-16T20:33:20.843695,-0.468,-0.764,0.423,0.036,-1.108,-5.628,left,good,استيقظ
2025-12-16T20:33:20.918341,-0.424,-0.771,0.474,-1.582,2.281,0.464,left,good,استيقظ
2025-12-16T20:33:20.990689,-0.434,-0.78,0.499,1.09,-3.963,2.555,left,good,استيقظ
2025-12-16T20:33:21.058524,-0.439,-0.745,0.525,13.044,-16.329,-2.116,left,good,استيقظ
2025-12-16T20:33:21.261358,-0.391,-0.788,0.529,-0.452,4.465,1.441,left,good,استيقظ
2025-12-16T20:33:21.340153,-0.386,-0.773,0.561,-0.162,-1.261,5.533,left,good,استيقظ
2025-12-16T20:33:21.411594,-0.502,-0.753,0.564,7.441,-20.344,-1.322,left,good,استيقظ
2025-12-16T20:33:21.488578,-0.338,-0.743,0.327,4.403,-16.787,1.075,left,good,استيقظ
2025-12-16T20:33:21.566910,-0.53,-0.788,0.468,11.792,9.976,-6.391,left,good,استيقظ
2025-12-16T20:33:21.655614,-0.268,-0.647,0.511,-32.986,7.411,-39.109,left,good,استيقظ
2025-12-16T20:33:21.734834,-0.289,-0.663,0.395,-3.292,18.816,-3.017,left,good,استيقظ
2025-12-16T20:33:21.926473,-0.566,-0.86,0.44,13.807,-13.902,-17.918,left,good,استيقظ
2025-12-16T20:33:21.987363,-0.185,-0.602,0.363,9.059,0.892,20.021,left,good,استيقظ
2025-12-16T20:33:22.048495,-0.424,-0.814,0.779,0.464,-1.169,13.777,left,good,استيقظ
2025-12-16T20:33:22.239690,-0.362,-0.744,0.422,5.044,13.35,29.349,left,good,استيقظ
2025-12-16T20:33:22.388117,-0.792,-0.877,0.667,5.731,6.037,-3.093,left,good,استيقظ
2025-12-16T20:33:22.458950,-0.252,-0.827,0.485,3.746,-17.657,10.464,left,good,استيقظ
2025-12-16T20:33:22.592535,-0.504,-0.782,0.542,13.426,-13.978,-12.101,left,good,استيقظ
2025-12-16T20:33:22.663518,-0.365,-0.722,0.503,-12.574,3.35,-6.651,left,good,استيقظ
2025-12-16T20:33:22.820328,-0.273,-0.694,0.474,2.678,6.48,38.326,left,good,استيقظ
