timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:45:10.810202,-0.453,-0.739,0.281,1.044,0.449,-0.132,left,good,قلم
2025-12-16T20:45:10.920160,-0.46,-0.752,0.307,-0.223,-1.566,-0.529,left,good,قلم
2025-12-16T20:45:10.988344,-0.458,-0.737,0.28,0.464,1.579,-0.361,left,good,قلم
2025-12-16T20:45:11.053508,-0.452,-0.747,0.295,-1.933,-4.421,0.311,left,good,قلم
2025-12-16T20:45:11.114997,-0.463,-0.742,0.289,0.51,-0.009,0.418,left,good,قلم
2025-12-16T20:45:11.306782,-0.457,-0.745,0.291,-1.964,-0.024,-0.269,left,good,قلم
2025-12-16T20:45:11.424389,-0.468,-0.747,0.305,-0.574,0.297,0.235,left,good,قلم
2025-12-16T20:45:11.489537,-0.46,-0.741,0.297,-1.475,0.281,0.342,left,good,قلم
2025-12-16T20:45:11.629219,-0.458,-0.746,0.291,-0.254,0.495,0.326,left,good,قلم
2025-12-16T20:45:11.741891,-0.461,-0.742,0.283,0.372,0.556,0.403,left,good,قلم
2025-12-16T20:45:11.834322,-0.466,-0.744,0.307,0.22,1.197,0.693,left,good,قلم
2025-12-16T20:45:11.903327,-0.454,-0.73,0.262,2.174,2.343,2.494,left,good,قلم
2025-12-16T20:45:12.042184,-0.482,-0.738,0.258,20.22,1.259,17.212,left,good,قلم
2025-12-16T20:45:12.154383,-0.641,-0.732,0.193,12.311,1.732,-7.139,left,good,قلم
2025-12-16T20:45:12.243361,-0.451,-0.752,0.327,-2.177,15.518,-3.811,left,good,قلم
2025-12-16T20:45:12.449799,-0.46,-0.762,0.336,-2.941,10.343,1.777,left,good,قلم
2025-12-16T20:45:12.564109,-0.391,-0.772,0.233,7.182,-8.696,-1.643,left,good,قلم
2025-12-16T20:45:12.626880,-0.547,-0.751,0.331,4.311,-15.688,-3.49,left,good,قلم
2025-12-16T20:45:12.755461,-0.443,-0.749,0.289,1.258,-5.337,-0.803,left,good,قلم
2025-12-16T20:45:12.893218,-0.566,-0.722,0.319,1.716,1.518,-5.613,left,good,قلم
2025-12-16T20:45:12.957527,-0.154,-0.761,0.441,3.136,15.9,-17.643,left,good,قلم
2025-12-16T20:45:13.018265,-0.435,-0.766,0.4,1.227,2.694,-3.338,left,good,قلم
2025-12-16T20:45:13.164653,-0.517,-0.702,0.333,2.479,6.724,-6.498,left,good,قلم
2025-12-16T20:45:13.323678,-0.457,-0.735,0.345,1.884,12.297,-2.91,left,good,قلم
2025-12-16T20:45:13.550635,-0.444,-0.781,0.574,4.021,-14.741,-7.811,left,good,قلم
2025-12-16T20:45:13.639709,-0.437,-0.755,0.292,1.777,-11.78,-3.643,left,good,قلم
2025-12-16T20:45:13.811134,-0.533,-0.753,0.341,0.449,5.091,-1.857,left,good,قلم
2025-12-16T20:45:14.000391,-0.596,-0.717,0.324,15.258,-11.734,-3.277,left,good,قلم
2025-12-16T20:45:14.105246,-0.433,-0.757,0.344,0.953,-2.604,-1.277,left,good,قلم
2025-12-16T20:45:14.181201,-0.515,-0.872,0.627,4.25,-21.184,-2.513,left,good,قلم
2025-12-16T20:45:14.257217,-0.313,-0.821,0.362,-0.651,0.953,20.342,left,good,قلم
2025-12-16T20:45:14.329402,-0.627,-0.72,0.206,-21.444,-33.123,59.41,left,good,قلم
2025-12-16T20:45:14.398347,-0.652,-0.778,0.291,0.937,-8.406,-11.872,left,good,قلم
2025-12-16T20:45:14.632022,-0.366,-0.7,0.351,-10.437,30.312,19.578,left,good,قلم
2025-12-16T20:45:14.699004,-0.475,-0.792,0.282,-2.513,-0.772,-3.414,left,good,قلم
2025-12-16T20:45:14.803731,-0.393,-0.701,0.267,5.456,0.984,0.433,left,good,قلم
2025-12-16T20:45:14.878032,-0.461,-0.779,0.307,-6.574,3.381,13.166,left,good,قلم
2025-12-16T20:45:14.947261,-0.537,-0.759,0.354,-2.131,-6.833,-7.399,left,good,قلم
2025-12-16T20:45:15.111293,-0.297,-0.593,0.316,2.708,-8.146,-12.895,left,good,قلم
2025-12-16T20:45:15.213063,-0.539,-0.844,0.365,-18.345,-22.665,-8.62,left,good,قلم
2025-12-16T20:45:15.315562,-0.343,-0.601,0.08,-27.673,-23.032,-31.689,left,good,قلم
2025-12-16T20:45:15.376893,-0.373,-0.685,0.239,14.846,12.572,15.945,left,good,قلم
2025-12-16T20:45:15.439108,-0.427,-0.739,0.363,3.67,-6.604,1.639,left,good,قلم
