timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:27:09.130581,-0.416,-0.774,0.451,-0.208,0.098,0.662,left,good,كتب
2025-12-16T20:27:09.232377,-0.427,-0.765,0.438,0.296,-0.299,-0.223,left,good,كتب
2025-12-16T20:27:09.298867,-0.428,-0.765,0.441,1.258,0.205,0.235,left,good,كتب
2025-12-16T20:27:09.364307,-0.438,-0.768,0.439,-0.544,-0.1,-1.093,left,good,كتب
2025-12-16T20:27:09.439863,-0.43,-0.772,0.454,0.327,-0.085,-0.3,left,good,كتب
2025-12-16T20:27:09.633527,-0.413,-0.758,0.441,0.647,0.098,-0.04,left,good,كتب
2025-12-16T20:27:09.705721,-0.434,-0.771,0.438,0.83,0.984,0.342,left,good,كتب
2025-12-16T20:27:09.775549,-0.44,-0.769,0.446,-0.971,-0.192,0.189,left,good,كتب
2025-12-16T20:27:09.845480,-0.429,-0.76,0.443,-0.391,0.465,-0.193,left,good,كتب
2025-12-16T20:27:09.910506,-0.429,-0.757,0.437,-0.605,0.22,0.54,left,good,كتب
2025-12-16T20:27:10.100381,-0.417,-0.758,0.428,1.243,-0.253,0.662,left,good,كتب
2025-12-16T20:27:10.163066,-0.319,-0.689,0.398,10.968,-2.268,7.334,left,good,كتب
2025-12-16T20:27:10.228542,-0.514,-0.905,0.496,6.998,6.312,10.739,left,good,كتب
2025-12-16T20:27:10.299362,-0.471,-0.783,0.486,-3.872,3.472,3.609,left,good,كتب
2025-12-16T20:27:10.489275,-0.453,-0.796,0.465,-6.788,6.114,1.731,left,good,كتب
2025-12-16T20:27:10.550127,-0.616,-0.773,0.469,6.724,14.801,-1.689,left,good,كتب
2025-12-16T20:27:10.611323,-0.379,-0.802,0.505,0.83,-4.848,1.624,left,good,كتب
2025-12-16T20:27:10.672664,-0.421,-0.756,0.337,20.265,-14.085,8.647,left,good,كتب
2025-12-16T20:27:10.860604,-0.527,-0.805,0.522,-0.574,-14.36,-1.613,left,good,كتب
2025-12-16T20:27:11.016471,-0.397,-0.803,0.492,-2.147,-5.474,-2.254,left,good,كتب
2025-12-16T20:27:11.089503,-0.407,-0.794,0.438,-0.834,-1.505,1.594,left,good,كتب
2025-12-16T20:27:11.180052,-0.452,-0.792,0.464,0.968,6.114,-0.376,left,good,كتب
2025-12-16T20:27:11.280582,-0.366,-0.808,0.522,1.029,7.9,0.952,left,good,كتب
2025-12-16T20:27:11.427301,-0.579,-0.776,0.454,1.197,2.449,1.533,left,good,كتب
2025-12-16T20:27:11.498166,-0.476,-0.792,0.475,1.838,-6.497,0.525,left,good,كتب
2025-12-16T20:27:11.598249,-0.528,-0.788,0.403,-0.864,-10.848,2.22,left,good,كتب
2025-12-16T20:27:11.719611,-0.504,-0.808,0.416,6.418,-9.306,0.464,left,good,كتب
2025-12-16T20:27:11.801395,-0.471,-0.8,0.533,0.036,-8.253,0.662,left,good,كتب
2025-12-16T20:27:11.883850,-0.523,-0.759,0.354,-5.597,-13.81,-1.918,left,good,كتب
2025-12-16T20:27:12.013970,-0.437,-0.807,0.494,0.769,4.724,-6.712,left,good,كتب
2025-12-16T20:27:12.088640,-0.426,-0.8,0.435,2.342,5.213,1.746,left,good,كتب
2025-12-16T20:27:12.161428,-0.452,-0.776,0.426,-3.139,-0.238,6.174,left,good,كتب
2025-12-16T20:27:12.230857,-0.49,-0.798,0.502,0.662,-3.795,-0.544,left,good,كتب
2025-12-16T20:27:12.430974,-0.47,-0.803,0.398,8.678,-5.78,-0.467,left,good,كتب
2025-12-16T20:27:12.640758,-0.392,-0.751,0.355,9.182,-15.23,1.09,left,good,كتب
2025-12-16T20:27:12.820912,-0.503,-0.837,0.731,6.953,-4.955,-13.261,left,good,كتب
2025-12-16T20:27:12.900738,-0.38,-0.922,0.782,-17.582,7.014,0.128,left,good,كتب
2025-12-16T20:27:12.975511,-0.29,-0.602,0.435,-45.735,24.892,-56.116,left,good,كتب
2025-12-16T20:27:13.045802,-0.341,-0.727,0.388,-30.208,49.625,4.891,left,good,كتب
2025-12-16T20:27:13.240066,-0.414,-0.774,0.475,-12.635,22.663,5.136,left,good,كتب
2025-12-16T20:27:13.329703,-0.653,-0.813,0.649,6.571,2.724,18.586,left,good,كتب
2025-12-16T20:27:13.416905,-0.745,-0.927,0.659,-1.719,-12.543,-60.773,left,good,كتب
2025-12-16T20:27:13.569132,-0.308,-0.636,0.197,18.693,13.014,47.777,left,good,كتب
2025-12-16T20:27:13.643452,-0.255,-0.774,0.354,5.64,-35.993,-53.521,left,good,كتب
2025-12-16T20:27:13.756803,-0.307,-0.623,0.336,17.395,-9.566,23.563,left,good,كتب
2025-12-16T20:27:13.945432,-0.512,-0.789,0.521,0.998,-12.36,12.922,left,good,كتب
2025-12-16T20:27:14.024461,-0.622,-0.814,0.552,9.96,6.801,13.12,left,good,كتب
2025-12-16T20:27:14.098217,-0.435,-0.836,0.555,-4.88,1.594,3.166,left,good,كتب
2025-12-16T20:27:14.174705,-0.567,-0.812,0.53,-2.712,-0.558,3.594,left,good,كتب
2025-12-16T20:27:14.253341,-0.563,-0.785,0.48,0.785,-9.093,-4.452,left,good,كتب
2025-12-16T20:27:14.324142,-0.401,-0.835,0.512,-3.276,7.335,4.708,left,good,كتب
2025-12-16T20:27:14.583032,-0.305,-0.68,0.333,-51.261,34.617,-37.139,left,good,كتب
2025-12-16T20:27:14.762177,-0.341,-0.783,0.555,-1.032,24.281,-4.025,left,good,كتب
2025-12-16T20:27:14.821913,-0.403,-0.731,0.53,1.12,14.831,3.105,left,good,كتب
2025-12-16T20:27:14.892636,-0.375,-0.763,0.515,3.884,2.449,8.876,left,good,كتب
2025-12-16T20:27:14.994056,-0.356,-0.786,0.485,5.655,1.381,9.853,left,good,كتب
2025-12-16T20:27:15.103082,-0.705,-0.782,0.445,7.533,-11.78,21.151,left,good,كتب
2025-12-16T20:27:15.274700,-0.577,-0.793,0.517,-6.33,14.602,-22.025,left,good,كتب
2025-12-16T20:27:15.386879,-0.273,-0.61,0.32,-13.567,-40.619,-17.185,left,good,كتب
2025-12-16T20:27:15.455841,-0.314,-0.662,0.34,17.288,-5.886,9.762,left,good,كتب
2025-12-16T20:27:15.586510,-0.323,-0.734,0.525,13.395,-18.497,13.731,left,good,كتب
2025-12-16T20:27:15.790489,-0.435,-0.751,0.382,-1.658,-24.848,-3.46,left,good,كتب
