timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:40:51.705544,-0.39,-0.718,0.396,1.975,2.739,-0.651,left,good,لغة
2025-12-16T20:40:51.767899,-0.379,-0.724,0.409,1.624,0.892,-1.078,left,good,لغة
2025-12-16T20:40:51.831119,-0.368,-0.722,0.404,1.365,2.19,-0.956,left,good,لغة
2025-12-16T20:40:51.892704,-0.38,-0.723,0.414,1.777,1.762,-0.513,left,good,لغة
2025-12-16T20:40:52.085328,-0.383,-0.726,0.409,1.991,2.068,-1.261,left,good,لغة
2025-12-16T20:40:52.247790,-0.348,-0.718,0.409,1.609,2.312,-1.536,left,good,لغة
2025-12-16T20:40:52.332394,-0.356,-0.722,0.419,0.036,2.068,-1.903,left,good,لغة
2025-12-16T20:40:52.401456,-0.363,-0.722,0.424,0.327,1.839,-0.987,left,good,لغة
2025-12-16T20:40:52.554515,-0.355,-0.716,0.413,0.586,0.846,0.235,left,good,لغة
2025-12-16T20:40:52.638278,-0.361,-0.709,0.421,1.395,1.93,0.281,left,good,لغة
2025-12-16T20:40:52.714808,-0.309,-0.676,0.344,15.914,6.358,12.326,left,good,لغة
2025-12-16T20:40:52.794206,-0.321,-0.754,0.507,4.586,-6.329,2.265,left,good,لغة
2025-12-16T20:40:52.961548,-0.363,-0.756,0.502,-7.475,-1.016,12.235,left,good,لغة
2025-12-16T20:40:53.064329,-0.392,-0.741,0.458,-6.33,1.93,5.975,left,good,لغة
2025-12-16T20:40:53.139592,-0.484,-0.75,0.493,2.494,-10.131,0.296,left,good,لغة
2025-12-16T20:40:53.381150,-0.351,-0.758,0.527,10.342,-18.879,-10.391,left,good,لغة
2025-12-16T20:40:53.580421,-0.419,-0.735,0.404,0.708,4.144,-2.269,left,good,لغة
2025-12-16T20:40:53.644483,-0.38,-0.751,0.402,1.777,-9.734,4.449,left,good,لغة
2025-12-16T20:40:53.730456,-0.425,-0.774,0.444,7.258,-19.123,9.502,left,good,لغة
2025-12-16T20:40:53.802576,-0.429,-0.755,0.322,9.945,-25.993,1.059,left,good,لغة
2025-12-16T20:40:53.987823,-0.353,-0.821,0.423,7.288,-11.215,-16.177,left,good,لغة
2025-12-16T20:40:54.056116,-0.47,-0.707,0.346,8.693,-1.291,-6.849,left,good,لغة
2025-12-16T20:40:54.201927,-0.369,-0.836,0.582,17.792,-22.268,-1.903,left,good,لغة
2025-12-16T20:40:54.294405,-0.662,-0.691,0.32,-19.49,19.839,2.983,left,good,لغة
2025-12-16T20:40:54.360630,-0.607,-0.864,0.481,-11.047,12.51,-16.498,left,good,لغة
2025-12-16T20:40:54.430798,-0.242,-0.642,0.398,-24.223,25.732,-22.91,left,good,لغة
2025-12-16T20:40:54.663908,-0.23,-0.792,0.561,2.006,4.327,8.494,left,good,لغة
2025-12-16T20:40:54.737544,-0.345,-0.694,0.502,-0.101,-27.81,-70.406,left,good,لغة
2025-12-16T20:40:54.806196,-0.191,-0.574,0.226,27.594,-19.352,-7.582,left,good,لغة
2025-12-16T20:40:54.874824,-0.344,-0.755,0.444,23.533,8.541,17.09,left,good,لغة
2025-12-16T20:40:55.074136,-0.396,-0.789,0.563,5.334,16.037,7.578,left,good,لغة
2025-12-16T20:40:55.133466,-0.244,-0.741,0.391,-8.88,-12.894,-0.345,left,good,لغة
2025-12-16T20:40:55.314826,-0.293,-0.695,0.542,-2.452,8.266,-53.918,left,good,لغة
2025-12-16T20:40:55.384628,-0.466,-0.744,0.559,-8.193,-11.734,12.418,left,good,لغة
2025-12-16T20:40:55.447434,-0.284,-0.691,0.464,-13.032,-16.054,3.456,left,good,لغة
2025-12-16T20:40:55.648957,-0.291,-0.678,0.422,0.388,12.495,8.616,left,good,لغة
2025-12-16T20:40:55.717295,-0.355,-0.723,0.475,-6.788,5.381,3.655,left,good,لغة
2025-12-16T20:40:55.786421,-0.308,-0.681,0.408,-8.849,7.457,-5.903,left,good,لغة
2025-12-16T20:40:55.849043,-0.298,-0.678,0.387,-9.887,14.785,13.319,left,good,لغة
