timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:29:54.461550,-0.396,-0.71,0.338,-0.757,8.327,2.25,left,good,سلام
2025-12-16T20:29:54.530063,-0.402,-0.719,0.347,1.624,-4.68,1.487,left,good,سلام
2025-12-16T20:29:54.599144,-0.415,-0.73,0.346,1.12,-6.1,2.158,left,good,سلام
2025-12-16T20:29:54.728599,-0.417,-0.738,0.357,-0.559,-6.131,0.097,left,good,سلام
2025-12-16T20:29:54.817933,-0.41,-0.728,0.345,-1.567,-0.406,0.021,left,good,سلام
2025-12-16T20:29:54.883430,-0.403,-0.729,0.342,-1.673,-0.619,-0.529,left,good,سلام
2025-12-16T20:29:54.951871,-0.405,-0.727,0.334,-0.712,0.007,-0.467,left,good,سلام
2025-12-16T20:29:55.124532,-0.414,-0.727,0.322,-0.544,0.175,0.097,left,good,سلام
2025-12-16T20:29:55.227462,-0.406,-0.732,0.342,-0.895,-0.039,-0.315,left,good,سلام
2025-12-16T20:29:55.329928,-0.408,-0.729,0.335,0.25,1.121,-0.391,left,good,سلام
2025-12-16T20:29:55.398766,-0.402,-0.722,0.322,2.265,1.182,0.998,left,good,سلام
2025-12-16T20:29:55.458636,-0.41,-0.721,0.343,3.96,0.953,-0.009,left,good,سلام
2025-12-16T20:29:55.526171,-0.385,-0.713,0.356,6.052,0.938,-0.009,left,good,سلام
2025-12-16T20:29:55.730455,-0.44,-0.695,0.138,-8.498,-14.833,19.288,left,good,سلام
2025-12-16T20:29:55.839773,-0.439,-0.727,0.389,0.83,-0.421,5.914,left,good,سلام
2025-12-16T20:29:56.046893,-0.444,-0.745,0.403,7.105,-9.23,-6.238,left,good,سلام
2025-12-16T20:29:56.115388,-0.421,-0.782,0.388,2.296,4.159,-8.101,left,good,سلام
2025-12-16T20:29:56.175967,-0.407,-0.749,0.344,0.51,2.923,-0.177,left,good,سلام
2025-12-16T20:29:56.238334,-0.336,-0.75,0.361,-2.223,-2.299,11.365,left,good,سلام
2025-12-16T20:29:56.427344,-0.555,-0.706,0.157,12.953,-5.215,-3.689,left,good,سلام
2025-12-16T20:29:56.558182,-0.412,-0.755,0.363,3.807,-0.314,-1.674,left,good,سلام
2025-12-16T20:29:56.702435,-0.43,-0.736,0.362,-0.376,-3.642,-3.216,left,good,سلام
2025-12-16T20:29:56.769259,-0.386,-0.769,0.378,-1.124,2.19,2.907,left,good,سلام
2025-12-16T20:29:56.867023,-0.334,-0.744,0.367,1.349,-2.619,8.983,left,good,سلام
2025-12-16T20:29:56.940845,-0.364,-0.845,0.59,17.426,-6.36,-9.811,left,good,سلام
2025-12-16T20:29:57.070392,-0.451,-0.746,0.22,7.975,-9.123,-1.765,left,good,سلام
2025-12-16T20:29:57.137025,-0.29,-0.797,0.308,9.334,4.297,-17.994,left,good,سلام
2025-12-16T20:29:57.277394,-0.162,-0.837,0.512,6.54,16.556,-20.62,left,good,سلام
2025-12-16T20:29:57.377680,-0.571,-0.781,0.162,-6.269,-17.963,21.823,left,good,سلام
2025-12-16T20:29:57.524301,-0.334,-0.744,0.415,4.296,-6.115,7.899,left,good,سلام
2025-12-16T20:29:57.589560,-0.343,-0.636,0.398,18.601,-17.825,-9.857,left,good,سلام
2025-12-16T20:29:57.688665,-0.419,-0.703,0.302,14.128,-8.894,-23.261,left,good,سلام
2025-12-16T20:29:57.787598,-0.207,-0.55,0.281,-33.597,12.801,-47.2,left,good,سلام
2025-12-16T20:29:57.849571,-0.313,-0.684,0.413,15.823,17.946,18.647,left,good,سلام
2025-12-16T20:29:57.991972,-0.351,-0.732,0.415,12.769,1.961,15.227,left,good,سلام
2025-12-16T20:29:58.061176,-0.502,-0.639,0.356,-21.002,-44.558,23.166,left,good,سلام
2025-12-16T20:29:58.122447,-0.484,-0.682,0.54,-60.391,-61.245,-73.017,left,good,سلام
2025-12-16T20:29:58.315475,-0.605,-0.496,0.436,31.334,37.457,49.853,left,good,سلام
2025-12-16T20:29:58.386378,-0.729,-1.283,0.536,42.098,40.694,0.525,left,good,سلام
2025-12-16T20:29:58.457846,-0.406,-1.003,0.47,6.846,9.396,5.807,left,good,سلام
2025-12-16T20:29:58.523816,-0.382,-0.759,0.362,-0.193,-4.803,0.387,left,good,سلام
2025-12-16T20:29:58.730860,-0.398,-0.779,0.372,5.578,12.129,2.479,left,good,سلام
2025-12-16T20:29:58.927755,-0.377,-0.747,0.332,-7.414,-6.482,14.952,left,good,سلام
2025-12-16T20:29:59.134722,-0.484,-0.776,0.531,-3.811,-7.825,1.67,left,good,سلام
2025-12-16T20:29:59.340296,-0.554,-0.797,0.408,-22.696,-18.024,36.464,left,good,سلام
2025-12-16T20:29:59.546084,-0.121,-0.757,0.439,-48.315,-41.505,-49.521,left,good,سلام
2025-12-16T20:29:59.750479,-0.445,-0.742,0.284,-5.292,-6.436,2.525,left,good,سلام
2025-12-16T20:29:59.836907,-0.456,-0.734,0.231,-0.712,2.144,4.097,left,good,سلام
