timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T15:25:32.773969,0.432,0.049,0.467,1.4,-6.11,2.689,right,medium,كتب
2025-12-18T15:25:32.839920,0.412,0.031,0.471,0.377,-11.041,1.101,right,medium,كتب
2025-12-18T15:25:32.986269,0.403,0.05,0.458,0.316,-7.331,-0.685,right,medium,كتب
2025-12-18T15:25:33.143865,0.405,0.053,0.46,1.202,-2.125,0.735,right,medium,كتب
2025-12-18T15:25:33.213885,0.372,0.009,0.369,8.805,-45.85,20.659,right,medium,كتب
2025-12-18T15:25:33.349755,0.323,0.02,0.523,-4.096,1.051,-2.746,right,medium,كتب
2025-12-18T15:25:33.422269,0.569,-0.063,0.618,-6.768,24.608,8.277,right,medium,كتب
2025-12-18T15:25:33.520217,0.302,0.127,0.392,1.644,-25.27,11.911,right,medium,كتب
2025-12-18T15:25:33.656023,0.288,-0.022,0.354,-7.959,-10.69,-42.822,right,medium,كتب
2025-12-18T15:25:33.728618,0.414,0.043,0.376,24.683,-22.934,1.682,right,medium,كتب
2025-12-18T15:25:33.806659,0.417,0.043,0.428,17.247,-4.43,4.384,right,medium,كتب
2025-12-18T15:25:33.963730,0.392,0.012,0.457,1.263,-15.27,2.766,right,medium,كتب
2025-12-18T15:25:34.032625,0.242,0.055,0.265,-7.104,-3.3,8.414,right,medium,كتب
2025-12-18T15:25:34.169047,0.301,0.068,0.299,-12.737,-1.652,9.208,right,medium,كتب
2025-12-18T15:25:34.239162,0.367,0.023,0.386,-1.043,4.654,2.033,right,medium,كتب
2025-12-18T15:25:34.312468,0.308,0.006,0.37,11.95,11.112,-11.021,right,medium,كتب
2025-12-18T15:25:34.475196,0.499,0.089,0.389,-21.333,-49.606,-3.418,right,medium,كتب
2025-12-18T15:25:34.543346,0.324,0.008,0.356,2.835,-6.903,6.155,right,medium,كتب
2025-12-18T15:25:34.606872,0.339,0.02,0.287,0.454,-12.629,3.941,right,medium,كتب
2025-12-18T15:25:34.675581,0.37,0.006,0.354,-5.211,-0.934,3.956,right,medium,كتب
2025-12-18T15:25:34.871445,0.189,-0.094,0.397,-2.676,-41.728,13.407,right,medium,كتب
2025-12-18T15:25:34.944480,0.269,-0.009,0.24,7.202,-32.903,5.895,right,medium,كتب
2025-12-18T15:25:35.014293,0.278,0.02,0.275,3.415,0.577,-2.776,right,medium,كتب
2025-12-18T15:25:35.076082,0.227,-0.142,0.442,-21.47,39.402,-43.082,right,medium,كتب
2025-12-18T15:25:35.259945,0.302,-0.007,0.296,8.347,-0.369,8.582,right,medium,كتب
2025-12-18T15:25:35.397823,0.32,0.023,0.248,9.354,-1.545,7.437,right,medium,كتب
2025-12-18T15:25:35.468093,0.351,0.06,0.197,5.141,-8.766,8.537,right,medium,كتب
2025-12-18T15:25:35.616781,0.236,0.026,0.286,15.08,2.333,10.567,right,medium,كتب
2025-12-18T15:25:35.704076,0.352,0.063,0.191,-9.043,-32.4,2.369,right,medium,كتب
2025-12-18T15:25:35.772451,0.262,-0.021,0.326,17.996,-24.72,13.361,right,medium,كتب
2025-12-18T15:25:35.909624,0.165,0.013,0.207,3.095,-5.835,5.88,right,medium,كتب
2025-12-18T15:25:35.982091,0.239,0.001,0.302,1.461,0.516,-1.754,right,medium,كتب
2025-12-18T15:25:36.050165,0.254,-0.015,0.229,5.064,-22.11,6.43,right,medium,كتب
2025-12-18T15:25:36.217282,0.188,-0.061,0.358,7.446,-27.484,8.491,right,medium,كتب
2025-12-18T15:25:36.287159,0.174,0.009,0.187,-3.745,-35.468,5.59,right,medium,كتب
2025-12-18T15:25:36.358916,-0.003,0.023,0.233,-6.432,12.684,-11.128,right,medium,كتب
2025-12-18T15:25:36.523672,0.256,-0.08,0.322,-51.531,-5.224,-25.769,right,medium,كتب
2025-12-18T15:25:36.585163,0.235,0.077,0.19,27.034,35.524,21.788,right,medium,كتب
2025-12-18T15:25:36.647319,0.125,-0.008,0.129,10.622,-4.384,19.559,right,medium,كتب
2025-12-18T15:25:36.768761,0.129,-0.004,0.276,-4.982,-14.384,11.269,right,medium,كتب
2025-12-18T15:25:36.839743,0.241,-0.057,0.406,-62.859,3.646,-52.425,right,medium,كتب
2025-12-18T15:25:36.934929,0.356,0.148,-0.088,-29.867,4.99,-11.097,right,medium,كتب
2025-12-18T15:25:37.002889,0.268,0.056,0.373,18.927,35.188,11.01,right,medium,كتب
2025-12-18T15:25:37.065529,0.23,0.124,0.157,-31.44,27.661,14.918,right,medium,كتب
