timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T15:30:31.563794,0.423,0.062,0.39,0.713,-2.934,-0.441,right,medium,بيت
2025-12-18T15:30:31.639970,0.433,0.097,0.37,0.912,-16.522,1.88,right,medium,بيت
2025-12-18T15:30:31.713885,0.385,0.036,0.359,19.415,-27.041,22.185,right,medium,بيت
2025-12-18T15:30:31.852370,0.429,0.039,0.448,-8.875,-49.484,3.239,right,medium,بيت
2025-12-18T15:30:31.988545,0.455,0.021,0.378,1.202,6.318,-0.96,right,medium,بيت
2025-12-18T15:30:32.057557,0.319,0.029,0.251,3.431,7.936,6.628,right,medium,بيت
2025-12-18T15:30:32.123600,0.218,0.001,0.245,-34.264,-14.033,-36.425,right,medium,بيت
2025-12-18T15:30:32.261978,0.51,0.205,0.088,10.469,23.524,12.704,right,medium,بيت
2025-12-18T15:30:32.400415,0.358,-0.018,0.32,-11.546,-34.079,-12.547,right,medium,بيت
2025-12-18T15:30:32.570673,0.44,0.148,0.124,14.438,-25.743,14.048,right,medium,بيت
2025-12-18T15:30:32.775265,0.267,0.031,0.258,10.652,11.951,-1.112,right,medium,بيت
2025-12-18T15:30:32.892982,0.331,-0.052,0.154,2.835,-42.934,8.796,right,medium,بيت
2025-12-18T15:30:32.962532,0.247,-0.116,0.321,-22.554,41.203,-40.059,right,medium,بيت
2025-12-18T15:30:33.031842,0.452,0.187,0.042,-15.546,3.417,-1.692,right,medium,بيت
2025-12-18T15:30:33.094574,0.366,0.053,0.183,41.492,49.326,36.063,right,medium,بيت
2025-12-18T15:30:33.281596,0.349,0.001,0.223,24.973,-2.14,13.743,right,medium,بيت
2025-12-18T15:30:33.342585,0.226,-0.018,0.437,-5.623,0.028,1.926,right,medium,بيت
2025-12-18T15:30:33.491068,0.309,0.009,0.205,-17.928,-36.873,-30.502,right,medium,بيت
2025-12-18T15:30:33.634291,0.191,-0.046,0.327,16.912,-21.361,16.781,right,medium,بيت
2025-12-18T15:30:33.703979,0.204,0.028,0.188,2.591,18.15,-1.479,right,medium,بيت
2025-12-18T15:30:33.763474,0.346,-0.057,0.236,6.728,-12.339,3.956,right,medium,بيت
2025-12-18T15:30:33.834014,0.358,0.08,0.162,2.988,-31.346,11.987,right,medium,بيت
2025-12-18T15:30:34.106795,0.123,0.002,0.233,-0.997,-19.942,-1.311,right,medium,بيت
2025-12-18T15:30:34.175855,0.324,0.164,0.043,-10.127,9.203,-8.334,right,medium,بيت
2025-12-18T15:30:34.245609,0.267,0.026,0.209,5.461,9.28,5.773,right,medium,بيت
2025-12-18T15:30:34.357471,0.185,-0.113,0.218,30.118,-0.11,16.185,right,medium,بيت
2025-12-18T15:30:34.418900,0.098,-0.027,0.392,-14.92,7.173,-6.654,right,medium,بيت
2025-12-18T15:30:34.537897,0.488,0.244,-0.038,-12.997,-27.361,-4.899,right,medium,بيت
2025-12-18T15:30:34.619525,0.093,-0.033,0.591,-18.89,-8.201,-1.143,right,medium,بيت
2025-12-18T15:30:34.682459,-0.005,-0.212,0.328,-89.363,-4.72,-54.425,right,medium,بيت
2025-12-18T15:30:34.745029,0.425,0.241,-0.095,-61.043,-25.697,-31.86,right,medium,بيت
