timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-20T19:28:41.033925,0.912,-0.778,0.186,-0.381,-0.741,0.638,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.189841,0.885,-0.812,0.166,-17.022,-16.008,3.432,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.291549,0.224,-0.726,0.832,34.062,70.45,-69.713,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.370706,1.027,-0.85,-0.012,15.008,10.725,14.028,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.496319,0.912,-0.824,0.034,10.26,8.374,-0.598,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.570914,0.932,-0.792,0.081,-4.778,2.832,-2.049,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.645933,0.889,-0.85,-0.042,-10.396,-21.336,7.676,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.740972,0.752,-0.598,-0.174,-0.732,5.229,25.585,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:41.907138,0.884,-0.874,0.017,29.283,-22.206,-25.621,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.111454,0.868,-0.873,0.305,-9.847,10.694,8.852,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.190452,0.881,-0.939,0.176,-28.58,10.084,9.554,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.315680,0.978,-0.773,0.121,12.245,-45.489,12.928,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.387548,0.889,-0.785,0.176,-18.946,17.58,-15.53,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.462720,0.846,-0.81,0.151,-13.16,4.893,9.264,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.540650,0.6,-1.232,0.132,-12.992,14.114,16.226,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.617942,0.792,-0.951,-0.388,4.703,-12.252,22.959,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.692763,1.19,-0.336,-0.106,10.443,9.213,-32.4,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:42.931104,0.736,-0.907,0.326,-1.343,17.839,8.715,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.032278,0.779,-0.913,0.372,-11.572,-56.145,0.531,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.134769,0.886,-1.014,-0.024,1.222,-40.848,-22.385,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.237336,0.985,-0.687,-0.017,-2.549,42.71,4.15,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.339386,1.017,-0.718,0.181,5.161,-6.038,17.905,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.409863,0.816,-0.859,0.277,1.817,35.122,2.531,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.544760,0.677,-0.908,0.019,-11.602,37.076,-16.659,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.646920,0.603,-0.856,-0.44,-14.809,-61.672,26.989,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.749053,0.733,-0.878,0.122,-8.793,-10.115,12.135,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.842657,0.912,-0.945,0.116,-12.427,-7.733,0.837,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:43.925519,0.868,-0.831,0.331,35.665,-57.794,1.829,right,medium,الكتاب صديق لا يمل
2025-12-20T19:28:44.056908,0.943,-0.772,0.433,-11.877,138.542,-24.705,right,medium,الكتاب صديق لا يمل
