timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-20T19:15:42.034413,0.475,-0.796,0.639,-3.038,-2.649,-0.553,right,medium,بيت
2025-12-20T19:15:42.136699,0.444,-0.846,0.556,-8.641,-12.359,-2.598,right,medium,بيت
2025-12-20T19:15:42.206987,0.538,-0.834,0.603,-16.564,-1.916,0.287,right,medium,بيت
2025-12-20T19:15:42.284924,0.857,-0.826,0.544,24.107,-51.916,34.73,right,medium,بيت
2025-12-20T19:15:42.363619,0.861,-0.702,0.743,5.772,49.916,-27.316,right,medium,بيت
2025-12-20T19:15:42.546220,0.421,-0.642,0.833,-26.412,10.358,5.341,right,medium,بيت
2025-12-20T19:15:42.648550,0.821,-0.581,0.89,65.665,-14.374,-6.476,right,medium,بيت
2025-12-20T19:15:42.751153,0.581,-0.811,0.634,-6.549,-4.588,4.333,right,medium,بيت
2025-12-20T19:15:42.824642,0.566,-0.851,0.554,-5.694,-18.298,-9.011,right,medium,بيت
2025-12-20T19:15:42.898624,0.606,-0.844,0.666,-15.602,5.091,2.226,right,medium,بيت
2025-12-20T19:15:43.105149,0.661,-0.812,0.463,-0.641,-58.313,6.608,right,medium,بيت
2025-12-20T19:15:43.182003,0.499,-0.784,0.693,-12.641,9.916,4.806,right,medium,بيت
2025-12-20T19:15:43.295976,0.071,-1.316,0.169,-53.053,-65.58,4.18,right,medium,بيت
2025-12-20T19:15:43.468373,0.632,-0.736,0.653,49.222,6.129,-28.507,right,medium,بيت
2025-12-20T19:15:43.570605,0.508,-0.753,0.693,-8.549,-13.107,-1.331,right,medium,بيت
2025-12-20T19:15:43.675293,0.451,-0.883,0.341,-2.763,-11.016,-5.331,right,medium,بيت
2025-12-20T19:15:43.748988,0.394,-0.815,0.696,-2.366,-94.054,30.318,right,medium,بيت
2025-12-20T19:15:43.845691,0.488,-0.896,0.487,20.565,61.0,-2.873,right,medium,بيت
2025-12-20T19:15:43.980038,0.391,-0.773,0.785,24.611,43.015,3.325,right,medium,بيت
2025-12-20T19:15:44.185005,0.57,-0.783,0.761,-72.442,-59.168,24.058,right,medium,بيت
2025-12-20T19:15:44.287144,0.537,-0.74,0.797,34.962,13.091,-3.346,right,medium,بيت
2025-12-20T19:15:44.369311,0.453,-0.79,0.604,25.985,35.076,-2.568,right,medium,بيت
2025-12-20T19:15:44.444463,0.345,-0.565,0.937,18.764,26.023,-4.843,right,medium,بيت
2025-12-20T19:15:44.521668,0.276,-0.574,0.94,46.52,57.076,12.989,right,medium,بيت
2025-12-20T19:15:44.800943,0.302,-0.699,0.761,-7.068,-14.191,-3.56,right,medium,بيت
