timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T23:08:49.554846,0.607,-0.659,1.233,10.466,-38.062,5.441,right,medium,محمد
2025-12-17T23:08:49.633873,0.622,-0.645,1.22,10.543,-37.084,6.464,right,medium,محمد
2025-12-17T23:08:49.713245,0.601,-0.642,1.219,15.642,-36.031,5.762,right,medium,محمد
2025-12-17T23:08:49.862706,0.626,-0.664,1.216,23.642,-38.825,10.998,right,medium,محمد
2025-12-17T23:08:49.964178,0.507,-0.677,1.281,12.237,-26.947,6.785,right,medium,محمد
2025-12-17T23:08:50.044166,0.573,-0.668,1.242,10.222,-12.978,7.441,right,medium,محمد
2025-12-17T23:08:50.168949,0.64,-0.686,1.267,10.97,-21.787,11.899,right,medium,محمد
2025-12-17T23:08:50.271528,0.661,-0.687,1.27,11.214,-34.367,6.998,right,medium,محمد
2025-12-17T23:08:50.351876,0.628,-0.677,1.281,13.413,-57.71,4.876,right,medium,محمد
2025-12-17T23:08:50.475908,0.425,-0.62,1.347,-4.648,-71.252,-5.964,right,medium,محمد
2025-12-17T23:08:50.579146,0.635,-0.691,1.252,3.428,-15.924,5.899,right,medium,محمد
2025-12-17T23:08:50.680921,0.623,-0.665,1.249,10.069,-36.199,7.304,right,medium,محمد
2025-12-17T23:08:50.758545,0.653,-0.653,1.123,2.146,-75.161,-3.261,right,medium,محمد
2025-12-17T23:08:50.886224,0.494,-0.739,1.453,-20.74,-51.1,-1.353,right,medium,محمد
2025-12-17T23:08:50.963288,0.594,-0.564,1.16,12.71,-28.718,-1.307,right,medium,محمد
2025-12-17T23:08:51.045599,0.5,-0.629,1.247,10.008,-20.535,3.319,right,medium,محمد
2025-12-17T23:08:51.117405,0.6,-0.624,1.172,18.191,-29.512,7.288,right,medium,محمد
2025-12-17T23:08:51.417796,0.539,-0.678,1.256,20.665,-28.581,13.365,right,medium,محمد
2025-12-17T23:08:51.602411,0.502,-0.66,1.332,3.886,-67.909,2.036,right,medium,محمد
2025-12-17T23:08:51.704923,0.6,-0.56,1.13,-2.877,-15.497,2.113,right,medium,محمد
2025-12-17T23:08:51.807331,0.47,-0.611,1.189,24.512,-23.054,-4.376,right,medium,محمد
2025-12-17T23:08:51.911508,0.547,-0.694,1.264,20.68,-31.436,10.494,right,medium,محمد
2025-12-17T23:08:52.012190,0.587,-0.642,1.316,2.39,10.748,10.006,right,medium,محمد
2025-12-17T23:08:52.084980,0.616,-0.669,1.237,13.703,-20.046,11.395,right,medium,محمد
2025-12-17T23:08:52.217501,0.624,-0.61,1.268,21.749,-35.466,-0.086,right,medium,محمد
2025-12-17T23:08:52.294299,0.448,-0.687,1.21,4.665,-47.909,-6.162,right,medium,محمد
2025-12-17T23:08:52.373329,0.682,-0.621,1.351,-3.824,-17.084,8.632,right,medium,محمد
2025-12-17T23:08:52.461389,0.631,-0.66,1.24,9.23,-36.657,5.975,right,medium,محمد
2025-12-17T23:08:52.627434,0.527,-0.634,1.208,14.604,-51.527,-6.59,right,medium,محمد
2025-12-17T23:08:52.709688,0.58,-0.672,1.032,-4.786,-31.558,17.701,right,medium,محمد
2025-12-17T23:08:52.832354,0.593,-0.643,1.204,8.237,-19.97,8.021,right,medium,محمد
2025-12-17T23:08:52.914970,0.471,-0.674,1.094,20.084,-39.558,-0.666,right,medium,محمد
2025-12-17T23:08:53.036602,0.627,-0.647,1.288,12.619,-63.787,6.204,right,medium,محمد
2025-12-17T23:08:53.138757,0.471,-0.773,1.23,-29.198,-36.321,-11.246,right,medium,محمد
2025-12-17T23:08:53.240812,0.54,-0.631,1.184,-17.412,10.87,7.655,right,medium,محمد
2025-12-17T23:08:53.343423,0.806,-0.546,1.049,19.749,-23.985,9.365,right,medium,محمد
2025-12-17T23:08:53.445885,0.545,-0.622,1.188,17.596,-41.237,6.357,right,medium,محمد
2025-12-17T23:08:53.548570,0.553,-0.614,1.189,10.543,-36.077,4.678,right,medium,محمد
2025-12-17T23:08:53.652151,0.623,-0.634,1.183,13.214,-42.26,8.754,right,medium,محمد
2025-12-17T23:08:53.753108,0.58,-0.621,1.184,10.848,-37.054,4.388,right,medium,محمد
2025-12-17T23:08:53.834212,0.555,-0.613,1.191,7.062,-33.695,3.991,right,medium,محمد
2025-12-17T23:08:53.957961,0.567,-0.6,1.162,9.138,-35.985,5.151,right,medium,محمد
2025-12-17T23:08:54.032255,0.58,-0.624,1.18,8.97,-33.1,3.701,right,medium,محمد
2025-12-17T23:08:54.163171,0.572,-0.634,1.184,9.52,-34.214,4.861,right,medium,محمد
2025-12-17T23:08:54.265565,0.56,-0.669,1.231,-1.763,-25.588,3.868,right,medium,محمد
