timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T22:30:57.007658,-0.28,-0.333,1.309,7.072,-4.274,9.429,right,medium,سلام
2025-12-18T22:30:57.110024,-0.27,-0.336,1.32,6.201,-6.808,12.498,right,medium,سلام
2025-12-18T22:30:57.250782,-0.355,-0.341,1.214,3.484,-9.007,23.383,right,medium,سلام
2025-12-18T22:30:57.416428,-0.236,-0.327,1.314,7.514,-1.907,8.254,right,medium,سلام
2025-12-18T22:30:57.484549,-0.304,-0.332,1.317,13.911,1.36,3.475,right,medium,سلام
2025-12-18T22:30:57.547150,-0.275,-0.325,1.412,11.85,-1.984,7.979,right,medium,سلام
2025-12-18T22:30:57.618436,-0.171,-0.337,1.283,10.018,-9.999,8.483,right,medium,سلام
2025-12-18T22:30:57.810827,-0.066,-0.369,1.373,-7.875,-10.991,27.292,right,medium,سلام
2025-12-18T22:30:57.928364,-0.259,-0.248,1.091,-22.012,-38.442,26.498,right,medium,سلام
2025-12-18T22:30:57.995328,-0.223,-0.372,1.337,21.148,-11.938,-10.113,right,medium,سلام
2025-12-18T22:30:58.061153,-0.245,-0.35,1.33,19.285,4.093,-17.548,right,medium,سلام
2025-12-18T22:30:58.131227,-0.076,-0.357,1.358,12.217,6.566,7.551,right,medium,سلام
2025-12-18T22:30:58.315149,-0.229,-0.346,1.327,9.438,-0.442,10.895,right,medium,سلام
2025-12-18T22:30:58.379102,-0.207,-0.324,1.327,20.461,-2.732,8.009,right,medium,سلام
2025-12-18T22:30:58.453025,-0.172,-0.371,1.24,15.728,-1.999,12.116,right,medium,سلام
2025-12-18T22:30:58.519653,-0.201,-0.361,1.236,17.24,-8.457,9.17,right,medium,سلام
2025-12-18T22:30:58.709345,-0.113,-0.365,1.589,-32.119,-41.663,26.956,right,medium,سلام
2025-12-18T22:30:58.849610,-0.316,-0.31,1.249,-20.333,-32.808,22.406,right,medium,سلام
2025-12-18T22:30:58.977071,-0.192,-0.41,1.463,18.415,-6.839,-10.128,right,medium,سلام
2025-12-18T22:30:59.040767,-0.144,-0.376,1.399,11.27,7.329,9.444,right,medium,سلام
2025-12-18T22:30:59.105408,-0.151,-0.357,1.435,-0.44,0.413,27.643,right,medium,سلام
2025-12-18T22:30:59.173363,-0.468,-0.358,1.159,7.377,9.329,17.75,right,medium,سلام
2025-12-18T22:30:59.566775,-0.249,-0.39,1.287,20.415,-11.129,9.261,right,medium,سلام
2025-12-18T22:30:59.634384,-0.379,-0.242,1.017,25.896,5.528,-15.67,right,medium,سلام
2025-12-18T22:30:59.696075,-0.249,-0.239,1.406,14.201,-45.465,9.475,right,medium,سلام
2025-12-18T22:30:59.976419,-0.324,-0.332,1.343,6.66,-17.77,-7.136,right,medium,سلام
2025-12-18T22:31:00.056921,-0.262,-0.341,1.322,14.889,3.406,-13.578,right,medium,سلام
2025-12-18T22:31:00.210437,-0.119,-0.36,1.356,15.224,17.833,16.544,right,medium,سلام
2025-12-18T22:31:00.281052,-0.306,-0.335,1.302,6.98,9.925,18.773,right,medium,سلام
2025-12-18T22:31:00.351193,-0.28,-0.425,1.237,30.156,2.077,8.727,right,medium,سلام
2025-12-18T22:31:00.418494,-0.16,-0.42,1.435,40.201,-9.755,17.475,right,medium,سلام
2025-12-18T22:31:00.693336,-0.155,-0.412,1.559,-5.585,-42.319,15.872,right,medium,سلام
2025-12-18T22:31:00.758914,-0.538,-0.207,1.106,0.537,-36.426,-20.617,right,medium,سلام
2025-12-18T22:31:00.827827,-0.256,-0.446,1.403,36.95,-7.342,-31.319,right,medium,سلام
2025-12-18T22:31:00.900354,-0.211,-0.378,1.388,21.301,7.131,-15.899,right,medium,سلام
2025-12-18T22:31:01.091822,-0.279,-0.382,1.427,6.751,-14.487,24.131,right,medium,سلام
2025-12-18T22:31:01.178487,-0.269,-0.563,1.6,-29.203,15.818,9.918,right,medium,سلام
2025-12-18T22:31:01.254155,-0.513,-0.282,1.238,2.812,-16.335,15.078,right,medium,سلام
2025-12-18T22:31:01.357767,-0.261,-0.386,1.501,11.514,-20.35,4.544,right,medium,سلام
2025-12-18T22:31:01.427227,-0.247,-0.19,1.367,8.797,-16.93,11.551,right,medium,سلام
2025-12-18T22:31:01.495767,-0.095,-0.235,0.872,0.308,0.948,6.574,right,medium,سلام
2025-12-18T22:31:01.569204,-0.175,-0.385,1.194,1.255,-9.449,2.605,right,medium,سلام
2025-12-18T22:31:01.856259,-0.14,-0.376,1.414,12.797,4.23,-2.342,right,medium,سلام
2025-12-18T22:31:01.921280,-0.29,-0.336,1.29,3.514,4.627,21.796,right,medium,سلام
2025-12-18T22:31:01.997713,-0.317,-0.332,1.298,6.431,3.619,16.849,right,medium,سلام
2025-12-18T22:31:02.125924,-0.293,-0.313,1.157,19.957,-2.289,11.612,right,medium,سلام
2025-12-18T22:31:02.193273,-0.08,-0.364,1.27,-7.569,-32.869,-19.426,right,medium,سلام
2025-12-18T22:31:02.434259,-0.213,-0.354,1.327,17.285,1.772,13.2,right,medium,سلام
2025-12-18T22:31:02.503303,-0.191,-0.354,1.305,21.148,-8.961,8.422,right,medium,سلام
2025-12-18T22:31:02.572733,-0.234,-0.405,1.346,19.56,-8.808,6.528,right,medium,سلام
2025-12-18T22:31:02.636361,-0.247,-0.38,1.358,21.377,-12.35,13.292,right,medium,سلام
2025-12-18T22:31:02.946206,-0.281,-0.386,1.381,8.324,-13.831,10.162,right,medium,سلام
2025-12-18T22:31:03.010401,-0.016,-0.402,1.423,3.835,-12.09,30.91,right,medium,سلام
2025-12-18T22:31:03.073532,-0.176,-0.389,1.381,6.125,-5.312,13.597,right,medium,سلام
2025-12-18T22:31:03.298766,-0.362,-0.364,1.35,8.904,-14.716,10.025,right,medium,سلام
2025-12-18T22:31:03.370872,-0.292,-0.378,1.349,7.911,-8.487,10.605,right,medium,سلام
2025-12-18T22:31:03.472828,-0.281,-0.381,1.389,6.995,-12.487,9.17,right,medium,سلام
2025-12-18T22:31:03.535677,-0.309,-0.376,1.381,6.827,-9.403,8.986,right,medium,سلام
2025-12-18T22:31:03.609710,-0.27,-0.379,1.333,7.85,-3.724,7.124,right,medium,سلام
