timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T08:47:53.605692,-0.118,-0.82,0.289,0.203,0.51,-4.839,right,medium,محمد
2025-12-19T08:47:53.682871,-0.1,-0.835,0.302,0.157,0.571,-0.32,right,medium,محمد
2025-12-19T08:47:53.761432,-0.157,-0.813,0.26,-1.782,-0.361,-0.381,right,medium,محمد
2025-12-19T08:47:53.915965,-0.134,-0.82,0.261,0.615,1.334,-0.274,right,medium,محمد
2025-12-19T08:47:54.014280,-0.117,-0.821,0.276,0.783,0.449,-0.442,right,medium,محمد
2025-12-19T08:47:54.115276,-0.173,-0.792,0.289,-0.453,1.823,-2.732,right,medium,محمد
2025-12-19T08:47:54.227687,-0.019,-0.871,0.34,6.142,3.09,-15.037,right,medium,محمد
2025-12-19T08:47:54.328187,-0.159,-0.834,0.221,-0.072,1.716,-1.862,right,medium,محمد
2025-12-19T08:47:54.423388,-0.095,-0.853,0.348,-3.018,-0.605,-4.839,right,medium,محمد
2025-12-19T08:47:54.575647,-0.125,-0.856,0.304,-5.049,2.525,-5.236,right,medium,محمد
2025-12-19T08:47:54.802099,-0.102,-0.854,0.284,2.081,1.899,2.199,right,medium,محمد
2025-12-19T08:47:54.936480,-0.065,-0.84,0.267,0.173,-2.238,3.421,right,medium,محمد
2025-12-19T08:47:55.003143,-0.06,-0.852,0.342,1.516,-0.406,1.986,right,medium,محمد
2025-12-19T08:47:55.150519,-0.152,-0.829,0.211,-2.255,-3.017,-0.365,right,medium,محمد
2025-12-19T08:47:55.219723,-0.126,-0.791,0.302,-16.637,-10.269,3.406,right,medium,محمد
2025-12-19T08:47:55.295866,-0.07,-0.852,0.26,-2.713,-1.735,8.459,right,medium,محمد
2025-12-19T08:47:55.448799,-0.197,-0.711,0.346,16.493,1.41,15.864,right,medium,محمد
2025-12-19T08:47:55.526740,-0.106,-0.832,0.319,2.02,-3.506,-1.068,right,medium,محمد
2025-12-19T08:47:55.653056,-0.14,-0.774,0.267,-3.476,-6.177,-10.121,right,medium,محمد
2025-12-19T08:47:55.724233,-0.059,-0.825,0.231,14.31,5.685,-16.61,right,medium,محمد
2025-12-19T08:47:55.802610,-0.107,-0.844,0.308,3.226,3.242,-3.144,right,medium,محمد
2025-12-19T08:47:55.960319,-0.123,-0.837,0.312,-5.995,-0.895,-4.625,right,medium,محمد
2025-12-19T08:47:56.036253,-0.06,-0.8,0.121,-9.522,-10.956,10.719,right,medium,محمد
2025-12-19T08:47:56.111337,-0.107,-0.829,0.233,-8.881,-8.498,11.161,right,medium,محمد
2025-12-19T08:47:56.267564,-0.085,-0.867,0.388,2.86,-3.246,6.108,right,medium,محمد
2025-12-19T08:47:56.343690,-0.101,-0.837,0.315,-3.263,-4.101,5.436,right,medium,محمد
2025-12-19T08:47:56.417605,-0.177,-0.831,0.308,-6.179,-2.391,-3.175,right,medium,محمد
2025-12-19T08:47:56.494882,-0.313,-0.715,0.279,17.333,5.044,-20.167,right,medium,محمد
2025-12-19T08:47:56.572872,-0.111,-0.836,0.245,2.966,-2.544,-0.762,right,medium,محمد
2025-12-19T08:47:56.759586,0.102,-0.807,0.45,-13.827,-11.551,17.696,right,medium,محمد
2025-12-19T08:47:56.882284,0.041,-0.727,0.403,-2.362,-11.109,27.803,right,medium,محمد
2025-12-19T08:47:57.086677,-0.177,-0.822,0.2,3.043,-6.773,-4.396,right,medium,محمد
2025-12-19T08:47:57.205526,-0.11,-0.833,0.22,3.119,-4.971,-3.22,right,medium,محمد
2025-12-19T08:47:57.290675,-0.064,-0.849,0.346,1.852,-3.414,3.329,right,medium,محمد
2025-12-19T08:47:57.362577,-0.096,-0.853,0.326,-1.629,-5.551,6.108,right,medium,محمد
2025-12-19T08:47:57.438469,-0.063,-0.86,0.428,-5.4,1.502,4.123,right,medium,محمد
2025-12-19T08:47:57.516498,0.693,-1.489,0.368,92.142,9.288,48.612,right,medium,محمد
2025-12-19T08:47:57.593500,-0.188,-0.786,0.327,57.226,71.517,65.467,right,medium,محمد
2025-12-19T08:47:57.801827,-0.48,-0.579,0.06,-20.423,46.174,29.97,right,medium,محمد
2025-12-19T08:47:58.027700,-0.392,-0.707,0.093,-6.743,-23.582,-14.9,right,medium,محمد
