timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T18:13:48.268837,-1.462,-0.663,0.851,-9.483,2.678,2.538,right,medium,شمس
2025-12-16T18:13:48.335457,-1.523,-0.665,0.823,-1.56,1.976,-0.576,right,medium,شمس
2025-12-16T18:13:48.471932,-1.517,-0.657,0.763,0.211,1.777,-1.858,right,medium,شمس
2025-12-16T18:13:48.568702,-1.518,-0.653,0.753,-1.102,0.174,5.897,right,medium,شمس
2025-12-16T18:13:48.634812,-1.555,-0.619,0.79,-1.102,5.884,6.645,right,medium,شمس
2025-12-16T18:13:48.779932,-1.567,-0.634,0.747,2.898,4.999,1.317,right,medium,شمس
2025-12-16T18:13:48.840575,-1.502,-0.645,0.756,-1.957,4.007,4.386,right,medium,شمس
2025-12-16T18:13:48.985534,-1.562,-0.616,0.704,8.364,-3.016,-3.904,right,medium,شمس
2025-12-16T18:13:49.088056,-1.508,-0.658,0.783,1.509,4.083,-1.874,right,medium,شمس
2025-12-16T18:13:49.152712,-1.514,-0.655,0.752,0.028,5.945,2.706,right,medium,شمس
2025-12-16T18:13:49.221524,-1.55,-0.619,0.808,6.272,-5.215,-5.843,right,medium,شمس
2025-12-16T18:13:49.281167,-1.543,-0.635,0.779,-2.873,1.961,1.287,right,medium,شمس
2025-12-16T18:13:49.601111,-1.464,-0.688,0.795,4.608,5.045,-18.912,right,medium,شمس
2025-12-16T18:13:49.675636,-1.565,-0.649,0.763,-9.224,-11.505,-0.393,right,medium,شمس
2025-12-16T18:13:49.751819,-1.51,-0.666,0.708,-2.689,7.686,-2.133,right,medium,شمس
2025-12-16T18:13:49.820079,-1.392,-0.692,0.801,-1.041,5.228,-0.439,right,medium,شمس
2025-12-16T18:13:50.018866,-1.423,-0.682,0.923,-6.598,3.961,2.737,right,medium,شمس
2025-12-16T18:13:50.089470,-1.478,-0.686,0.729,-0.979,0.617,3.241,right,medium,شمس
2025-12-16T18:13:50.158597,-1.523,-0.728,0.799,-1.59,-14.971,-1.385,right,medium,شمس
2025-12-16T18:13:50.224027,-1.596,-0.678,0.934,-13.758,-10.116,-6.897,right,medium,شمس
2025-12-16T18:13:50.405120,-1.616,-0.605,0.786,1.265,15.93,27.745,right,medium,شمس
2025-12-16T18:13:50.467075,-1.609,-0.611,0.703,-7.88,2.617,4.966,right,medium,شمس
2025-12-16T18:13:50.624201,-1.597,-0.603,0.727,-8.75,-6.421,-7.217,right,medium,شمس
2025-12-16T18:13:50.695738,-1.452,-0.695,0.721,-1.193,20.77,-1.278,right,medium,شمس
2025-12-16T18:13:50.771515,-1.418,-0.676,0.939,3.662,13.274,-6.836,right,medium,شمس
2025-12-16T18:13:50.846660,-1.408,-0.619,0.739,-12.308,-8.329,-9.08,right,medium,شمس
2025-12-16T18:13:50.923103,-1.459,-0.666,0.788,-7.834,-14.879,14.142,right,medium,شمس
2025-12-16T18:13:51.036511,-1.442,-0.709,0.862,-3.483,8.174,1.149,right,medium,شمس
2025-12-16T18:13:51.097387,-1.12,-0.772,0.684,-6.644,0.999,-9.37,right,medium,شمس
2025-12-16T18:13:51.289877,-1.436,-0.696,0.741,-4.506,5.839,6.645,right,medium,شمس
2025-12-16T18:13:51.355950,-1.643,-0.69,0.71,0.227,-4.116,0.05,right,medium,شمس
2025-12-16T18:13:51.429588,-1.477,-0.67,0.785,-4.216,-6.146,-2.026,right,medium,شمس
2025-12-16T18:13:51.498273,-1.498,-0.685,0.73,-1.346,5.228,1.607,right,medium,شمس
2025-12-16T18:13:51.685285,-1.317,-0.71,0.805,-3.605,-0.1,2.508,right,medium,شمس
2025-12-16T18:13:51.853103,-1.396,-0.582,0.728,-7.865,25.106,-15.309,right,medium,شمس
2025-12-16T18:13:51.923663,-1.501,-0.541,0.902,-0.689,-17.841,15.439,right,medium,شمس
2025-12-16T18:13:52.106097,-1.289,-0.707,1.086,32.517,59.426,75.027,right,medium,شمس
2025-12-16T18:13:52.172720,-1.568,-0.607,0.752,24.608,13.319,-7.828,right,medium,شمس
2025-12-16T18:13:52.235158,-1.613,-0.596,0.732,7.326,2.144,-19.233,right,medium,شمس
2025-12-16T18:13:52.467633,-1.357,-0.729,0.565,-2.002,8.877,36.859,right,medium,شمس
2025-12-16T18:13:52.600374,-1.299,-0.718,0.89,4.669,2.068,-19.11,right,medium,شمس
2025-12-16T18:13:52.671389,-1.682,-0.508,0.786,-4.949,17.197,36.279,right,medium,شمس
2025-12-16T18:13:52.752579,-1.651,-0.608,0.632,11.662,-9.78,-51.08,right,medium,شمس
2025-12-16T18:13:52.876954,-1.345,-0.7,0.969,-14.506,9.564,0.325,right,medium,شمس
2025-12-16T18:13:52.971790,-1.673,-0.549,0.73,-1.514,17.121,33.913,right,medium,شمس
2025-12-16T18:13:53.035533,-1.581,-0.614,0.629,-7.346,13.732,5.027,right,medium,شمس
2025-12-16T18:13:53.098900,-1.536,-0.598,0.689,-16.155,7.35,-4.561,right,medium,شمس
2025-12-16T18:13:53.168241,-1.592,-0.585,0.727,-21.636,10.373,20.233,right,medium,شمس
