timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T20:05:14.810035,0.414,-0.143,1.022,-0.51,-0.385,-0.557,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:14.892176,0.446,-0.14,1.013,0.864,-2.461,1.275,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.023227,0.446,-0.131,1.006,-0.434,0.379,0.16,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.094260,0.438,-0.141,0.995,1.459,3.234,-1.305,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.304572,0.423,-0.15,1.021,-0.388,1.89,-2.863,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.387807,0.464,-0.133,1.022,-0.144,-1.24,-0.817,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.451337,0.458,-0.137,0.994,1.597,-1.255,1.183,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.523167,0.437,-0.15,1.025,-0.19,1.829,0.481,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.627103,0.447,-0.142,1.018,-0.174,1.86,-0.054,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.692996,0.457,-0.146,1.022,-0.373,-0.201,0.618,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:15.762606,0.432,-0.139,1.02,-0.083,-0.125,0.511,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.020904,0.403,-0.165,1.001,6.513,16.852,-4.344,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.225739,0.387,-0.22,1.208,18.528,-19.728,11.473,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.337856,0.702,-0.084,1.048,-19.899,14.394,-18.496,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.408020,0.554,-0.169,1.411,-0.174,-4.049,3.092,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.474029,0.448,-0.161,1.088,5.139,1.967,7.733,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.634709,0.465,-0.069,0.924,25.413,5.127,19.092,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.700505,0.554,-0.179,1.173,-4.19,-17.392,4.511,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.840220,0.458,-0.177,1.088,-4.419,-3.652,-11.412,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:16.942163,0.615,-0.036,0.988,-21.625,25.234,-18.176,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.078675,0.681,-0.099,0.93,27.108,-50.201,19.672,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.145662,0.574,-0.199,0.982,13.261,4.104,-20.206,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.218722,0.451,0.011,0.755,-11.289,23.203,-17.794,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.289320,0.579,-0.144,1.064,8.711,-11.179,12.053,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.454351,0.521,-0.147,1.041,-0.113,9.493,-3.076,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.525054,0.203,-0.215,1.282,14.391,1.112,-31.855,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.593846,0.603,-0.12,0.901,-52.541,4.806,-1.702,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.656387,0.554,-0.098,0.928,-15.961,8.348,-13.107,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.838596,0.74,-0.173,1.047,-0.602,-4.675,16.527,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:17.983184,0.307,-0.178,1.019,0.452,8.272,12.557,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.054386,0.524,-0.154,1.054,-0.281,-0.324,2.328,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.115924,0.455,-0.167,1.044,1.505,-6.415,3.153,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.273938,0.464,-0.156,1.035,-3.289,2.18,-2.084,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.344282,0.54,-0.177,1.172,0.681,9.447,8.374,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.418676,0.234,-0.17,0.956,-5.793,-1.377,6.237,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.495246,0.516,-0.198,1.098,-1.701,-10.4,5.412,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.644173,0.372,-0.146,1.178,-4.51,-13.82,-3.687,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.709247,0.472,-0.168,1.082,-12.602,-2.262,-9.84,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.804641,0.371,-0.178,1.155,-3.899,4.654,-4.741,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:18.863092,0.565,-0.213,0.976,5.612,-1.728,3.748,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.055731,0.427,-0.191,0.945,-57.35,18.562,-25.718,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.125194,0.735,-0.032,0.965,24.528,-20.675,9.473,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.186305,0.015,-0.054,0.829,-1.197,-2.949,16.42,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.373181,0.571,-0.194,1.214,1.704,-13.911,6.023,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.442632,0.484,-0.156,1.187,-7.503,-19.285,-1.809,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.605031,0.589,-0.186,0.891,-9.762,-7.133,-5.687,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.675996,0.578,-0.193,1.141,9.597,10.363,5.137,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.743342,0.266,-0.143,0.709,-0.342,-25.117,5.061,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.807546,0.257,-0.17,1.161,-1.014,-25.346,7.107,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:19.881989,0.635,-0.466,1.031,-48.235,-43.774,-16.832,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.121666,0.635,0.01,0.866,17.978,-16.369,2.13,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.195230,0.343,-0.193,1.21,3.383,34.18,-2.817,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.273228,0.68,-0.254,0.854,19.383,26.821,16.221,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.423806,0.279,-0.165,0.893,15.902,-5.056,1.779,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.531247,0.626,-0.129,1.008,-42.128,120.623,41.687,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.605681,0.5,-0.174,1.103,13.673,-15.804,28.038,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.731047,0.624,-0.182,1.038,12.284,-7.469,3.305,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.801280,0.297,-0.168,1.324,31.673,-20.308,30.343,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.870788,0.458,-0.25,1.193,-31.304,-40.69,-17.565,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:20.933454,0.676,-0.021,1.213,-45.212,41.386,-42.176,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.123708,0.563,-0.122,0.985,4.36,-10.461,-1.672,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.353453,0.651,-0.026,0.859,38.345,-45.423,22.099,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.425291,-0.029,-0.178,1.164,-11.472,8.455,-35.641,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.494979,0.855,0.131,0.69,-6.999,26.211,-16.038,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.653083,0.083,-0.012,1.148,-0.846,-31.835,66.145,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.719243,0.723,-0.101,0.991,-24.632,50.226,-29.947,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.858007,0.795,-0.067,0.952,12.131,11.188,-21.748,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.927673,-0.242,-0.201,0.974,20.757,-16.995,38.863,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:21.994461,0.521,-0.169,1.069,8.162,-5.285,5.336,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.059572,0.377,-0.183,1.096,-1.319,-7.82,9.046,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.239713,0.452,-0.168,1.067,6.345,-7.713,4.878,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.312249,0.459,-1.062,1.249,26.559,-7.408,14.878,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.472453,0.446,-0.203,1.163,-3.609,2.425,-3.015,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.545225,0.421,-0.185,1.071,1.704,10.47,-2.221,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.616731,0.49,-0.155,1.06,17.917,2.516,10.572,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.780598,0.292,-0.166,1.177,10.833,-8.949,-3.763,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.915615,0.497,-0.182,1.031,-1.67,1.417,-5.809,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:22.975274,0.512,-0.215,1.16,12.024,6.15,11.809,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.045804,0.219,-0.163,1.342,9.566,-18.293,11.733,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.114752,0.208,-0.135,0.843,21.872,-9.148,-5.931,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.393917,0.427,-0.241,1.213,-37.09,-7.789,-60.802,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.463409,0.482,-0.172,1.098,7.475,-9.24,19.183,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.598371,0.531,-0.169,1.068,3.047,-3.041,5.55,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.667110,0.44,-0.166,1.068,1.368,-1.545,2.817,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.734529,0.488,-0.36,1.175,10.665,3.051,14.542,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.805500,0.421,-0.183,1.096,4.665,5.661,6.969,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.905327,0.422,-0.158,1.112,-4.327,-5.194,-0.695,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:23.979816,0.407,-0.214,0.857,-6.19,-7.377,-0.618,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:24.054341,0.52,-0.324,0.824,31.368,6.043,20.023,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:24.242126,0.706,-0.059,0.85,-18.77,32.928,-27.886,right,medium,الاجتهاد طريق النجاح
2025-12-16T20:05:24.303001,0.378,-0.088,1.132,-7.121,-15.423,3.656,right,medium,الاجتهاد طريق النجاح
