timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-16T18:08:37.681331,-1.294,-0.639,0.051,5.631,-2.742,2.325,right,medium,كتب
2025-12-16T18:08:37.747897,-1.282,-0.639,0.108,6.883,-0.36,7.745,right,medium,كتب
2025-12-16T18:08:37.812050,-1.236,-0.632,0.035,4.868,-2.803,4.538,right,medium,كتب
2025-12-16T18:08:37.989196,-1.304,-0.665,0.066,7.127,-16.619,-0.515,right,medium,كتب
2025-12-16T18:08:38.091214,-1.335,-0.636,0.041,0.166,-13.658,3.103,right,medium,كتب
2025-12-16T18:08:38.157846,-1.326,-0.649,0.107,2.028,-0.345,-2.133,right,medium,كتب
2025-12-16T18:08:38.313031,-1.318,-0.642,0.115,0.99,0.8,1.851,right,medium,كتب
2025-12-16T18:08:38.399425,-1.429,-0.635,0.054,0.853,24.48,-3.614,right,medium,كتب
2025-12-16T18:08:38.458042,-1.296,-0.626,0.087,2.379,11.426,-3.217,right,medium,كتب
2025-12-16T18:08:38.524720,-1.34,-0.611,0.081,0.715,-1.322,2.722,right,medium,كتب
2025-12-16T18:08:38.858150,-1.331,-0.643,0.107,2.104,-4.131,-2.561,right,medium,كتب
2025-12-16T18:08:38.928910,-1.325,-0.633,0.111,-0.002,-3.001,3.241,right,medium,كتب
2025-12-16T18:08:39.052889,-1.355,-0.625,0.072,-0.46,-8.757,-1.431,right,medium,كتب
2025-12-16T18:08:39.217735,-1.346,-0.638,0.109,2.166,-11.306,2.371,right,medium,كتب
2025-12-16T18:08:39.319677,-1.423,-0.661,0.14,5.188,7.442,-4.255,right,medium,كتب
2025-12-16T18:08:39.386186,-1.262,-0.59,0.302,10.166,13.686,-10.454,right,medium,كتب
2025-12-16T18:08:39.449756,-1.371,-0.669,0.186,-2.827,2.388,-4.301,right,medium,كتب
2025-12-16T18:08:39.731487,-1.425,-0.663,0.187,6.318,9.213,-2.637,right,medium,كتب
2025-12-16T18:08:39.806606,-1.322,-0.677,0.137,1.555,-6.314,-0.194,right,medium,كتب
2025-12-16T18:08:39.876247,-1.149,-0.683,0.122,-4.857,-2.452,-9.385,right,medium,كتب
2025-12-16T18:08:40.037502,-1.258,-0.671,0.112,-9.025,-10.421,-2.545,right,medium,كتب
2025-12-16T18:08:40.139360,-1.342,-0.66,0.175,-3.667,0.281,-0.072,right,medium,كتب
2025-12-16T18:08:40.287336,-1.373,-0.712,0.049,5.646,0.48,-4.866,right,medium,كتب
2025-12-16T18:08:40.353724,-1.303,-0.67,0.148,-0.46,-10.757,-0.087,right,medium,كتب
2025-12-16T18:08:40.451660,-1.269,-0.69,0.125,-1.682,-12.146,0.035,right,medium,كتب
2025-12-16T18:08:40.548872,-1.388,-0.671,0.207,-4.583,-8.406,-1.416,right,medium,كتب
2025-12-16T18:08:40.697712,-1.312,-0.688,0.119,-0.476,5.747,-2.607,right,medium,كتب
2025-12-16T18:08:40.856720,-1.239,-0.674,0.136,12.12,-0.833,-2.026,right,medium,كتب
2025-12-16T18:08:40.958393,-1.288,-0.67,-0.06,-1.361,-10.329,-5.37,right,medium,كتب
2025-12-16T18:08:41.026644,-1.386,-0.728,0.338,-34.521,-13.948,-6.271,right,medium,كتب
2025-12-16T18:08:41.107398,-1.479,-0.718,0.005,-45.926,56.694,33.989,right,medium,كتب
2025-12-16T18:08:41.174487,-1.292,-0.523,-0.146,4.883,-4.329,14.722,right,medium,كتب
2025-12-16T18:08:41.470556,-1.365,-0.616,0.08,10.104,-8.772,-6.057,right,medium,كتب
2025-12-16T18:08:41.545967,-1.235,-0.68,0.061,-21.483,11.762,-4.255,right,medium,كتب
2025-12-16T18:08:41.610574,-1.402,-0.553,-0.025,10.395,-7.261,2.783,right,medium,كتب
2025-12-16T18:08:41.672832,-1.35,-0.686,0.169,24.807,-0.619,6.737,right,medium,كتب
2025-12-16T18:08:41.983506,-1.407,-0.59,0.05,-1.575,19.396,-9.965,right,medium,كتب
2025-12-16T18:08:42.083448,-1.424,-0.752,0.47,53.753,-5.932,5.271,right,medium,كتب
2025-12-16T18:08:42.154166,-1.112,-0.775,-0.111,-51.361,-7.429,3.042,right,medium,كتب
2025-12-16T18:08:42.216564,-1.311,-0.601,-0.015,-69.605,73.411,1.302,right,medium,كتب
2025-12-16T18:08:42.406860,-1.338,-0.624,0.082,13.082,-11.856,-2.072,right,medium,كتب
