timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T12:13:52.899147,0.643,-0.163,1.894,0.001,-7.287,20.107,right,medium,قلم
2025-12-17T12:13:52.979109,0.566,-0.167,1.886,-0.274,-7.073,18.214,right,medium,قلم
2025-12-17T12:13:53.086868,0.595,-0.156,1.879,-2.58,-7.561,21.176,right,medium,قلم
2025-12-17T12:13:53.265615,0.573,-0.153,1.87,-2.702,-8.157,20.184,right,medium,قلم
2025-12-17T12:13:53.671803,0.672,-0.155,1.9,0.184,-7.775,15.756,right,medium,قلم
2025-12-17T12:13:53.966502,0.098,-0.179,2.257,-1.205,-2.859,-12.335,right,medium,قلم
2025-12-17T12:13:54.191064,1.022,0.025,1.776,-31.007,-6.248,-28.564,right,medium,قلم
2025-12-17T12:13:54.596588,0.662,-0.091,1.79,-5.312,-14.844,34.825,right,medium,قلم
2025-12-17T12:13:55.211841,0.678,-0.155,1.783,2.26,-2.187,28.031,right,medium,قلم
2025-12-17T12:13:55.718475,0.623,-0.166,2.014,-8.457,-18.126,6.245,right,medium,قلم
2025-12-17T12:13:56.029955,0.552,-0.142,1.972,5.146,-4.645,30.184,right,medium,قلم
2025-12-17T12:13:56.132002,0.413,-0.233,2.166,-25.083,-17.332,-35.19,right,medium,قلم
2025-12-17T12:13:56.337350,0.686,-0.133,1.909,-1.77,-5.363,-19.511,right,medium,قلم
