timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T12:08:17.394180,0.676,-0.132,1.682,-1.618,-9.5,27.68,right,medium,بيت
2025-12-17T12:08:17.496036,0.677,-0.145,1.699,1.97,-9.821,28.046,right,medium,بيت
2025-12-17T12:08:17.596936,0.669,-0.152,1.709,-1.694,-7.729,21.924,right,medium,بيت
2025-12-17T12:08:17.801989,0.688,-0.141,1.687,-1.74,-8.89,22.184,right,medium,بيت
2025-12-17T12:08:18.008429,0.673,-0.145,1.693,-3.236,-8.539,21.237,right,medium,بيت
2025-12-17T12:08:18.110637,0.678,-0.148,1.692,-2.793,-9.485,22.55,right,medium,بيت
2025-12-17T12:08:18.519321,0.672,-0.12,1.685,0.978,-6.737,24.962,right,medium,بيت
2025-12-17T12:08:18.932530,0.903,0.007,1.495,-18.228,-15.485,10.825,right,medium,بيت
2025-12-17T12:08:19.175033,0.544,-0.247,1.873,-49.068,7.339,-84.03,right,medium,بيت
2025-12-17T12:08:20.092046,0.721,-0.085,1.76,33.497,-36.477,128.993,right,medium,بيت
2025-12-17T12:08:20.922006,0.869,-0.028,1.57,-7.618,-2.859,3.176,right,medium,بيت
