timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T12:17:11.485582,0.722,-0.115,1.675,-3.801,-8.004,20.978,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:11.612200,0.702,-0.124,1.678,-3.954,-8.508,21.42,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:11.703861,0.724,-0.12,1.682,-3.984,-7.47,18.871,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:11.804192,0.725,-0.121,1.667,-1.969,-8.187,20.001,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:11.920398,0.717,-0.114,1.664,-1.969,-8.706,19.543,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.001941,0.732,-0.115,1.677,-3.557,-8.218,20.169,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.079438,0.716,-0.128,1.698,-5.511,-13.271,24.55,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.227029,0.692,-0.126,1.67,-2.961,-8.05,22.703,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.305924,0.683,-0.125,1.651,2.718,-11.958,36.291,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.386864,0.674,-0.148,1.683,5.298,-6.645,38.306,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.480008,0.319,-0.2,2.04,19.711,23.446,39.054,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.558428,0.941,-0.023,1.471,-64.06,-41.836,-18.625,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.791882,0.715,-0.109,1.589,-5.221,-20.798,22.275,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:12.909398,0.493,-0.128,1.666,8.657,4.24,11.359,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.048531,0.629,-0.165,1.825,-11.755,-17.851,1.756,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.135122,0.71,-0.143,1.683,-7.099,-17.913,17.115,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.216845,0.483,-0.123,1.675,-2.351,-15.287,43.024,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.353216,0.562,-0.152,1.669,3.237,-6.676,17.054,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.434046,0.918,0.037,1.453,-26.87,7.126,14.23,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.559885,0.575,-0.208,1.783,18.398,-1.806,17.863,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.762395,0.585,-0.15,1.721,3.619,-6.859,31.817,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:13.865101,0.777,-0.119,1.676,-14.717,-9.836,4.962,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:14.170086,0.824,-0.104,1.553,7.13,-3.241,3.817,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:14.478635,0.755,-0.254,1.999,-25.221,-11.439,12.26,right,medium,الكتاب صديق لا يمل
2025-12-17T12:17:14.782569,0.66,-0.122,1.642,7.329,-16.554,26.138,right,medium,الكتاب صديق لا يمل
