timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T12:12:58.379416,0.687,-0.103,1.901,-4.625,-10.997,21.68,right,medium,قرأ
2025-12-17T12:12:58.589816,0.684,-0.12,1.916,-6.992,-12.523,27.848,right,medium,قرأ
2025-12-17T12:12:58.789387,0.674,-0.131,1.906,-0.167,-9.027,29.405,right,medium,قرأ
2025-12-17T12:12:58.870013,0.572,-0.109,1.769,7.069,18.194,36.398,right,medium,قرأ
2025-12-17T12:12:58.993950,0.506,-0.161,2.016,1.329,-2.004,29.97,right,medium,قرأ
2025-12-17T12:12:59.119812,0.551,-0.15,1.934,4.291,-5.042,13.191,right,medium,قرأ
2025-12-17T12:12:59.310774,0.576,-0.148,1.986,-2.32,-14.004,7.1,right,medium,قرأ
2025-12-17T12:12:59.808725,0.595,-0.115,1.889,-10.183,-10.997,35.497,right,medium,قرأ
2025-12-17T12:13:00.432102,1.081,0.017,1.926,-33.083,-3.271,6.184,right,medium,قرأ
2025-12-17T12:13:00.630989,0.587,-0.112,1.913,-2.61,-15.821,22.856,right,medium,قرأ
2025-12-17T12:13:01.037776,0.324,-0.216,2.282,-7.267,-8.386,52.886,right,medium,قرأ
2025-12-17T12:13:01.349336,0.628,-0.111,1.915,-0.702,-9.897,33.695,right,medium,قرأ
2025-12-17T12:13:01.655342,0.667,-0.076,1.865,-9.847,-19.439,13.573,right,medium,قرأ
