timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T16:36:55.510989,-0.681,-0.16,0.601,0.747,-2.328,2.396,right,medium,سلام
2025-12-18T16:36:55.818111,-0.699,-0.149,0.636,-0.826,-3.0,2.747,right,medium,سلام
2025-12-18T16:36:56.125020,-0.71,-0.152,0.627,0.472,-2.465,1.953,right,medium,سلام
2025-12-18T16:36:56.210068,-0.689,-0.159,0.604,1.342,-1.763,4.365,right,medium,سلام
2025-12-18T16:36:56.432818,-0.631,-0.172,0.649,-15.253,5.642,9.602,right,medium,سلام
2025-12-18T16:36:56.741718,-0.766,-0.144,0.471,12.152,-9.519,2.732,right,medium,سلام
2025-12-18T16:36:57.046132,-0.691,-0.157,0.576,-2.826,-6.313,6.182,right,medium,سلام
2025-12-18T16:36:57.353723,-0.633,-0.162,0.625,-11.36,2.39,2.014,right,medium,سلام
2025-12-18T16:36:57.457365,-0.96,-0.128,0.28,19.556,-5.732,-5.131,right,medium,سلام
2025-12-18T16:36:57.761392,-0.644,-0.16,0.673,-1.803,0.878,4.304,right,medium,سلام
2025-12-18T16:36:58.467464,-0.564,-0.22,0.614,-20.994,1.932,-17.589,right,medium,سلام
2025-12-18T16:36:59.183883,-0.859,-0.132,0.714,-14.719,-0.084,-13.543,right,medium,سلام
2025-12-18T16:37:00.003712,-0.649,-0.15,0.596,-3.238,-4.374,8.777,right,medium,سلام
2025-12-18T16:37:00.926045,-0.79,-0.075,0.751,-17.421,10.298,19.8,right,medium,سلام
