timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T22:03:10.220905,-1.248,-0.177,0.658,-1.005,1.272,-2.621,right,bad,الجهل ظلام
2025-12-18T22:03:10.333133,-1.224,-0.181,0.649,-1.86,2.142,-2.011,right,bad,الجهل ظلام
2025-12-18T22:03:10.401440,-1.221,-0.183,0.665,4.156,-11.445,-2.072,right,bad,الجهل ظلام
2025-12-18T22:03:10.506585,-1.266,-0.179,0.599,-2.165,-7.72,-1.766,right,bad,الجهل ظلام
2025-12-18T22:03:10.577596,-1.184,-0.13,0.696,-8.837,-15.69,-1.064,right,bad,الجهل ظلام
2025-12-18T22:03:10.644225,-1.19,-0.16,0.743,-15.57,-17.232,4.753,right,bad,الجهل ظلام
2025-12-18T22:03:10.706739,-1.186,-0.173,0.744,-10.287,-2.911,4.325,right,bad,الجهل ظلام
2025-12-18T22:03:10.826460,-1.136,-0.145,0.683,-9.447,62.707,13.684,right,bad,الجهل ظلام
2025-12-18T22:03:10.888569,-1.362,0.02,0.403,9.988,16.356,11.226,right,bad,الجهل ظلام
2025-12-18T22:03:11.079869,-1.244,-0.185,0.608,0.43,-20.087,-3.446,right,bad,الجهل ظلام
2025-12-18T22:03:11.151646,-1.296,-0.157,0.609,2.171,-21.751,-2.804,right,bad,الجهل ظلام
2025-12-18T22:03:11.227167,-1.278,-0.171,0.608,-7.264,-22.285,-3.461,right,bad,الجهل ظلام
2025-12-18T22:03:11.295663,-1.251,-0.143,0.723,-4.241,-41.293,5.73,right,bad,الجهل ظلام
2025-12-18T22:03:11.374401,-1.259,-0.112,0.724,-1.005,-17.858,5.821,right,bad,الجهل ظلام
2025-12-18T22:03:11.466089,-1.261,-0.147,0.615,-3.127,4.173,-6.255,right,bad,الجهل ظلام
2025-12-18T22:03:11.650441,-1.319,-0.133,0.593,3.621,30.249,50.585,right,bad,الجهل ظلام
2025-12-18T22:03:11.719160,-1.373,0.017,0.563,4.293,-4.026,-10.026,right,bad,الجهل ظلام
2025-12-18T22:03:11.789351,-1.252,-0.189,0.742,19.056,-2.316,11.501,right,bad,الجهل ظلام
