timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T21:50:17.923240,-1.228,-0.197,0.502,-1.463,-3.72,-2.117,right,bad,قلم
2025-12-18T21:50:18.083541,-1.167,-0.19,0.467,0.873,-6.575,0.417,right,bad,قلم
2025-12-18T21:50:18.198555,-1.191,-0.181,0.498,1.698,-3.125,-2.988,right,bad,قلم
2025-12-18T21:50:18.268301,-1.207,-0.228,0.491,5.011,6.066,-0.911,right,bad,قلم
2025-12-18T21:50:18.337891,-1.257,-0.181,0.418,7.606,-1.568,-1.156,right,bad,قلم
2025-12-18T21:50:18.397245,-1.142,-0.21,0.584,1.331,-11.079,-1.858,right,bad,قلم
2025-12-18T21:50:18.610527,-1.3,-0.281,0.536,-0.134,2.6,-2.804,right,bad,قلم
2025-12-18T21:50:18.679090,-1.224,-0.216,0.469,-6.76,-5.674,-3.72,right,bad,قلم
2025-12-18T21:50:18.799871,-1.22,-0.211,0.474,-2.089,-3.018,-1.064,right,bad,قلم
2025-12-18T21:50:18.872921,-1.23,-0.219,0.568,0.492,-9.171,0.6,right,bad,قلم
2025-12-18T21:50:18.940637,-1.231,-0.188,0.513,5.82,-8.667,1.913,right,bad,قلم
2025-12-18T21:50:19.004884,-1.185,-0.19,0.579,-1.325,14.57,0.157,right,bad,قلم
2025-12-18T21:50:19.184533,-1.297,-0.073,0.369,13.209,2.051,-1.736,right,bad,قلم
2025-12-18T21:50:19.260182,-1.137,-0.267,0.54,18.675,-5.949,-19.324,right,bad,قلم
2025-12-18T21:50:19.324467,-1.238,-0.203,0.472,-1.341,9.913,-6.423,right,bad,قلم
2025-12-18T21:50:19.434117,-1.254,-0.2,0.488,4.43,6.31,-4.53,right,bad,قلم
2025-12-18T21:50:19.503878,-1.257,-0.195,0.401,-0.821,-0.697,-2.179,right,bad,قلم
2025-12-18T21:50:19.619071,-1.255,-0.195,0.536,-1.799,-8.056,-3.461,right,bad,قلم
2025-12-18T21:50:19.689618,-1.236,-0.208,0.54,0.446,-16.987,-4.652,right,bad,قلم
2025-12-18T21:50:19.755868,-1.226,-0.19,0.509,-1.264,-2.27,0.173,right,bad,قلم
2025-12-18T21:50:19.926213,-1.178,-0.194,0.507,-1.875,20.585,4.707,right,bad,قلم
2025-12-18T21:50:19.998933,-1.225,-0.199,0.537,-2.119,-4.071,-2.972,right,bad,قلم
2025-12-18T21:50:20.068394,-1.254,-0.189,0.501,-0.76,-4.407,-7.476,right,bad,قلم
2025-12-18T21:50:20.234106,-1.243,-0.21,0.474,4.705,-21.934,-5.11,right,bad,قلم
2025-12-18T21:50:20.306455,-1.239,-0.201,0.589,0.782,-7.461,0.295,right,bad,قلم
2025-12-18T21:50:20.374927,-1.195,-0.203,0.493,-9.432,15.868,4.753,right,bad,قلم
2025-12-18T21:50:20.443879,-1.168,-0.191,0.438,4.186,-2.56,27.348,right,bad,قلم
2025-12-18T21:50:20.665957,-1.232,-0.189,0.465,-2.76,6.142,-9.11,right,bad,قلم
2025-12-18T21:50:20.731784,-1.204,-0.209,0.551,1.85,-6.682,-5.751,right,bad,قلم
2025-12-18T21:50:20.798262,-1.238,-0.198,0.5,3.056,-4.819,-5.125,right,bad,قلم
2025-12-18T21:50:20.951178,-1.279,-0.179,0.487,5.652,-7.797,-4.346,right,bad,قلم
2025-12-18T21:50:21.027988,-1.164,-0.182,0.498,-6.119,-9.323,-6.056,right,bad,قلم
2025-12-18T21:50:21.096919,-1.157,-0.218,0.571,0.721,-5.812,-0.804,right,bad,قلم
2025-12-18T21:50:21.163555,-1.277,-0.176,0.627,-1.737,-12.178,-0.911,right,bad,قلم
2025-12-18T21:50:21.352484,-1.243,-0.174,0.532,-2.44,11.837,-4.194,right,bad,قلم
2025-12-18T21:50:21.424287,-1.147,-0.172,0.605,-1.478,4.112,0.967,right,bad,قلم
2025-12-18T21:50:21.494157,-1.181,-0.204,0.615,2.553,21.822,-1.598,right,bad,قلم
2025-12-18T21:50:21.557045,-1.237,-0.194,0.568,1.316,9.532,5.562,right,bad,قلم
2025-12-18T21:50:21.627813,-1.237,-0.13,0.498,-0.928,-6.819,24.31,right,bad,قلم
2025-12-18T21:50:21.899093,-1.222,-0.19,0.567,-3.417,6.28,-7.965,right,bad,قلم
2025-12-18T21:50:21.975690,-1.213,-0.188,0.561,0.98,-7.11,-4.377,right,bad,قلم
2025-12-18T21:50:22.043634,-1.231,-0.195,0.615,-3.905,4.967,-2.85,right,bad,قلم
2025-12-18T21:50:22.179221,-1.307,-0.191,0.535,-3.478,8.265,-7.156,right,bad,قلم
2025-12-18T21:50:22.251014,-1.246,-0.195,0.569,-5.127,-17.125,-2.041,right,bad,قلم
2025-12-18T21:50:22.325795,-1.254,-0.226,0.608,-7.707,3.807,-2.728,right,bad,قلم
2025-12-18T21:50:22.389684,-1.217,-0.182,0.618,-5.692,16.234,0.005,right,bad,قلم
2025-12-18T21:50:22.691254,-1.257,-0.19,0.59,7.362,3.44,-1.995,right,bad,قلم
2025-12-18T21:50:22.803047,-1.228,-0.187,0.593,2.171,-5.11,-1.675,right,bad,قلم
2025-12-18T21:50:22.869429,-1.217,-0.215,0.718,-7.844,4.188,0.509,right,bad,قلم
2025-12-18T21:50:22.939710,-1.24,-0.169,0.579,-7.264,11.318,-2.652,right,bad,قلم
2025-12-18T21:50:23.029163,-1.296,-0.172,0.427,2.934,19.135,-2.82,right,bad,قلم
2025-12-18T21:50:23.100017,-1.258,-0.182,0.614,-0.669,-14.514,0.554,right,bad,قلم
2025-12-18T21:50:23.214110,-1.35,-0.173,0.661,-6.363,-36.3,-3.965,right,bad,قلم
2025-12-18T21:50:23.282088,-1.21,-0.123,0.587,-17.157,11.165,-4.804,right,bad,قلم
2025-12-18T21:50:23.473376,-1.225,-0.192,0.561,-0.913,-1.461,-0.972,right,bad,قلم
