timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T21:45:36.164456,-1.082,-0.255,0.267,-0.653,0.249,-1.064,right,bad,سلام
2025-12-18T21:45:36.270912,-1.092,-0.254,0.255,-0.424,-0.972,-2.117,right,bad,سلام
2025-12-18T21:45:36.341913,-1.112,-0.255,0.295,-0.547,-0.163,-1.095,right,bad,سلام
2025-12-18T21:45:36.416860,-1.121,-0.246,0.305,-0.73,0.616,-1.812,right,bad,سلام
2025-12-18T21:45:36.484362,-1.095,-0.255,0.259,-2.119,-0.117,-2.499,right,bad,سلام
2025-12-18T21:45:36.590311,-1.147,-0.256,0.321,-0.76,-6.209,1.333,right,bad,سلام
2025-12-18T21:45:36.658166,-1.077,-0.247,0.216,-5.279,-2.117,-1.644,right,bad,سلام
2025-12-18T21:45:36.734824,-1.168,-0.244,0.176,3.331,12.432,-0.942,right,bad,سلام
2025-12-18T21:45:36.925892,-1.103,-0.254,0.265,-0.776,-0.132,-1.69,right,bad,سلام
2025-12-18T21:45:36.987039,-1.164,-0.26,0.279,0.217,-4.652,0.905,right,bad,سلام
2025-12-18T21:45:37.090184,-1.183,-0.256,0.302,-10.18,-18.713,-7.598,right,bad,سلام
2025-12-18T21:45:37.149708,-0.987,-0.229,0.208,-6.165,1.196,-8.774,right,bad,سلام
2025-12-18T21:45:37.295033,-1.091,-0.244,0.258,1.224,14.997,-2.53,right,bad,سلام
2025-12-18T21:45:37.360517,-1.132,-0.236,0.255,-3.615,3.715,-2.53,right,bad,سلام
2025-12-18T21:45:37.422600,-1.108,-0.261,0.285,1.988,6.539,-3.14,right,bad,سلام
2025-12-18T21:45:37.495744,-1.079,-0.259,0.306,0.232,0.875,-0.484,right,bad,سلام
2025-12-18T21:45:37.688649,-1.014,-0.118,-0.064,11.041,3.272,2.264,right,bad,سلام
2025-12-18T21:45:37.754554,-1.096,-0.272,0.298,13.621,-5.491,0.051,right,bad,سلام
2025-12-18T21:45:37.817614,-1.02,-0.181,0.093,2.232,-1.186,-5.033,right,bad,سلام
2025-12-18T21:45:37.892399,-1.112,-0.284,0.338,10.263,-9.827,-1.736,right,bad,سلام
2025-12-18T21:45:38.084544,-1.009,-0.254,0.197,7.133,-6.56,2.676,right,bad,سلام
2025-12-18T21:45:38.235654,-1.047,-0.242,0.164,-4.165,-14.758,0.432,right,bad,سلام
2025-12-18T21:45:38.316428,-1.118,-0.269,0.284,-2.455,4.448,4.692,right,bad,سلام
2025-12-18T21:45:38.421264,-1.007,-0.23,0.156,-34.745,26.585,12.249,right,bad,سلام
2025-12-18T21:45:38.486364,-1.125,-0.245,0.222,21.408,-7.369,-4.423,right,bad,سلام
2025-12-18T21:45:38.547260,-1.133,-0.142,0.091,12.125,6.753,-4.621,right,bad,سلام
2025-12-18T21:45:38.774331,-0.972,-0.245,0.222,2.507,-10.01,-5.14,right,bad,سلام
2025-12-18T21:45:38.835304,-1.114,-0.234,0.152,-4.898,-8.178,-2.774,right,bad,سلام
2025-12-18T21:45:38.899404,-1.087,-0.245,0.241,-9.799,-10.407,-3.232,right,bad,سلام
2025-12-18T21:45:39.086169,-1.173,-0.192,0.256,-7.05,-19.186,1.928,right,bad,سلام
2025-12-18T21:45:39.146411,-1.067,-0.259,0.272,1.85,1.532,1.18,right,bad,سلام
2025-12-18T21:45:39.207199,-1.046,-0.247,0.216,-5.615,8.142,6.692,right,bad,سلام
2025-12-18T21:45:39.343401,-0.99,-0.226,0.069,-12.455,18.738,0.951,right,bad,سلام
2025-12-18T21:45:39.401703,-1.144,-0.188,0.156,2.4,0.127,1.806,right,bad,سلام
2025-12-18T21:45:39.550166,-1.169,-0.201,0.239,8.919,-12.575,-7.415,right,bad,سلام
2025-12-18T21:45:39.650234,-1.283,-0.264,0.407,1.774,-18.789,0.081,right,bad,سلام
2025-12-18T21:45:39.797615,-1.123,-0.122,0.205,-26.302,24.692,-30.484,right,bad,سلام
