timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T21:59:19.294800,-1.154,-0.171,0.861,-2.348,1.394,-1.262,right,bad,محمد
2025-12-18T21:59:19.402615,-1.134,-0.171,0.831,-2.257,-3.339,-2.408,right,bad,محمد
2025-12-18T21:59:19.468585,-1.102,-0.17,0.835,-0.684,-8.041,-1.125,right,bad,محمد
2025-12-18T21:59:19.528693,-1.164,-0.162,0.913,2.995,-14.056,-1.644,right,bad,محمد
2025-12-18T21:59:19.597621,-1.113,-0.129,0.808,-7.463,8.6,-2.728,right,bad,محمد
2025-12-18T21:59:19.895540,-0.906,-0.171,0.996,-1.417,4.234,6.234,right,bad,محمد
2025-12-18T21:59:19.999005,-1.112,-0.163,0.833,1.453,-8.987,-3.904,right,bad,محمد
2025-12-18T21:59:20.061876,-1.198,-0.164,0.889,-7.005,8.265,-1.614,right,bad,محمد
2025-12-18T21:59:20.129963,-1.099,-0.17,0.912,1.301,-4.132,-2.713,right,bad,محمد
2025-12-18T21:59:20.203331,-0.994,-0.164,0.812,7.988,-4.224,-11.751,right,bad,محمد
2025-12-18T21:59:20.392401,-1.184,-0.15,0.956,-0.562,-12.102,-1.537,right,bad,محمد
2025-12-18T21:59:20.459356,-1.067,-0.076,0.837,-3.997,2.234,1.348,right,bad,محمد
2025-12-18T21:59:20.522312,-1.233,-0.149,0.856,-0.516,-11.781,-2.896,right,bad,محمد
2025-12-18T21:59:20.718364,-1.058,-0.17,1.042,-11.264,22.799,0.478,right,bad,محمد
2025-12-18T21:59:20.817281,-1.205,-0.203,0.917,-21.57,20.203,17.883,right,bad,محمد
2025-12-18T21:59:20.964885,-1.373,-0.078,0.776,-1.646,29.196,33.608,right,bad,محمد
2025-12-18T21:59:21.030070,-1.185,-0.166,0.95,-22.608,-15.293,-13.339,right,bad,محمد
2025-12-18T21:59:21.093344,-1.172,-0.231,0.8,2.156,-5.949,0.081,right,bad,محمد
2025-12-18T21:59:21.329996,-1.22,-0.166,0.896,5.698,-4.193,-1.69,right,bad,محمد
2025-12-18T21:59:21.396654,-1.058,-0.158,0.966,4.522,-5.583,-4.713,right,bad,محمد
2025-12-18T21:59:21.540628,-1.142,-0.169,0.908,-2.455,3.669,-5.095,right,bad,محمد
2025-12-18T21:59:21.613873,-1.145,-0.179,0.861,-0.623,0.234,-2.346,right,bad,محمد
2025-12-18T21:59:21.738103,-1.186,-0.169,0.858,1.82,-7.018,-5.904,right,bad,محمد
2025-12-18T21:59:21.809534,-1.144,-0.171,0.87,-1.035,-2.01,-4.911,right,bad,محمد
2025-12-18T21:59:21.951771,-1.037,-0.198,0.994,-3.279,-16.835,3.134,right,bad,محمد
2025-12-18T21:59:22.025054,-1.118,-0.17,1.01,4.415,-4.743,-8.652,right,bad,محمد
2025-12-18T21:59:22.099238,-1.152,-0.159,0.929,-2.089,-4.545,-4.453,right,bad,محمد
2025-12-18T21:59:22.250990,-1.075,-0.172,0.888,1.652,-8.071,-4.453,right,bad,محمد
2025-12-18T21:59:22.312132,-1.0,-0.158,0.968,-9.966,32.341,9.196,right,bad,محمد
2025-12-18T21:59:22.455821,-1.121,-0.247,0.763,-4.257,17.333,12.234,right,bad,محمد
2025-12-18T21:59:22.526542,-1.172,-0.159,0.904,-3.02,-20.117,-6.881,right,bad,محمد
2025-12-18T21:59:22.661093,-1.15,-0.12,0.918,-3.432,-6.926,-7.98,right,bad,محمد
2025-12-18T21:59:22.730686,-1.111,-0.163,0.9,1.026,-4.468,-4.209,right,bad,محمد
2025-12-18T21:59:22.796414,-1.094,-0.163,0.948,-1.066,-1.766,-2.896,right,bad,محمد
2025-12-18T21:59:22.967858,-1.131,-0.167,0.861,-1.737,-15.766,-2.255,right,bad,محمد
2025-12-18T21:59:23.102814,-1.121,-0.116,0.982,-7.585,-7.888,-0.988,right,bad,محمد
2025-12-18T21:59:23.275227,-1.113,-0.112,0.904,-0.883,-7.766,1.867,right,bad,محمد
2025-12-18T21:59:23.377565,-1.068,-0.176,0.982,3.392,-0.239,-3.43,right,bad,محمد
2025-12-18T21:59:23.443609,-1.101,-0.157,0.963,0.782,-3.812,-2.377,right,bad,محمد
2025-12-18T21:59:23.597050,-1.117,-0.144,0.97,-6.684,3.272,0.646,right,bad,محمد
2025-12-18T21:59:23.664479,-1.106,-0.144,0.927,2.095,-2.514,-0.469,right,bad,محمد
2025-12-18T21:59:23.737290,-0.986,-0.154,0.984,4.263,-11.568,0.768,right,bad,محمد
2025-12-18T21:59:23.811065,-1.062,-0.132,0.975,4.675,-4.056,-2.896,right,bad,محمد
2025-12-18T21:59:23.926537,-1.102,-0.159,1.016,-2.653,1.089,-2.194,right,bad,محمد
2025-12-18T21:59:24.001901,-1.081,-0.155,0.973,-0.608,-0.468,-1.11,right,bad,محمد
2025-12-18T21:59:24.094337,-1.091,-0.177,0.966,-20.18,52.448,14.936,right,bad,محمد
2025-12-18T21:59:24.165250,-1.23,-0.018,0.854,-4.547,-19.003,0.371,right,bad,محمد
2025-12-18T21:59:24.272439,-1.12,-0.174,1.001,-0.883,-19.201,7.715,right,bad,محمد
2025-12-18T21:59:24.342322,-1.16,-0.114,0.903,-5.432,-25.186,-7.995,right,bad,محمد
2025-12-18T21:59:24.409303,-1.156,-0.127,0.915,-10.898,3.807,-0.972,right,bad,محمد
2025-12-18T21:59:24.594465,-1.08,-0.159,0.981,-0.898,-5.98,-0.988,right,bad,محمد
2025-12-18T21:59:24.658286,-1.088,-0.14,0.929,2.14,-18.392,-0.698,right,bad,محمد
2025-12-18T21:59:24.829676,-1.116,-0.134,1.016,7.163,-39.003,-4.866,right,bad,محمد
2025-12-18T21:59:24.912948,-1.084,-0.114,0.942,1.743,-9.491,-3.369,right,bad,محمد
2025-12-18T21:59:25.118898,-1.059,-0.146,1.003,2.217,-6.926,-2.957,right,bad,محمد
2025-12-18T21:59:25.194052,-1.088,-0.148,0.953,-1.234,0.448,-0.179,right,bad,محمد
2025-12-18T21:59:25.425468,-1.069,-0.123,1.028,-0.745,-4.209,-1.095,right,bad,محمد
2025-12-18T21:59:25.570559,-1.056,-0.125,1.004,-1.554,-0.697,-1.598,right,bad,محمد
2025-12-18T21:59:25.645815,-1.071,-0.129,1.0,-0.211,-2.865,-1.812,right,bad,محمد
2025-12-18T21:59:25.835390,-1.059,-0.127,1.018,-2.15,2.524,-0.27,right,bad,محمد
2025-12-18T21:59:25.984386,-1.069,-0.126,1.012,-1.02,0.906,-1.308,right,bad,محمد
