timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T21:44:18.215190,-1.268,-0.163,0.412,-1.6,-1.659,-2.27,right,bad,كتب
2025-12-18T21:44:18.274818,-1.262,-0.166,0.422,-1.096,-0.423,-1.491,right,bad,كتب
2025-12-18T21:44:18.445669,-1.27,-0.166,0.437,0.278,3.654,-2.011,right,bad,كتب
2025-12-18T21:44:18.520207,-1.238,-0.171,0.431,0.675,-4.193,-1.125,right,bad,كتب
2025-12-18T21:44:18.658655,-1.269,-0.169,0.408,-0.501,1.852,-3.659,right,bad,كتب
2025-12-18T21:44:18.719354,-1.323,-0.169,0.481,-1.508,-1.262,2.463,right,bad,كتب
2025-12-18T21:44:18.783527,-1.296,-0.169,0.457,-0.394,1.074,-3.583,right,bad,كتب
2025-12-18T21:44:18.845680,-1.287,-0.15,0.48,-2.76,-2.468,-5.736,right,bad,كتب
2025-12-18T21:44:19.041524,-1.195,-0.12,0.206,-6.195,-0.881,-6.148,right,bad,كتب
2025-12-18T21:44:19.162020,-1.145,-0.17,0.464,3.927,-7.766,3.715,right,bad,كتب
2025-12-18T21:44:19.230955,-1.171,-0.154,0.377,1.759,2.02,0.386,right,bad,كتب
2025-12-18T21:44:19.367015,-1.296,-0.182,0.414,0.049,-17.842,3.776,right,bad,كتب
2025-12-18T21:44:19.482283,-1.253,-0.196,0.548,-11.707,16.738,-4.911,right,bad,كتب
2025-12-18T21:44:19.571248,-1.415,-0.01,0.223,-23.844,68.127,25.745,right,bad,كتب
2025-12-18T21:44:19.678603,-1.318,-0.076,0.375,27.988,-13.98,-9.049,right,bad,كتب
2025-12-18T21:44:19.810841,-1.17,-0.217,0.44,8.064,-14.209,-21.293,right,bad,كتب
2025-12-18T21:44:20.021869,-1.283,-0.205,0.488,4.171,7.516,-3.858,right,bad,كتب
2025-12-18T21:44:20.186639,-1.134,-0.192,0.392,2.446,8.158,-6.011,right,bad,كتب
2025-12-18T21:44:20.257464,-1.305,-0.188,0.548,-16.379,-6.713,2.432,right,bad,كتب
2025-12-18T21:44:20.335732,-1.165,-0.195,0.381,1.163,3.837,-2.743,right,bad,كتب
2025-12-18T21:44:20.406158,-1.271,-0.285,0.607,-34.302,-7.033,8.524,right,bad,كتب
2025-12-18T21:44:20.595382,-1.351,-0.05,0.232,-25.295,4.661,13.18,right,bad,كتب
2025-12-18T21:44:20.658763,-1.28,-0.214,0.413,11.194,-9.201,-18.346,right,bad,كتب
2025-12-18T21:44:20.723827,-1.211,-0.192,0.372,5.056,1.287,-10.652,right,bad,كتب
2025-12-18T21:44:20.933373,-1.201,-0.18,0.313,6.782,9.364,0.112,right,bad,كتب
2025-12-18T21:44:21.022894,-1.201,-0.189,0.433,-12.058,-17.705,-3.736,right,bad,كتب
2025-12-18T21:44:21.126198,-1.009,-0.169,0.381,-2.776,-13.048,5.058,right,bad,كتب
2025-12-18T21:44:21.196418,-1.265,-0.194,0.323,3.24,-18.987,2.02,right,bad,كتب
2025-12-18T21:44:21.259361,-1.362,-0.082,0.518,3.163,-21.262,3.425,right,bad,كتب
2025-12-18T21:44:21.321916,-1.355,-0.203,0.573,-8.577,18.509,-10.667,right,bad,كتب
2025-12-18T21:44:21.512902,-1.335,0.074,0.107,3.728,8.86,9.486,right,bad,كتب
2025-12-18T21:44:21.619349,-1.345,-0.048,0.484,40.278,0.692,-14.53,right,bad,كتب
2025-12-18T21:44:21.689011,-1.249,-0.232,0.353,7.377,-4.56,-12.942,right,bad,كتب
2025-12-18T21:44:21.760187,-1.247,-0.17,0.354,4.98,8.478,-8.423,right,bad,كتب
2025-12-18T21:44:21.927616,-1.351,-0.181,0.489,7.82,-12.377,1.715,right,bad,كتب
2025-12-18T21:44:22.000655,-1.181,-0.179,0.431,-8.669,4.173,-5.186,right,bad,كتب
2025-12-18T21:44:22.131658,-1.168,-0.179,0.337,-6.043,2.448,5.348,right,bad,كتب
2025-12-18T21:44:22.197370,-1.26,-0.163,0.385,0.919,-1.247,-5.354,right,bad,كتب
