timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T15:33:52.498587,0.346,0.052,0.268,1.476,-0.842,-0.166,right,bad,محمد
2025-12-18T15:33:52.560914,0.349,0.061,0.268,2.087,-7.789,-0.822,right,bad,محمد
2025-12-18T15:33:52.621612,0.36,0.058,0.267,1.125,-17.377,1.285,right,bad,محمد
2025-12-18T15:33:52.683171,0.345,0.061,0.258,0.866,-11.545,1.651,right,bad,محمد
2025-12-18T15:33:52.904497,0.293,0.036,0.25,1.965,-6.262,-0.547,right,bad,محمد
2025-12-18T15:33:52.977121,0.337,0.077,0.207,3.935,-18.247,2.17,right,bad,محمد
2025-12-18T15:33:53.051702,0.289,0.035,0.202,15.98,-46.598,7.147,right,bad,محمد
2025-12-18T15:33:53.128284,0.263,0.041,0.248,0.454,-34.736,3.162,right,bad,محمد
2025-12-18T15:33:53.327585,0.354,0.063,0.158,-13.913,-11.743,14.613,right,bad,محمد
2025-12-18T15:33:53.393407,0.274,0.026,0.238,6.744,-16.552,-7.357,right,bad,محمد
2025-12-18T15:33:53.464084,0.242,0.064,0.146,4.744,-0.873,-7.189,right,bad,محمد
2025-12-18T15:33:53.533141,0.323,0.064,0.248,-5.989,0.242,13.911,right,bad,محمد
2025-12-18T15:33:53.790805,0.44,-0.066,0.179,-1.714,-7.529,15.071,right,bad,محمد
2025-12-18T15:33:53.859566,0.178,0.011,0.321,8.942,-13.575,5.773,right,bad,محمد
2025-12-18T15:33:54.003291,0.188,0.042,0.05,-2.004,5.417,0.216,right,bad,محمد
2025-12-18T15:33:54.068140,0.294,0.042,0.174,-2.493,14.074,7.849,right,bad,محمد
2025-12-18T15:33:54.129696,0.23,0.026,0.201,2.194,-24.262,13.956,right,bad,محمد
2025-12-18T15:33:54.302496,0.218,0.025,0.005,12.805,0.348,4.445,right,bad,محمد
2025-12-18T15:33:54.415019,0.358,0.142,0.034,16.53,-21.713,18.735,right,bad,محمد
2025-12-18T15:33:54.480038,0.114,0.048,0.072,4.423,-10.934,1.391,right,bad,محمد
2025-12-18T15:33:54.549030,0.28,0.015,0.078,-6.89,33.295,8.537,right,bad,محمد
2025-12-18T15:33:54.618008,0.108,0.027,0.029,-1.027,1.326,8.414,right,bad,محمد
2025-12-18T15:33:54.685522,0.189,0.037,0.207,3.767,-46.751,1.788,right,bad,محمد
2025-12-18T15:33:54.876785,0.341,0.054,0.136,-3.684,-8.049,4.735,right,bad,محمد
2025-12-18T15:33:54.946678,0.141,0.076,0.147,-0.753,-39.377,-0.96,right,bad,محمد
2025-12-18T15:33:55.008277,0.177,0.077,-0.034,9.064,-34.644,-1.784,right,bad,محمد
2025-12-18T15:33:55.070246,0.129,0.029,0.114,9.034,0.837,1.132,right,bad,محمد
2025-12-18T15:33:55.259680,0.309,-0.015,0.192,6.652,9.112,3.483,right,bad,محمد
2025-12-18T15:33:55.334835,0.227,0.017,0.224,23.11,-20.049,-2.868,right,bad,محمد
2025-12-18T15:33:55.531765,0.202,0.24,0.061,-110.05,-29.972,-63.143,right,bad,محمد
2025-12-18T15:33:55.599315,0.151,0.088,0.018,-6.753,3.203,16.048,right,bad,محمد
2025-12-18T15:33:55.668343,0.149,0.152,-0.081,-0.447,8.119,12.964,right,bad,محمد
