timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T15:29:13.516085,0.435,0.061,0.556,-0.05,1.555,-0.318,right,bad,قلم
2025-12-18T15:29:13.589183,0.422,0.034,0.562,-2.737,-5.835,-3.143,right,bad,قلم
2025-12-18T15:29:13.720389,0.427,0.066,0.559,-1.546,-11.85,-0.028,right,bad,قلم
2025-12-18T15:29:13.867032,0.42,0.055,0.536,1.171,-5.697,2.292,right,bad,قلم
2025-12-18T15:29:13.936310,0.393,0.029,0.644,8.698,-10.476,13.376,right,bad,قلم
2025-12-18T15:29:14.012708,0.4,0.039,0.575,3.415,-17.316,5.544,right,bad,قلم
2025-12-18T15:29:14.129641,0.38,0.056,0.556,2.087,-31.896,7.559,right,bad,قلم
2025-12-18T15:29:14.199994,0.45,0.019,0.394,2.454,-0.552,-6.944,right,bad,قلم
2025-12-18T15:29:14.333571,0.481,0.022,0.477,-7.943,9.463,-6.12,right,bad,قلم
2025-12-18T15:29:14.400988,0.258,0.067,0.478,4.667,-0.445,9.01,right,bad,قلم
2025-12-18T15:29:14.463812,0.204,0.058,0.496,1.415,10.058,-24.563,right,bad,قلم
2025-12-18T15:29:14.525661,0.616,0.184,0.391,8.484,-0.812,-36.883,right,bad,قلم
2025-12-18T15:29:14.739095,0.393,0.015,0.561,-5.913,-15.926,-1.067,right,bad,قلم
2025-12-18T15:29:14.814136,0.434,0.052,0.431,4.56,-7.896,7.682,right,bad,قلم
2025-12-18T15:29:14.898368,0.309,-0.001,0.564,4.469,11.341,-2.013,right,bad,قلم
2025-12-18T15:29:14.969921,0.529,0.128,0.404,8.56,-31.682,-6.792,right,bad,قلم
2025-12-18T15:29:15.036377,0.4,-0.056,0.504,17.415,-21.27,14.979,right,bad,قلم
2025-12-18T15:29:15.231471,0.345,-0.061,0.497,-2.707,4.211,2.17,right,bad,قلم
2025-12-18T15:29:15.358490,0.468,0.107,0.538,-3.44,-44.842,11.162,right,bad,قلم
2025-12-18T15:29:15.427924,0.311,0.032,0.198,18.408,9.982,-8.273,right,bad,قلم
2025-12-18T15:29:15.493290,0.27,-0.022,0.474,2.087,21.28,-0.257,right,bad,قلم
2025-12-18T15:29:15.562797,0.195,-0.007,0.423,-13.47,-25.911,8.872,right,bad,قلم
2025-12-18T15:29:15.767934,0.316,-0.018,0.322,-24.966,-3.423,16.567,right,bad,قلم
2025-12-18T15:29:15.840743,0.163,0.024,0.142,-4.325,-6.125,1.376,right,bad,قلم
2025-12-18T15:29:15.917009,0.167,0.032,0.346,-6.493,13.142,-9.952,right,bad,قلم
2025-12-18T15:29:15.985655,0.343,0.032,0.324,-17.638,24.18,-60.593,right,bad,قلم
2025-12-18T15:29:16.064906,0.608,0.124,0.297,-6.157,23.051,-2.914,right,bad,قلم
2025-12-18T15:29:16.153862,0.349,0.034,0.391,13.064,33.356,16.857,right,bad,قلم
