timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T19:35:40.832493,-0.368,-0.685,-0.634,0.392,0.749,-2.343,right,bad,قلم
2025-12-19T19:35:40.899029,-0.377,-0.683,-0.616,6.101,-3.495,-3.015,right,bad,قلم
2025-12-19T19:35:40.973117,-0.397,-0.711,-0.628,8.941,-5.617,-1.503,right,bad,قلم
2025-12-19T19:35:41.037537,-0.32,-0.703,-0.633,0.636,6.108,-0.068,right,bad,قلم
2025-12-19T19:35:41.254034,-0.367,-0.699,-0.567,-1.792,2.841,2.97,right,bad,قلم
2025-12-19T19:35:41.319999,-0.355,-0.708,-0.679,-1.715,-0.946,8.756,right,bad,قلم
2025-12-19T19:35:41.382369,-0.465,-0.671,-0.646,3.14,-9.984,14.711,right,bad,قلم
2025-12-19T19:35:41.565594,-0.372,-0.713,-0.668,1.46,0.902,-4.099,right,bad,قلم
2025-12-19T19:35:41.667707,-0.32,-0.73,-0.553,6.88,-6.136,-9.992,right,bad,قلم
2025-12-19T19:35:41.753202,-0.427,-0.693,-0.539,0.56,-12.045,-8.999,right,bad,قلم
2025-12-19T19:35:41.820404,-0.159,-0.696,-0.712,0.651,-11.052,0.161,right,bad,قلم
2025-12-19T19:35:41.919970,-0.331,-0.676,-0.665,1.033,18.062,0.543,right,bad,قلم
2025-12-19T19:35:42.061259,-0.328,-0.784,-0.622,-7.731,23.665,2.039,right,bad,قلم
2025-12-19T19:35:42.125768,-0.353,-0.653,-0.619,-4.448,8.52,20.1,right,bad,قلم
2025-12-19T19:35:42.188256,-0.268,-0.76,-0.628,0.697,12.184,15.81,right,bad,قلم
2025-12-19T19:35:42.515590,-0.409,-0.646,-0.694,-6.402,-18.869,-3.702,right,bad,قلم
2025-12-19T19:35:42.587733,-0.365,-0.679,-0.638,-1.105,-2.656,-2.496,right,bad,قلم
2025-12-19T19:35:42.738756,-0.359,-0.692,-0.593,4.575,-0.732,2.588,right,bad,قلم
2025-12-19T19:35:42.880367,-0.361,-0.697,-0.623,1.903,-4.656,0.573,right,bad,قلم
2025-12-19T19:35:42.982097,-0.434,-0.68,-0.624,-0.402,2.459,-7.167,right,bad,قلم
2025-12-19T19:35:43.059402,-0.377,-0.668,-0.663,-0.937,4.627,-1.442,right,bad,قلم
2025-12-19T19:35:43.132884,-0.267,-0.682,-0.635,-6.692,-3.419,4.024,right,bad,قلم
2025-12-19T19:35:43.289555,-0.361,-0.689,-0.515,-7.776,5.665,-2.068,right,bad,قلم
2025-12-19T19:35:43.390642,-0.453,-0.781,-0.654,-2.57,3.146,8.008,right,bad,قلم
2025-12-19T19:35:43.453930,-0.198,-0.69,-0.693,1.674,-2.396,5.703,right,bad,قلم
2025-12-19T19:35:43.519656,-0.367,-0.641,-0.664,8.3,-5.51,5.077,right,bad,قلم
2025-12-19T19:35:43.638936,-0.443,-0.641,-0.666,4.88,-10.564,-3.809,right,bad,قلم
2025-12-19T19:35:43.802988,-0.308,-0.666,-0.694,0.697,0.871,-5.198,right,bad,قلم
2025-12-19T19:35:43.866427,-0.522,-0.711,-0.579,1.476,-22.976,9.733,right,bad,قلم
2025-12-19T19:35:43.931734,-0.503,-0.667,-0.553,-7.899,-41.404,5.153,right,bad,قلم
2025-12-19T19:35:44.003709,-0.514,-0.644,-0.584,-8.082,-26.961,-5.702,right,bad,قلم
2025-12-19T19:35:44.194813,-0.349,-0.799,-0.599,2.117,35.803,-9.717,right,bad,قلم
2025-12-19T19:35:44.263709,-0.521,-0.654,-0.683,-33.914,58.764,35.062,right,bad,قلم
2025-12-19T19:35:44.329554,-0.339,-0.492,-0.812,0.331,46.261,19.382,right,bad,قلم
2025-12-19T19:35:44.391428,-0.352,-0.532,-0.778,19.766,-4.808,-6.938,right,bad,قلم
2025-12-19T19:35:44.576866,-0.339,-0.66,-0.663,4.437,-3.052,-5.503,right,bad,قلم
2025-12-19T19:35:44.640249,-0.355,-0.656,-0.68,9.842,-6.686,-2.144,right,bad,قلم
2025-12-19T19:35:44.827548,-0.422,-0.708,-0.545,7.872,6.245,-2.434,right,bad,قلم
2025-12-19T19:35:44.924633,-0.38,-0.699,-0.565,-10.738,-15.281,0.207,right,bad,قلم
2025-12-19T19:35:45.035842,-0.26,-0.694,-0.668,-0.845,0.444,16.726,right,bad,قلم
2025-12-19T19:35:45.106279,-0.34,-0.678,-0.65,6.392,6.566,8.695,right,bad,قلم
2025-12-19T19:35:45.178431,-0.338,-0.723,-0.533,5.521,-22.365,8.1,right,bad,قلم
2025-12-19T19:35:45.241441,-0.329,-0.674,-0.665,-0.555,17.482,-10.755,right,bad,قلم
2025-12-19T19:35:45.442455,-0.28,-0.697,-0.572,-72.677,47.558,30.497,right,bad,قلم
2025-12-19T19:35:45.506846,-0.307,-0.604,-0.76,-97.898,39.65,53.291,right,bad,قلم
2025-12-19T19:35:45.643920,-0.194,-0.372,-1.039,-63.334,9.436,43.871,right,bad,قلم
