timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T19:38:49.535372,0.461,-0.732,-0.332,0.682,-0.121,4.085,right,bad,لغة
2025-12-19T19:38:49.662697,0.487,-0.703,-0.299,3.399,-3.785,11.153,right,bad,لغة
2025-12-19T19:38:49.738013,0.403,-0.767,-0.287,-2.753,-11.984,9.092,right,bad,لغة
2025-12-19T19:38:49.936760,0.408,-0.769,-0.234,7.14,2.642,1.245,right,bad,لغة
2025-12-19T19:38:50.008337,0.458,-0.807,-0.107,-2.998,-22.747,6.97,right,bad,لغة
2025-12-19T19:38:50.085196,0.457,-0.786,-0.233,9.537,-6.793,-6.923,right,bad,لغة
2025-12-19T19:38:50.218065,0.437,-0.793,-0.161,2.392,-6.03,-0.129,right,bad,لغة
2025-12-19T19:38:50.281367,0.372,-0.75,-0.301,4.666,-0.427,-7.351,right,bad,لغة
2025-12-19T19:38:50.347968,0.365,-0.763,-0.305,-2.097,3.482,-2.221,right,bad,لغة
2025-12-19T19:38:50.418193,0.357,-0.72,-0.293,-5.761,-10.778,-2.663,right,bad,لغة
2025-12-19T19:38:50.602431,0.389,-0.778,-0.344,0.468,3.528,-0.45,right,bad,لغة
2025-12-19T19:38:50.671565,0.353,-0.765,-0.374,0.605,1.177,-3.015,right,bad,لغة
2025-12-19T19:38:50.743694,0.421,-0.76,-0.315,-1.517,3.772,-2.236,right,bad,لغة
2025-12-19T19:38:50.814007,0.427,-0.734,-0.339,-0.784,0.505,5.077,right,bad,لغة
2025-12-19T19:38:51.096647,0.384,-0.768,-0.327,-3.868,-9.388,2.298,right,bad,لغة
2025-12-19T19:38:51.206147,0.393,-0.76,-0.33,2.59,-18.549,0.375,right,bad,لغة
2025-12-19T19:38:51.276592,0.386,-0.78,-0.333,2.01,-2.228,-0.007,right,bad,لغة
2025-12-19T19:38:51.353405,0.366,-0.768,-0.343,0.3,-1.923,-1.167,right,bad,لغة
2025-12-19T19:38:51.505314,0.393,-0.777,-0.338,0.819,-1.144,-1.289,right,bad,لغة
2025-12-19T19:38:51.615915,0.395,-0.789,-0.332,1.888,24.703,-6.038,right,bad,لغة
2025-12-19T19:38:51.682063,0.395,-0.772,-0.355,-2.708,7.741,0.375,right,bad,لغة
2025-12-19T19:38:51.812720,0.422,-0.75,-0.38,-4.173,20.81,1.489,right,bad,لغة
2025-12-19T19:38:51.884963,0.435,-0.758,-0.217,-5.12,3.528,6.405,right,bad,لغة
2025-12-19T19:38:52.026977,0.425,-0.737,-0.29,-13.456,-14.365,13.016,right,bad,لغة
2025-12-19T19:38:52.119749,0.359,-0.766,-0.372,-2.082,-12.442,-4.618,right,bad,لغة
2025-12-19T19:38:52.182737,0.382,-0.76,-0.453,6.071,-5.678,-5.396,right,bad,لغة
2025-12-19T19:38:52.325206,0.405,-0.778,-0.363,2.987,-11.892,-5.381,right,bad,لغة
2025-12-19T19:38:52.398847,0.389,-0.757,-0.412,-0.128,-3.785,2.207,right,bad,لغة
2025-12-19T19:38:52.468417,0.357,-0.815,-0.403,6.895,17.1,-9.595,right,bad,لغة
2025-12-19T19:38:52.632245,0.586,-0.691,-0.306,-6.891,26.337,-40.709,right,bad,لغة
2025-12-19T19:38:52.767110,0.521,-0.711,-0.302,-0.112,2.093,1.352,right,bad,لغة
2025-12-19T19:38:52.828554,0.551,-0.723,-0.273,7.674,5.299,19.917,right,bad,لغة
2025-12-19T19:38:52.889927,0.356,-0.804,-0.324,-8.326,-8.778,16.879,right,bad,لغة
2025-12-19T19:38:52.962951,0.49,-0.759,-0.25,-0.982,-3.327,5.016,right,bad,لغة
2025-12-19T19:38:53.246033,0.431,-0.765,-0.36,-21.334,-10.32,-15.137,right,bad,لغة
2025-12-19T19:38:53.315405,0.488,-0.724,-0.377,-3.715,4.215,11.978,right,bad,لغة
2025-12-19T19:38:53.451095,0.318,-0.793,-0.349,-1.257,-15.617,19.535,right,bad,لغة
2025-12-19T19:38:53.589948,0.366,-0.743,-0.436,10.315,6.688,-6.77,right,bad,لغة
2025-12-19T19:38:53.655526,0.506,-0.563,-0.447,-1.257,6.902,-5.839,right,bad,لغة
2025-12-19T19:38:53.758287,0.348,-0.836,-0.253,-4.845,-11.663,6.527,right,bad,لغة
2025-12-19T19:38:53.861206,0.422,-0.779,-0.394,6.208,14.841,-10.175,right,bad,لغة
2025-12-19T19:38:53.961387,0.45,-0.731,-0.264,-64.128,16.062,-58.068,right,bad,لغة
2025-12-19T19:38:54.168556,0.518,-0.504,-0.532,15.766,-14.381,9.337,right,bad,لغة
