timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T19:33:28.015880,-0.506,-0.679,-0.517,8.422,-4.365,1.016,right,bad,كتب
2025-12-19T19:33:28.087171,-0.537,-0.656,-0.562,10.59,-14.976,-3.809,right,bad,كتب
2025-12-19T19:33:28.154768,-0.547,-0.721,-0.457,18.621,-10.793,-1.274,right,bad,كتب
2025-12-19T19:33:28.218892,-0.515,-0.723,-0.489,1.842,-9.343,0.558,right,bad,كتب
2025-12-19T19:33:28.422570,-0.556,-0.717,-0.456,0.56,4.093,-5.412,right,bad,كتب
2025-12-19T19:33:28.490427,-0.563,-0.649,-0.371,-3.563,-5.541,-11.931,right,bad,كتب
2025-12-19T19:33:28.552655,-0.563,-0.728,-0.563,-7.7,-8.961,-9.244,right,bad,كتب
2025-12-19T19:33:28.834575,-0.421,-0.817,-0.314,-28.952,-21.281,16.13,right,bad,كتب
2025-12-19T19:33:28.905964,-0.587,-0.611,-0.572,14.56,5.604,-2.511,right,bad,كتب
2025-12-19T19:33:28.979780,-0.597,-0.642,-0.505,13.598,8.184,-4.297,right,bad,كتب
2025-12-19T19:33:29.051732,-0.57,-0.712,-0.481,14.88,-3.281,-4.389,right,bad,كتب
2025-12-19T19:33:29.243810,-0.532,-0.716,-0.413,5.109,-4.732,1.535,right,bad,كتب
2025-12-19T19:33:29.313280,-0.563,-0.719,-0.448,1.888,3.65,3.337,right,bad,كتب
2025-12-19T19:33:29.449040,-0.569,-0.691,-0.432,2.727,0.398,2.604,right,bad,كتب
2025-12-19T19:33:29.523723,-0.544,-0.73,-0.375,1.369,-28.732,-5.58,right,bad,كتب
2025-12-19T19:33:29.593672,-0.574,-0.706,-0.492,-3.364,-21.846,-3.213,right,bad,كتب
2025-12-19T19:33:29.653860,-0.597,-0.668,-0.372,-6.189,-14.732,-4.862,right,bad,كتب
2025-12-19T19:33:29.859147,-0.529,-0.793,-0.339,-12.54,11.177,14.543,right,bad,كتب
2025-12-19T19:33:30.063318,-0.519,-0.657,-0.548,-32.173,11.253,22.298,right,bad,كتب
2025-12-19T19:33:30.129096,-0.629,-0.726,-0.379,14.88,-8.518,-11.167,right,bad,كتب
2025-12-19T19:33:30.200362,-0.61,-0.67,-0.463,10.376,-4.075,-9.534,right,bad,كتب
2025-12-19T19:33:30.370869,-0.588,-0.692,-0.446,6.04,-3.297,-2.602,right,bad,كتب
2025-12-19T19:33:30.435136,-0.589,-0.679,-0.44,2.605,-5.572,-2.282,right,bad,كتب
2025-12-19T19:33:30.508264,-0.597,-0.675,-0.462,1.888,-2.64,-4.908,right,bad,كتب
2025-12-19T19:33:30.573183,-0.611,-0.692,-0.427,0.697,-5.77,-5.366,right,bad,كتب
2025-12-19T19:33:30.767825,-0.611,-0.712,-0.393,0.208,-6.091,-0.312,right,bad,كتب
2025-12-19T19:33:30.881637,-0.609,-0.706,-0.437,1.018,-1.862,-1.564,right,bad,كتب
2025-12-19T19:33:31.087390,-0.625,-0.708,-0.389,-2.326,6.673,-5.854,right,bad,كتب
2025-12-19T19:33:31.150418,-0.568,-0.708,-0.414,-4.647,17.467,-2.511,right,bad,كتب
2025-12-19T19:33:31.215436,-0.619,-0.701,-0.41,-1.563,0.642,3.291,right,bad,كتب
2025-12-19T19:33:31.547802,-0.473,-0.7,-0.425,1.445,-2.503,1.642,right,bad,كتب
2025-12-19T19:33:31.616434,-0.616,-0.674,-0.408,-3.868,-9.846,-4.511,right,bad,كتب
2025-12-19T19:33:31.684146,-0.617,-0.687,-0.399,1.46,-0.869,-0.221,right,bad,كتب
2025-12-19T19:33:31.748969,-0.597,-0.737,-0.409,-15.669,-3.236,2.069,right,bad,كتب
2025-12-19T19:33:32.009487,-0.684,-0.712,-0.396,-1.685,-8.274,5.321,right,bad,كتب
2025-12-19T19:33:32.082431,-0.508,-0.64,-0.706,1.323,44.657,16.069,right,bad,كتب
2025-12-19T19:33:32.238212,-0.648,-0.53,-0.527,14.956,45.482,-5.946,right,bad,كتب
2025-12-19T19:33:32.305661,-0.652,-0.67,-0.39,5.995,2.703,-4.557,right,bad,كتب
2025-12-19T19:33:32.375595,-0.569,-0.687,-0.486,14.514,-6.793,-6.694,right,bad,كتب
2025-12-19T19:33:32.520930,-0.612,-0.695,-0.37,5.231,-10.549,-5.32,right,bad,كتب
2025-12-19T19:33:32.589435,-0.488,-0.716,-0.317,-3.028,-14.06,-6.847,right,bad,كتب
2025-12-19T19:33:32.728894,-0.548,-0.702,-0.405,-9.914,7.039,3.367,right,bad,كتب
2025-12-19T19:33:32.791498,-0.651,-0.675,-0.504,9.414,0.367,-4.816,right,bad,كتب
2025-12-19T19:33:32.930559,-0.632,-0.726,-0.377,18.239,-2.732,-11.87,right,bad,كتب
2025-12-19T19:33:33.060226,-0.622,-0.734,-0.322,4.498,4.734,3.199,right,bad,كتب
2025-12-19T19:33:33.134853,-0.831,-0.334,-0.876,-33.822,30.596,0.008,right,bad,كتب
2025-12-19T19:33:33.237971,-0.858,-0.502,-0.43,39.934,-33.816,-39.702,right,bad,كتب
2025-12-19T19:33:33.387711,-0.585,-0.631,-0.549,0.972,18.093,-3.366,right,bad,كتب
2025-12-19T19:33:33.460426,-0.589,-0.687,-0.439,-0.036,-13.938,-4.587,right,bad,كتب
2025-12-19T19:33:33.551838,-0.597,-0.684,-0.42,-6.341,-8.671,-5.381,right,bad,كتب
2025-12-19T19:33:33.618632,-0.603,-0.694,-0.423,-2.295,-7.648,-2.419,right,bad,كتب
2025-12-19T19:33:33.683358,-0.623,-0.696,-0.386,-1.761,-2.335,-2.053,right,bad,كتب
2025-12-19T19:33:33.876021,-0.568,-0.725,-0.35,-8.005,-15.938,-6.557,right,bad,كتب
2025-12-19T19:33:33.946239,-0.374,-0.777,-0.102,-85.898,85.161,82.512,right,bad,كتب
2025-12-19T19:33:34.016922,-0.493,-0.459,-0.657,-49.914,17.741,52.573,right,bad,كتب
2025-12-19T19:33:34.159704,-0.728,-0.328,-0.699,-15.196,-14.411,4.909,right,bad,كتب
