timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-19T19:42:31.979823,0.46,-0.729,-0.345,-0.051,-7.419,6.008,right,bad,شمس
2025-12-19T19:42:32.052131,0.426,-0.758,-0.316,-8.143,-24.671,15.688,right,bad,شمس
2025-12-19T19:42:32.127166,0.436,-0.666,-0.415,9.949,-20.839,7.52,right,bad,شمس
2025-12-19T19:42:32.208044,0.372,-0.761,-0.319,6.575,-13.48,-1.747,right,bad,شمس
2025-12-19T19:42:32.388943,0.458,-0.751,-0.487,-4.723,17.039,-9.442,right,bad,شمس
2025-12-19T19:42:32.493021,0.488,-0.76,-0.387,-2.051,-9.968,2.741,right,bad,شمس
2025-12-19T19:42:32.593982,0.344,-0.705,-0.433,5.582,-11.801,0.146,right,bad,شمس
2025-12-19T19:42:32.660267,0.37,-0.721,-0.37,-0.204,2.383,-3.702,right,bad,شمس
2025-12-19T19:42:32.721724,0.426,-0.724,-0.428,-4.83,4.673,-3.106,right,bad,شمس
2025-12-19T19:42:32.785459,0.385,-0.729,-0.401,-11.837,9.146,-3.534,right,bad,شمس
2025-12-19T19:42:32.979322,0.351,-0.736,-0.51,-5.837,-29.266,8.008,right,bad,شمس
2025-12-19T19:42:33.051230,0.393,-0.738,-0.439,14.804,3.879,-5.228,right,bad,شمس
2025-12-19T19:42:33.121881,0.409,-0.827,-0.344,-0.021,18.978,-10.587,right,bad,شمس
2025-12-19T19:42:33.184304,0.402,-0.795,-0.442,-7.7,13.635,2.924,right,bad,شمس
2025-12-19T19:42:33.369980,0.566,-0.615,-0.351,7.781,5.818,6.222,right,bad,شمس
2025-12-19T19:42:33.442900,0.434,-0.741,-0.354,9.979,-5.877,8.833,right,bad,شمس
2025-12-19T19:42:33.517588,0.468,-0.734,-0.33,3.308,-4.656,3.459,right,bad,شمس
2025-12-19T19:42:33.594055,0.431,-0.74,-0.362,0.01,-13.175,5.886,right,bad,شمس
2025-12-19T19:42:33.665103,0.504,-0.718,-0.35,1.277,-2.656,0.68,right,bad,شمس
2025-12-19T19:42:33.756161,0.456,-0.708,-0.36,-2.998,-2.03,6.024,right,bad,شمس
2025-12-19T19:42:33.927498,0.447,-0.735,-0.418,-3.532,-11.281,5.367,right,bad,شمس
2025-12-19T19:42:33.992279,0.449,-0.708,-0.421,9.979,2.963,3.489,right,bad,شمس
2025-12-19T19:42:34.056211,0.286,-0.728,-0.305,3.414,16.886,5.352,right,bad,شمس
2025-12-19T19:42:34.232608,0.419,-0.743,-0.374,-6.952,-6.365,8.756,right,bad,شمس
2025-12-19T19:42:34.383606,0.418,-0.747,-0.409,-5.166,1.528,-8.267,right,bad,شمس
