timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T17:35:55.773557,0.324,-0.723,0.502,-15.754,30.625,1.032,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:55.835026,0.268,-0.746,0.526,-25.48,-15.817,-13.777,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:55.896894,0.219,-0.819,0.446,-2.304,13.557,1.688,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.089551,0.229,-0.816,0.403,11.07,12.687,5.719,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.238996,0.134,-0.833,0.515,-5.999,15.938,-2.235,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.307843,0.26,-0.856,0.245,-29.892,5.312,-17.945,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.368886,0.254,-0.826,0.316,7.07,13.816,-0.205,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.593785,0.545,-0.91,0.423,-11.144,12.931,16.849,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.669259,0.73,-0.844,0.231,3.207,29.557,49.566,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.761601,0.303,-0.738,0.841,53.772,-39.649,-7.441,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.870018,0.295,-0.788,0.609,2.23,-7.359,0.192,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:56.935437,0.366,-0.867,0.116,-8.106,12.0,-2.892,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.059004,0.256,-0.836,0.51,10.734,9.877,2.177,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.127947,0.086,-0.849,0.279,-7.754,15.725,34.986,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.281042,-0.061,-0.839,0.512,-12.625,-7.756,3.475,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.352412,0.202,-0.883,0.52,7.009,-0.214,-14.876,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.467989,0.315,-0.874,0.476,6.215,-4.825,3.047,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.536096,0.204,-0.842,0.182,12.139,10.473,3.215,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.597518,0.114,-0.773,0.574,54.917,4.412,3.673,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.658436,0.085,-0.782,0.611,-58.594,-5.771,-23.457,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.845218,0.173,-0.736,0.824,-18.014,7.465,-7.273,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:57.980309,0.266,-0.849,0.175,-21.22,8.946,-9.93,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.055122,0.191,-0.875,0.5,6.383,2.0,-14.938,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.185597,0.175,-0.83,0.466,-0.426,5.053,-6.021,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.256372,0.29,-0.844,0.645,-11.052,-6.626,10.284,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.318623,0.282,-0.859,0.271,5.436,-13.207,0.742,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.396339,-0.038,-0.82,0.467,-8.014,3.358,-11.365,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.491751,0.179,-0.8,0.28,25.94,-26.352,-14.525,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.798922,0.177,-0.9,0.267,-20.701,10.488,-0.083,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:58.869728,0.258,-0.831,0.41,0.81,6.137,-3.899,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.008761,0.328,-0.847,0.385,-5.312,10.732,7.52,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.106622,0.156,-0.814,0.376,10.994,-4.0,4.162,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.178230,0.262,-0.829,0.529,5.116,6.03,1.765,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.249546,0.108,-0.857,0.551,-5.403,8.61,-0.113,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.318465,0.176,-0.804,0.458,-6.976,5.725,-8.434,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.382684,0.143,-0.757,0.333,-10.38,-23.542,-6.999,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.569211,0.16,-0.837,0.424,7.07,8.549,4.604,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.720460,0.349,-0.86,0.435,7.528,14.885,-14.876,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.790509,0.025,-0.749,0.865,-38.075,9.74,-7.105,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:35:59.925237,0.261,-0.831,0.192,-29.953,13.114,-1.823,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.077205,0.251,-0.687,0.331,64.719,-17.741,6.284,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.293538,0.133,-0.914,0.344,-34.319,2.625,-12.144,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.355544,0.142,-0.813,0.308,5.635,1.725,-14.724,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.546864,0.184,-0.855,0.401,-8.732,3.74,-5.029,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.621297,0.158,-0.826,0.277,-5.052,-22.352,-9.136,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.744471,0.308,-0.727,0.424,103.803,14.641,-1.167,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.806870,0.167,-0.731,0.773,-72.487,-14.153,-30.907,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.878839,0.409,-0.885,0.09,-4.136,13.16,-9.441,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:00.954339,0.055,-0.838,0.542,-1.541,2.259,-2.418,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.035741,0.08,-0.853,0.23,-3.144,1.771,17.154,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.223702,-0.007,-0.815,0.487,-4.655,7.465,-2.464,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.359278,0.199,-0.852,0.463,2.673,-20.947,0.696,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.431814,0.206,-0.879,0.449,5.146,-2.917,-17.441,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.564033,0.116,-0.843,0.484,2.246,2.427,-5.38,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.634923,0.137,-0.852,0.388,-0.212,-4.336,6.65,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.769093,0.124,-0.813,0.357,7.207,-11.497,-4.693,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.885832,0.068,-0.825,0.408,2.2,3.862,-5.105,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:01.956424,0.175,-0.834,0.41,-3.541,2.488,-3.304,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.025719,0.151,-0.794,0.226,-2.014,-15.634,-0.067,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.087230,0.218,-0.833,0.326,5.513,-12.107,2.635,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.276238,0.182,-0.838,0.395,6.322,6.961,3.017,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.352676,0.168,-0.823,0.526,12.658,17.389,-12.922,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.485639,0.304,-0.923,0.152,71.94,15.343,74.406,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.547493,0.45,-0.849,0.115,-37.174,13.297,-10.739,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.616771,0.149,-0.854,0.405,22.841,2.229,9.215,right,bad,الطالب يكتب درسه في الدفتر
2025-12-18T17:36:02.793092,0.145,-0.797,0.336,61.482,26.656,-32.922,right,bad,الطالب يكتب درسه في الدفتر
