timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T17:38:18.196991,-0.082,-0.776,0.432,-1.907,2.305,-3.502,right,bad,العلم نور
2025-12-18T17:38:18.266840,-0.097,-0.79,0.444,3.391,3.526,0.131,right,bad,العلم نور
2025-12-18T17:38:18.336730,-0.106,-0.769,0.463,-7.846,2.03,-7.96,right,bad,العلم نور
2025-12-18T17:38:18.476494,-0.093,-0.799,0.44,-13.281,5.526,-11.915,right,bad,العلم نور
2025-12-18T17:38:18.545568,-0.064,-0.82,0.389,6.826,2.351,-14.693,right,bad,العلم نور
2025-12-18T17:38:18.609281,-0.1,-0.856,0.432,12.948,-1.512,-15.945,right,bad,العلم نور
2025-12-18T17:38:18.783547,-0.022,-0.802,0.499,-6.793,5.389,-2.357,right,bad,العلم نور
2025-12-18T17:38:18.857083,-0.295,-0.799,0.045,38.383,-11.359,-12.647,right,bad,العلم نور
2025-12-18T17:38:18.932807,-0.235,-0.733,0.623,24.902,-9.222,4.589,right,bad,العلم نور
2025-12-18T17:38:19.090863,-0.115,-0.813,0.437,-44.441,7.511,-29.487,right,bad,العلم نور
2025-12-18T17:38:19.148542,-0.079,-0.806,0.363,12.566,0.503,-11.502,right,bad,العلم نور
2025-12-18T17:38:19.295259,-0.084,-0.793,0.517,-2.396,7.404,1.444,right,bad,العلم نور
2025-12-18T17:38:19.397797,-0.166,-0.802,0.479,-6.09,7.312,-5.365,right,bad,العلم نور
2025-12-18T17:38:19.536386,0.02,-0.792,0.37,3.574,-9.375,2.406,right,bad,العلم نور
2025-12-18T17:38:19.605003,-0.08,-0.793,0.537,3.665,2.427,-5.548,right,bad,العلم نور
2025-12-18T17:38:19.670446,-0.099,-0.818,0.429,1.696,-4.26,-4.327,right,bad,العلم نور
2025-12-18T17:38:19.807358,-0.037,-0.806,0.395,0.276,2.732,0.299,right,bad,العلم نور
2025-12-18T17:38:19.872220,-0.037,-0.768,0.5,3.757,7.114,-5.487,right,bad,العلم نور
2025-12-18T17:38:19.932340,0.193,-0.832,0.593,-10.457,5.221,14.36,right,bad,العلم نور
2025-12-18T17:38:20.029603,-0.11,-0.875,0.644,-18.121,-7.344,13.612,right,bad,العلم نور
2025-12-18T17:38:20.102270,0.018,-0.897,0.392,-1.602,-8.764,-0.602,right,bad,العلم نور
2025-12-18T17:38:20.217927,-0.159,-0.81,0.461,17.009,6.106,-20.586,right,bad,العلم نور
2025-12-18T17:38:20.279314,-0.19,-0.785,0.433,16.414,1.755,-14.067,right,bad,العلم نور
2025-12-18T17:38:20.421690,-0.038,-0.813,0.464,-6.93,4.137,3.78,right,bad,العلم نور
2025-12-18T17:38:20.485208,-0.011,-0.788,0.391,-5.357,-7.573,-1.655,right,bad,العلم نور
2025-12-18T17:38:20.626615,-0.041,-0.811,0.363,4.139,-3.161,2.421,right,bad,العلم نور
2025-12-18T17:38:20.694471,-0.104,-0.798,0.427,4.856,-5.237,-6.724,right,bad,العلم نور
2025-12-18T17:38:20.756442,0.055,-0.805,0.479,-3.617,-4.871,11.062,right,bad,العلم نور
2025-12-18T17:38:20.851972,-0.123,-0.798,0.379,-9.709,7.404,12.971,right,bad,العلم نور
2025-12-18T17:38:20.925083,-0.16,-0.818,0.495,2.887,9.007,-1.365,right,bad,العلم نور
2025-12-18T17:38:21.036824,0.001,-0.794,0.481,2.81,-3.008,-0.556,right,bad,العلم نور
2025-12-18T17:38:21.103163,0.073,-0.829,0.469,-10.151,-10.749,15.139,right,bad,العلم نور
2025-12-18T17:38:21.241051,0.032,-0.817,0.671,-25.724,5.496,18.589,right,bad,العلم نور
2025-12-18T17:38:21.306457,-0.042,-0.869,-0.195,81.436,-31.771,-41.838,right,bad,العلم نور
2025-12-18T17:38:21.445830,0.496,-0.441,0.681,10.765,-13.97,-12.098,right,bad,العلم نور
2025-12-18T17:38:21.520010,-0.124,-0.792,0.486,0.475,3.511,0.421,right,bad,العلم نور
2025-12-18T17:38:21.597174,-0.06,-0.825,0.488,-8.121,11.847,-1.319,right,bad,العلم نور
2025-12-18T17:38:21.815456,-0.093,-0.814,0.376,3.131,8.0,-2.571,right,bad,العلم نور
2025-12-18T17:38:21.957795,0.375,-0.876,0.632,-11.342,15.16,2.055,right,bad,العلم نور
2025-12-18T17:38:22.028846,0.19,-0.819,0.365,9.375,-35.039,13.215,right,bad,العلم نور
2025-12-18T17:38:22.091234,-0.026,-0.817,0.407,2.032,-9.344,6.33,right,bad,العلم نور
2025-12-18T17:38:22.166895,-0.069,-0.818,0.399,3.559,6.595,4.818,right,bad,العلم نور
2025-12-18T17:38:22.356235,-0.19,-0.798,0.37,-8.09,4.015,6.192,right,bad,العلم نور
2025-12-18T17:38:22.419910,-0.003,-0.819,0.391,-0.533,2.564,-4.785,right,bad,العلم نور
2025-12-18T17:38:22.579736,-0.045,-0.826,0.453,-9.999,1.679,3.673,right,bad,العلم نور
2025-12-18T17:38:22.649381,0.045,-0.79,0.385,-6.625,2.061,-5.212,right,bad,العلم نور
2025-12-18T17:38:22.777412,0.068,-0.895,0.239,18.123,-21.176,10.131,right,bad,العلم نور
2025-12-18T17:38:22.843067,-0.209,-0.721,0.644,-13.571,2.335,-22.327,right,bad,العلم نور
2025-12-18T17:38:22.904284,0.002,-0.814,0.384,-20.655,4.458,-18.922,right,bad,العلم نور
2025-12-18T17:38:23.119896,0.02,-0.831,0.419,2.978,8.717,1.765,right,bad,العلم نور
2025-12-18T17:38:23.184328,-0.112,-0.81,0.379,-1.495,4.977,-5.731,right,bad,العلم نور
2025-12-18T17:38:23.250928,-0.609,-0.778,0.007,-4.518,11.099,-19.35,right,bad,العلم نور
2025-12-18T17:38:23.322004,-0.003,-0.822,0.361,-5.8,4.183,-2.968,right,bad,العلم نور
2025-12-18T17:38:23.515955,-0.141,-0.773,0.048,-3.006,-26.077,0.33,right,bad,العلم نور
2025-12-18T17:38:23.699530,0.16,-0.95,0.019,77.635,24.03,14.696,right,bad,العلم نور
2025-12-18T17:38:23.764701,0.019,-0.826,0.314,-8.228,4.061,-16.846,right,bad,العلم نور
2025-12-18T17:38:23.834848,-0.096,-0.757,0.491,3.177,2.824,-4.724,right,bad,العلم نور
2025-12-18T17:38:24.006774,-0.119,-0.817,0.442,-30.487,6.366,-30.449,right,bad,العلم نور
2025-12-18T17:38:24.141100,-0.128,-0.793,0.305,6.307,5.969,-6.602,right,bad,العلم نور
2025-12-18T17:38:24.313939,0.043,-0.837,0.328,8.093,3.175,8.437,right,bad,العلم نور
2025-12-18T17:38:24.386660,-0.32,-0.709,0.748,-27.419,-29.42,-20.281,right,bad,العلم نور
2025-12-18T17:38:24.579249,0.053,-0.706,0.544,24.352,13.145,-18.77,right,bad,العلم نور
2025-12-18T17:38:24.649718,0.026,-0.828,0.417,26.139,11.053,3.612,right,bad,العلم نور
