timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T15:27:59.478180,0.417,0.051,0.454,2.667,-18.797,1.208,right,good,سمع
2025-12-18T15:27:59.550890,0.409,0.045,0.43,-3.455,-3.01,-2.181,right,good,سمع
2025-12-18T15:27:59.628221,0.411,0.049,0.448,0.148,3.509,0.933,right,good,سمع
2025-12-18T15:27:59.696981,0.412,0.057,0.449,6.683,-8.201,2.14,right,good,سمع
2025-12-18T15:27:59.775976,0.405,0.057,0.439,11.583,-27.194,10.949,right,good,سمع
2025-12-18T15:27:59.952166,0.375,0.029,0.482,-4.814,-11.209,-0.578,right,good,سمع
2025-12-18T15:28:00.102005,0.343,0.057,0.436,-4.188,-11.361,6.216,right,good,سمع
2025-12-18T15:28:00.194569,0.448,0.014,0.487,3.095,-3.926,-5.692,right,good,سمع
2025-12-18T15:28:00.278485,0.379,-0.003,0.358,-4.997,2.639,3.575,right,good,سمع
2025-12-18T15:28:00.431003,0.352,0.065,0.339,-5.256,-17.743,6.918,right,good,سمع
2025-12-18T15:28:00.499545,0.316,0.031,0.327,4.179,5.829,-3.494,right,good,سمع
2025-12-18T15:28:00.569862,0.289,0.022,0.286,-4.401,3.158,2.475,right,good,سمع
2025-12-18T15:28:00.644584,0.341,0.054,0.306,-3.791,-0.873,9.666,right,good,سمع
2025-12-18T15:28:00.809286,0.312,-0.041,0.6,-9.607,5.402,-9.158,right,good,سمع
2025-12-18T15:28:00.874533,0.233,-0.125,0.377,8.545,-9.82,12.369,right,good,سمع
2025-12-18T15:28:01.013770,0.259,0.024,0.335,-1.562,8.99,3.62,right,good,سمع
2025-12-18T15:28:01.116044,0.288,0.036,0.202,-4.096,-37.117,6.277,right,good,سمع
2025-12-18T15:28:01.218008,0.238,0.016,0.325,10.591,21.081,-5.815,right,good,سمع
2025-12-18T15:28:01.318161,0.231,0.015,0.289,2.683,-30.888,4.643,right,good,سمع
2025-12-18T15:28:01.393071,0.353,0.033,0.316,11.476,-16.14,-1.463,right,good,سمع
2025-12-18T15:28:01.475506,0.3,0.085,0.276,-3.333,-11.804,-2.609,right,good,سمع
2025-12-18T15:28:01.548832,0.313,-0.004,0.241,5.935,-39.255,6.002,right,good,سمع
2025-12-18T15:28:01.644596,0.22,0.049,0.248,-12.829,3.936,16.399,right,good,سمع
2025-12-18T15:28:01.707610,0.276,0.098,0.252,-13.043,-15.316,19.636,right,good,سمع
2025-12-18T15:28:01.893484,-0.059,-0.387,0.249,-11.088,89.173,-79.677,right,good,سمع
2025-12-18T15:28:02.037237,0.46,0.238,0.043,-47.516,-19.3,-48.914,right,good,سمع
