timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T15:33:06.128940,0.419,0.077,0.316,4.774,-5.545,-1.723,right,good,استيقظ
2025-12-18T15:33:06.192873,0.377,0.066,0.31,4.789,-8.842,0.552,right,good,استيقظ
2025-12-18T15:33:06.261951,0.418,0.065,0.306,5.782,-14.72,0.063,right,good,استيقظ
2025-12-18T15:33:06.390769,0.404,0.065,0.299,5.965,-18.507,1.651,right,good,استيقظ
2025-12-18T15:33:06.481739,0.299,0.04,0.382,11.125,4.593,-0.318,right,good,استيقظ
2025-12-18T15:33:06.583022,0.368,0.132,0.431,-33.424,2.165,13.239,right,good,استيقظ
2025-12-18T15:33:06.653786,0.453,0.124,0.235,-10.814,2.043,-28.38,right,good,استيقظ
2025-12-18T15:33:06.717793,0.476,0.123,0.216,9.583,6.242,14.063,right,good,استيقظ
2025-12-18T15:33:06.890464,0.472,0.057,0.321,12.087,-19.499,7.62,right,good,استيقظ
2025-12-18T15:33:06.962617,0.385,0.067,0.301,-15.531,-20.644,-0.578,right,good,استيقظ
2025-12-18T15:33:07.095096,0.374,0.172,0.084,-10.951,-40.369,-19.005,right,good,استيقظ
2025-12-18T15:33:07.213153,0.322,0.048,0.263,22.728,-3.041,11.483,right,good,استيقظ
2025-12-18T15:33:07.277315,0.332,0.003,0.287,0.454,14.913,-0.609,right,good,استيقظ
2025-12-18T15:33:07.402125,0.36,0.055,0.289,-7.913,-7.774,6.506,right,good,استيقظ
2025-12-18T15:33:07.475037,0.247,0.054,0.206,3.919,6.547,-4.089,right,good,استيقظ
2025-12-18T15:33:07.552009,0.332,0.025,0.278,-0.508,12.135,0.277,right,good,استيقظ
2025-12-18T15:33:07.708966,0.442,0.017,0.319,-1.562,-32.201,9.483,right,good,استيقظ
2025-12-18T15:33:07.771141,0.387,0.025,0.285,8.591,15.341,-7.173,right,good,استيقظ
2025-12-18T15:33:07.833250,0.338,-0.035,0.286,-6.737,-23.514,10.46,right,good,استيقظ
2025-12-18T15:33:07.896169,0.239,0.078,0.097,-3.959,-20.491,3.101,right,good,استيقظ
2025-12-18T15:33:08.082639,0.346,0.005,0.203,-1.302,-17.56,6.063,right,good,استيقظ
2025-12-18T15:33:08.144763,0.278,0.028,0.286,-16.447,-11.713,-5.845,right,good,استيقظ
2025-12-18T15:33:08.206786,0.361,0.133,0.123,-23.012,-12.201,-34.395,right,good,استيقظ
2025-12-18T15:33:08.390835,0.337,-0.013,0.28,-10.188,-2.949,-4.471,right,good,استيقظ
2025-12-18T15:33:08.457734,0.43,0.184,-0.023,4.011,-10.323,15.056,right,good,استيقظ
2025-12-18T15:33:08.520134,0.185,0.013,0.145,21.843,-0.705,15.773,right,good,استيقظ
2025-12-18T15:33:08.597583,0.376,-0.054,0.396,-18.127,15.906,-11.005,right,good,استيقظ
2025-12-18T15:33:08.784414,0.253,-0.009,0.399,8.393,-34.201,0.872,right,good,استيقظ
2025-12-18T15:33:08.852548,0.333,0.033,0.215,0.011,-5.087,4.262,right,good,استيقظ
2025-12-18T15:33:08.923172,0.234,0.035,0.154,3.705,-5.621,6.414,right,good,استيقظ
2025-12-18T15:33:08.999640,0.185,0.028,0.181,0.774,10.272,-1.25,right,good,استيقظ
2025-12-18T15:33:09.142771,0.199,-0.257,0.321,-33.714,-0.644,-19.005,right,good,استيقظ
2025-12-18T15:33:09.210292,0.357,0.01,0.309,25.309,-19.377,1.376,right,good,استيقظ
2025-12-18T15:33:09.350976,0.211,0.033,0.198,-4.493,10.623,3.01,right,good,استيقظ
2025-12-18T15:33:09.450307,0.078,0.0,0.267,-1.76,-25.438,7.101,right,good,استيقظ
2025-12-18T15:33:09.597735,0.273,0.184,-0.007,-26.279,22.577,-32.502,right,good,استيقظ
2025-12-18T15:33:09.757446,0.07,0.029,0.217,4.316,-23.85,9.88,right,good,استيقظ
2025-12-18T15:33:09.825896,0.275,0.117,0.061,25.66,7.692,6.521,right,good,استيقظ
2025-12-18T15:33:09.965179,0.269,-0.014,0.342,7.95,-18.033,6.201,right,good,استيقظ
2025-12-18T15:33:10.027183,0.205,0.032,0.206,2.805,-19.392,-2.792,right,good,استيقظ
2025-12-18T15:33:10.174010,0.072,0.072,0.123,0.973,18.868,-7.143,right,good,استيقظ
2025-12-18T15:33:10.245103,0.161,0.018,0.253,5.69,-37.102,16.521,right,good,استيقظ
2025-12-18T15:33:10.321062,-0.001,0.032,0.069,-15.852,1.936,-12.38,right,good,استيقظ
2025-12-18T15:33:10.474800,0.319,0.141,0.017,21.141,4.348,-16.41,right,good,استيقظ
2025-12-18T15:33:10.585057,0.202,-0.076,0.212,-6.798,-11.575,12.933,right,good,استيقظ
2025-12-18T15:33:10.678824,0.001,-0.116,0.167,18.057,-7.545,12.949,right,good,استيقظ
2025-12-18T15:33:10.750405,0.086,0.076,0.228,2.255,-32.43,-13.082,right,good,استيقظ
2025-12-18T15:33:10.821568,0.058,0.01,0.129,2.56,4.898,-3.097,right,good,استيقظ
2025-12-18T15:33:10.883256,0.248,-0.044,0.297,-8.478,9.875,10.002,right,good,استيقظ
2025-12-18T15:33:11.088502,0.172,-0.017,0.239,-7.669,5.387,-9.143,right,good,استيقظ
2025-12-18T15:33:11.146499,0.342,0.161,0.025,15.797,17.402,-43.418,right,good,استيقظ
2025-12-18T15:33:11.210943,0.209,0.035,0.208,32.957,14.471,10.308,right,good,استيقظ
2025-12-18T15:33:11.273392,0.245,0.002,0.168,-1.104,8.486,3.178,right,good,استيقظ
2025-12-18T15:33:11.462773,-0.074,-0.173,0.177,-7.653,3.005,-20.38,right,good,استيقظ
2025-12-18T15:33:11.536067,0.269,0.14,0.03,4.835,5.936,-15.158,right,good,استيقظ
2025-12-18T15:33:11.703454,-0.13,-0.537,0.6,15.263,11.051,-3.158,right,good,استيقظ
