timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-18T15:36:21.096042,0.192,0.022,0.156,0.408,-1.087,-0.212,right,good,شمس
2025-12-18T15:36:21.251067,0.179,0.018,0.18,15.919,-6.445,3.086,right,good,شمس
2025-12-18T15:36:21.323490,0.268,-0.009,0.282,-0.615,9.448,1.269,right,good,شمس
2025-12-18T15:36:21.400125,0.242,-0.0,0.205,-8.753,-7.774,6.643,right,good,شمس
2025-12-18T15:36:21.557927,0.138,0.008,0.167,0.728,-27.82,2.323,right,good,شمس
2025-12-18T15:36:21.630488,0.203,-0.002,0.179,2.454,7.936,-2.181,right,good,شمس
2025-12-18T15:36:21.777887,0.122,0.008,0.204,-3.775,2.7,4.353,right,good,شمس
2025-12-18T15:36:21.846431,0.139,0.005,0.16,5.034,-7.682,-4.38,right,good,شمس
2025-12-18T15:36:21.915755,0.152,-0.002,0.16,1.217,7.02,-2.227,right,good,شمس
2025-12-18T15:36:22.069592,0.159,-0.02,0.104,1.904,-7.774,10.72,right,good,شمس
2025-12-18T15:36:22.131630,0.126,0.182,-0.085,-19.424,-53.087,-0.044,right,good,شمس
2025-12-18T15:36:22.274561,0.144,0.139,-0.103,35.583,-10.201,14.888,right,good,شمس
2025-12-18T15:36:22.378292,-0.072,-0.004,0.127,-0.585,15.951,-5.845,right,good,شمس
2025-12-18T15:36:22.450094,0.164,0.021,0.046,1.98,-9.987,5.117,right,good,شمس
2025-12-18T15:36:22.528262,-0.066,0.005,0.123,6.148,-23.835,-13.738,right,good,شمس
2025-12-18T15:36:22.685008,0.012,-0.005,0.092,0.973,23.616,-11.815,right,good,شمس
2025-12-18T15:36:22.759463,-0.049,0.007,0.072,1.568,-2.72,-2.975,right,good,شمس
2025-12-18T15:36:22.826539,0.108,-0.021,0.163,6.347,27.081,-10.746,right,good,شمس
2025-12-18T15:36:22.992345,0.077,0.001,0.108,-0.982,-23.392,16.43,right,good,شمس
2025-12-18T15:36:23.063133,0.134,-0.04,0.122,4.454,18.501,-8.944,right,good,شمس
2025-12-18T15:36:23.125020,0.015,0.01,0.06,0.057,-17.3,10.17,right,good,شمس
2025-12-18T15:36:23.300285,-0.108,-0.013,0.117,8.774,4.898,2.842,right,good,شمس
2025-12-18T15:36:23.376373,-0.048,-0.18,0.274,3.309,-95.713,16.277,right,good,شمس
2025-12-18T15:36:23.505459,-0.245,-0.087,0.081,4.499,-23.285,-31.601,right,good,شمس
2025-12-18T15:36:23.605952,0.227,-0.008,0.109,-46.493,16.761,-40.318,right,good,شمس
2025-12-18T15:36:23.667199,0.132,0.099,0.032,4.057,24.348,9.956,right,good,شمس
2025-12-18T15:36:23.731935,0.095,-0.047,0.161,14.057,30.7,6.231,right,good,شمس
2025-12-18T15:36:23.793247,0.093,0.009,0.117,-1.165,3.478,-2.67,right,good,شمس
2025-12-18T15:36:23.987042,-0.103,0.002,0.198,31.736,-33.285,4.124,right,good,شمس
2025-12-18T15:36:24.062365,0.215,-0.042,0.298,-43.424,-7.102,-5.799,right,good,شمس
2025-12-18T15:36:24.126880,0.13,-0.012,-0.163,29.492,-30.995,4.033,right,good,شمس
2025-12-18T15:36:24.189269,-0.132,-0.002,0.47,-9.18,16.257,-25.479,right,good,شمس
2025-12-18T15:36:24.426461,0.123,-0.1,0.296,-100.432,-20.049,-16.471,right,good,شمس
2025-12-18T15:36:24.501582,0.095,0.175,-0.121,-36.249,-4.613,6.094,right,good,شمس
2025-12-18T15:36:24.581755,0.142,0.209,-0.209,-8.127,5.677,8.231,right,good,شمس
