timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-20T13:05:40.301696,0.19,-0.749,-0.656,3.083,-2.921,15.37,right,good,كتب
2025-12-20T13:05:40.404541,0.228,-0.737,-0.664,5.877,29.613,-1.469,right,good,كتب
2025-12-20T13:05:40.610326,0.29,-0.752,-0.649,7.923,7.064,-5.027,right,good,كتب
2025-12-20T13:05:40.720052,0.263,-0.766,-0.607,3.602,-5.974,1.248,right,good,كتب
2025-12-20T13:05:40.813448,0.24,-0.758,-0.631,4.442,-20.799,-0.813,right,good,كتب
2025-12-20T13:05:40.905820,0.214,-0.77,-0.591,-0.108,-4.845,-3.194,right,good,كتب
2025-12-20T13:05:41.018426,0.227,-0.795,-0.669,5.785,-9.41,-0.95,right,good,كتب
2025-12-20T13:05:41.101899,0.362,-0.799,-0.546,-7.36,11.155,-1.652,right,good,كتب
2025-12-20T13:05:41.178918,0.354,-0.846,-0.55,-38.367,-6.616,30.47,right,good,كتب
2025-12-20T13:05:41.255354,0.04,-0.698,-0.693,4.823,12.743,2.271,right,good,كتب
2025-12-20T13:05:41.428721,0.268,-0.75,-0.638,0.014,-0.234,3.325,right,good,كتب
2025-12-20T13:05:41.734607,0.304,-0.845,-0.443,9.083,-11.99,5.935,right,good,كتب
2025-12-20T13:05:41.811410,0.16,-0.745,-0.621,8.579,16.422,-6.813,right,good,كتب
2025-12-20T13:05:41.903395,0.181,-0.737,-0.648,-2.856,0.575,0.057,right,good,كتب
2025-12-20T13:05:42.042356,0.217,-0.752,-0.628,-1.833,5.354,-11.042,right,good,كتب
2025-12-20T13:05:42.144507,0.197,-0.747,-0.641,0.778,0.697,-4.691,right,good,كتب
2025-12-20T13:05:42.235200,0.193,-0.728,-0.658,0.61,-9.379,-2.08,right,good,كتب
2025-12-20T13:05:42.349379,0.222,-0.737,-0.657,5.068,-7.486,2.897,right,good,كتب
2025-12-20T13:05:42.451703,0.182,-0.761,-0.631,9.51,4.117,-2.935,right,good,كتب
2025-12-20T13:05:42.554321,0.176,-0.77,-0.6,4.274,4.728,5.08,right,good,كتب
2025-12-20T13:05:42.656796,0.244,-0.777,-0.632,2.03,2.285,1.828,right,good,كتب
2025-12-20T13:05:42.759161,0.204,-0.778,-0.605,0.396,-9.318,2.989,right,good,كتب
2025-12-20T13:05:42.861367,0.195,-0.783,-0.59,0.762,-16.952,1.432,right,good,كتب
2025-12-20T13:05:42.963861,0.231,-0.78,-0.606,-1.115,-11.883,7.447,right,good,كتب
2025-12-20T13:05:43.066178,0.158,-0.782,-0.589,-0.154,-7.471,-0.462,right,good,كتب
2025-12-20T13:05:43.169340,0.2,-0.793,-0.6,-0.932,-5.883,0.973,right,good,كتب
2025-12-20T13:05:43.271217,0.172,-0.759,-0.59,1.312,-3.959,-1.759,right,good,كتب
2025-12-20T13:05:43.352469,0.158,-0.788,-0.58,1.037,1.4,-1.607,right,good,كتب
