timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T23:04:43.922606,0.461,-0.633,1.225,11.397,-31.588,5.349,right,good,لغة
2025-12-17T23:04:44.071083,0.406,-0.64,1.221,17.901,-26.687,9.166,right,good,لغة
2025-12-17T23:04:44.173147,0.407,-0.671,1.306,11.672,-25.878,7.594,right,good,لغة
2025-12-17T23:04:44.247446,0.418,-0.671,1.261,11.917,-42.947,7.227,right,good,لغة
2025-12-17T23:04:44.378116,0.558,-0.652,1.266,13.397,-48.687,5.472,right,good,لغة
2025-12-17T23:04:44.455456,0.402,-0.652,1.211,11.657,-56.214,11.639,right,good,لغة
2025-12-17T23:04:44.583638,0.626,-0.717,1.386,6.71,-63.008,-0.498,right,good,لغة
2025-12-17T23:04:44.685059,0.326,-0.661,1.331,5.504,-50.718,4.281,right,good,لغة
2025-12-17T23:04:44.787384,0.336,-0.75,1.327,-39.03,-52.55,14.479,right,good,لغة
2025-12-17T23:04:44.859004,0.441,-0.429,0.97,2.023,1.679,-17.139,right,good,لغة
2025-12-17T23:04:44.941999,0.516,-0.737,1.263,35.23,-41.741,5.502,right,good,لغة
2025-12-17T23:04:45.094658,0.435,-0.642,1.192,16.375,-24.474,-2.895,right,good,لغة
2025-12-17T23:04:45.165560,0.436,-0.66,1.268,13.474,-25.985,3.945,right,good,لغة
2025-12-17T23:04:45.245537,0.426,-0.642,1.264,13.55,-33.497,6.83,right,good,لغة
2025-12-17T23:04:45.325206,0.473,-0.634,1.27,6.298,-40.382,4.708,right,good,لغة
2025-12-17T23:04:45.606565,0.41,-0.643,1.287,3.688,-31.054,5.304,right,good,لغة
2025-12-17T23:04:45.689243,0.47,-0.642,1.23,15.474,-37.955,1.991,right,good,لغة
2025-12-17T23:04:45.811420,0.501,-0.66,1.227,12.359,-56.458,-0.391,right,good,لغة
2025-12-17T23:04:46.016147,0.431,-0.634,1.266,1.26,-40.062,4.556,right,good,لغة
2025-12-17T23:04:46.118775,0.446,-0.651,1.251,7.794,-32.718,5.96,right,good,لغة
2025-12-17T23:04:46.221833,0.401,-0.665,1.249,14.527,-43.436,1.487,right,good,لغة
2025-12-17T23:04:46.301213,0.461,-0.66,1.299,7.397,-56.932,2.418,right,good,لغة
2025-12-17T23:04:46.381496,0.406,-0.648,1.266,9.291,-41.405,1.975,right,good,لغة
2025-12-17T23:04:46.457797,0.34,-0.663,1.441,26.313,-18.413,4.204,right,good,لغة
2025-12-17T23:04:46.537369,0.448,-0.672,1.434,-10.099,-1.176,39.441,right,good,لغة
2025-12-17T23:04:46.617432,0.476,-0.475,0.961,-30.541,-24.306,-11.032,right,good,لغة
2025-12-17T23:04:46.733546,0.341,-0.549,1.219,18.527,-52.901,8.556,right,good,لغة
2025-12-17T23:04:46.805604,0.436,-0.666,1.206,48.726,-21.222,3.12,right,good,لغة
2025-12-17T23:04:46.938305,0.498,-0.705,1.278,2.558,-18.138,0.296,right,good,لغة
2025-12-17T23:04:47.013393,0.423,-0.568,1.096,35.168,-27.558,5.517,right,good,لغة
2025-12-17T23:04:47.091444,0.441,-0.715,1.436,15.886,-7.39,0.494,right,good,لغة
2025-12-17T23:04:47.170411,0.325,-0.701,1.26,-48.435,-19.176,7.975,right,good,لغة
2025-12-17T23:04:47.347818,0.608,-0.454,0.912,37.84,-34.901,12.769,right,good,لغة
2025-12-17T23:04:47.451034,0.409,-0.718,1.404,-22.923,-23.039,-2.254,right,good,لغة
2025-12-17T23:04:47.552611,0.593,-0.532,1.006,0.13,-30.886,-2.819,right,good,لغة
2025-12-17T23:04:47.621348,0.421,-0.643,1.246,5.489,-35.527,2.25,right,good,لغة
2025-12-17T23:04:47.699696,0.467,-0.63,1.206,8.023,-34.031,5.41,right,good,لغة
2025-12-17T23:04:47.777280,0.456,-0.64,1.196,7.031,-37.985,4.922,right,good,لغة
2025-12-17T23:04:47.963572,0.447,-0.612,1.202,9.168,-37.008,3.273,right,good,لغة
2025-12-17T23:04:48.043033,0.45,-0.631,1.223,8.13,-35.405,6.83,right,good,لغة
2025-12-17T23:04:48.137193,0.432,-0.62,1.191,8.909,-34.55,4.449,right,good,لغة
2025-12-17T23:04:48.269572,0.448,-0.621,1.208,9.153,-34.962,3.319,right,good,لغة
2025-12-17T23:04:48.348327,0.431,-0.621,1.204,9.291,-35.268,4.907,right,good,لغة
2025-12-17T23:04:48.474786,0.434,-0.629,1.201,9.352,-35.451,4.739,right,good,لغة
2025-12-17T23:04:48.555753,0.446,-0.615,1.199,9.123,-35.894,5.975,right,good,لغة
2025-12-17T23:04:48.679442,0.445,-0.629,1.208,8.97,-35.955,6.464,right,good,لغة
