timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T23:07:13.147062,0.514,-0.636,1.213,9.306,-32.367,7.609,right,good,استيقظ
2025-12-17T23:07:13.286432,0.479,-0.645,1.21,9.565,-28.382,8.067,right,good,استيقظ
2025-12-17T23:07:13.390526,0.501,-0.662,1.223,15.917,-20.703,7.441,right,good,استيقظ
2025-12-17T23:07:13.490824,0.583,-0.661,1.243,17.581,-11.161,11.288,right,good,استيقظ
2025-12-17T23:07:13.593352,0.481,-0.678,1.23,18.329,-33.573,10.678,right,good,استيقظ
2025-12-17T23:07:13.697467,0.629,-0.66,1.316,15.855,-48.229,6.388,right,good,استيقظ
2025-12-17T23:07:13.780545,0.549,-0.712,1.41,-28.74,-61.466,6.067,right,good,استيقظ
2025-12-17T23:07:13.900843,0.564,-0.438,0.939,-9.32,-48.749,-16.834,right,good,استيقظ
2025-12-17T23:07:13.972631,0.69,-0.614,1.16,12.329,-18.031,0.327,right,good,استيقظ
2025-12-17T23:07:14.105976,0.489,-0.679,1.21,16.634,-18.107,5.716,right,good,استيقظ
2025-12-17T23:07:14.179800,0.521,-0.66,1.255,20.146,-26.168,11.777,right,good,استيقظ
2025-12-17T23:07:14.256486,0.523,-0.659,1.299,19.001,-49.161,4.327,right,good,استيقظ
2025-12-17T23:07:14.336788,0.633,-0.674,1.271,4.054,-59.817,-7.261,right,good,استيقظ
2025-12-17T23:07:14.514996,0.498,-0.675,1.191,-1.03,-21.573,4.021,right,good,استيقظ
2025-12-17T23:07:14.591085,0.407,-0.622,1.255,11.367,-60.336,2.403,right,good,استيقظ
2025-12-17T23:07:14.666297,0.531,-0.662,1.241,3.917,-40.672,0.769,right,good,استيقظ
2025-12-17T23:07:14.745542,0.438,-0.662,1.221,6.817,-27.329,5.502,right,good,استيقظ
2025-12-17T23:07:14.924648,0.564,-0.644,1.21,8.573,-34.413,5.975,right,good,استيقظ
2025-12-17T23:07:15.027083,0.512,-0.672,1.486,-17.457,-59.558,-10.528,right,good,استيقظ
2025-12-17T23:07:15.135702,0.408,-0.549,1.204,2.558,-11.084,0.83,right,good,استيقظ
2025-12-17T23:07:15.232082,0.387,-0.632,1.268,10.558,-31.023,6.464,right,good,استيقظ
2025-12-17T23:07:15.305798,0.421,-0.615,1.179,22.802,-25.97,12.83,right,good,استيقظ
2025-12-17T23:07:15.384512,0.452,-0.667,1.246,21.657,-26.184,12.525,right,good,استيقظ
2025-12-17T23:07:15.463092,0.418,-0.649,1.217,23.062,-34.779,6.601,right,good,استيقظ
2025-12-17T23:07:15.542008,0.591,-0.651,1.288,14.313,-56.138,2.097,right,good,استيقظ
2025-12-17T23:07:15.643733,0.34,-0.693,1.396,-22.74,-61.374,-19.551,right,good,استيقظ
2025-12-17T23:07:15.744039,0.341,-0.475,1.014,2.13,-5.313,8.128,right,good,استيقظ
2025-12-17T23:07:15.825596,0.441,-0.588,1.18,33.397,-21.726,16.189,right,good,استيقظ
2025-12-17T23:07:15.949208,0.326,-0.701,1.372,24.481,-18.825,13.472,right,good,استيقظ
2025-12-17T23:07:16.022717,0.498,-0.538,1.09,-3.259,-24.916,10.159,right,good,استيقظ
2025-12-17T23:07:16.099828,0.449,-0.669,1.262,36.726,-30.168,16.83,right,good,استيقظ
2025-12-17T23:07:16.178584,0.583,-0.783,1.379,-11.381,-50.397,11.762,right,good,استيقظ
2025-12-17T23:07:16.358586,0.321,-0.446,1.068,-14.114,-62.107,-14.132,right,good,استيقظ
2025-12-17T23:07:16.438445,0.479,-0.656,1.228,19.565,0.824,16.189,right,good,استيقظ
2025-12-17T23:07:16.520387,0.495,-0.668,1.214,22.146,-20.825,15.594,right,good,استيقظ
2025-12-17T23:07:16.595743,0.478,-0.67,1.227,15.016,-35.191,6.54,right,good,استيقظ
2025-12-17T23:07:16.768232,0.484,-0.648,1.283,16.695,-54.214,1.304,right,good,استيقظ
2025-12-17T23:07:16.846009,0.475,-0.604,1.19,-5.763,-40.184,4.22,right,good,استيقظ
2025-12-17T23:07:16.928791,0.508,-0.633,1.239,5.474,-8.138,2.006,right,good,استيقظ
2025-12-17T23:07:17.075908,0.535,-0.649,1.213,16.375,-26.718,13.609,right,good,استيقظ
2025-12-17T23:07:17.152694,0.476,-0.64,1.233,13.504,-62.611,5.365,right,good,استيقظ
2025-12-17T23:07:17.280059,0.301,-0.632,1.268,-9.442,-64.855,-17.964,right,good,استيقظ
2025-12-17T23:07:17.358359,0.424,-0.559,1.018,0.283,-16.84,1.09,right,good,استيقظ
2025-12-17T23:07:17.437780,0.436,-0.617,1.206,15.367,-21.497,7.853,right,good,استيقظ
2025-12-17T23:07:17.524777,0.474,-0.531,1.099,14.955,-7.451,8.357,right,good,استيقظ
2025-12-17T23:07:17.605856,0.543,-0.604,1.119,36.451,-26.428,19.349,right,good,استيقظ
2025-12-17T23:07:17.684925,0.611,-0.68,1.281,4.695,-17.756,-3.383,right,good,استيقظ
2025-12-17T23:07:17.792282,0.53,-0.524,1.066,-1.473,-17.374,6.433,right,good,استيقظ
2025-12-17T23:07:17.894721,0.272,-0.775,1.408,18.619,-0.932,2.754,right,good,استيقظ
2025-12-17T23:07:17.968570,0.502,-0.638,1.145,-20.419,-50.886,-9.918,right,good,استيقظ
2025-12-17T23:07:18.053869,0.717,-0.57,1.112,40.313,-63.374,-4.803,right,good,استيقظ
2025-12-17T23:07:18.203713,0.583,-0.676,1.193,36.741,-52.886,10.204,right,good,استيقظ
2025-12-17T23:07:18.287925,0.475,-0.63,1.188,28.558,-36.443,8.754,right,good,استيقظ
2025-12-17T23:07:18.368185,0.351,-0.702,1.386,10.298,-34.932,13.884,right,good,استيقظ
2025-12-17T23:07:18.509990,0.447,-0.472,1.084,-53.793,-49.71,12.846,right,good,استيقظ
2025-12-17T23:07:18.611744,0.598,-0.544,1.084,33.871,-43.817,-12.895,right,good,استيقظ
2025-12-17T23:07:18.714296,0.408,-0.668,1.295,15.626,-15.405,3.472,right,good,استيقظ
2025-12-17T23:07:18.816636,0.574,-0.666,1.153,-7.015,13.465,16.006,right,good,استيقظ
2025-12-17T23:07:18.897715,0.492,-0.622,1.143,11.504,-5.436,9.197,right,good,استيقظ
2025-12-17T23:07:18.977036,0.464,-0.66,1.151,18.573,-30.535,7.41,right,good,استيقظ
2025-12-17T23:07:19.054240,0.588,-0.64,1.27,14.375,-50.718,5.319,right,good,استيقظ
2025-12-17T23:07:19.227899,0.438,-0.623,1.264,6.252,-71.39,1.67,right,good,استيقظ
2025-12-17T23:07:19.328632,0.438,-0.467,1.053,-3.687,-16.062,11.67,right,good,استيقظ
2025-12-17T23:07:19.435513,0.496,-0.589,1.085,24.695,-9.298,16.937,right,good,استيقظ
2025-12-17T23:07:19.511133,0.443,-0.675,1.254,19.413,-21.344,16.082,right,good,استيقظ
