timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-17T22:56:32.070633,0.454,-0.617,1.187,9.901,-34.626,6.036,right,good,سمع
2025-12-17T22:56:32.147156,0.465,-0.621,1.194,10.634,-34.168,5.41,right,good,سمع
2025-12-17T22:56:32.325786,0.442,-0.623,1.195,17.413,-33.497,6.922,right,good,سمع
2025-12-17T22:56:32.397149,0.436,-0.638,1.206,21.214,-31.68,12.952,right,good,سمع
2025-12-17T22:56:32.475339,0.43,-0.649,1.261,15.062,-35.894,8.922,right,good,سمع
2025-12-17T22:56:32.554480,0.336,-0.667,1.185,16.939,-56.749,0.785,right,good,سمع
2025-12-17T22:56:32.638586,0.377,-0.649,1.305,6.955,-58.794,2.891,right,good,سمع
2025-12-17T22:56:32.837297,0.411,-0.648,1.277,4.985,-24.123,6.021,right,good,سمع
2025-12-17T22:56:32.913013,0.331,-0.622,1.221,10.252,-59.176,-3.048,right,good,سمع
2025-12-17T22:56:32.991552,0.324,-0.661,1.395,5.031,-49.497,7.273,right,good,سمع
2025-12-17T22:56:33.071624,0.412,-0.635,1.227,3.168,-21.558,6.662,right,good,سمع
2025-12-17T22:56:33.150190,0.398,-0.637,1.213,10.527,-35.13,7.93,right,good,سمع
2025-12-17T22:56:33.229004,0.445,-0.622,1.177,16.619,-67.39,-5.735,right,good,سمع
2025-12-17T22:56:33.299651,0.233,-0.638,1.361,-0.603,-60.932,0.25,right,good,سمع
2025-12-17T22:56:33.499767,0.615,-0.598,1.177,28.023,-17.481,-3.582,right,good,سمع
2025-12-17T22:56:33.574703,0.438,-0.601,1.148,26.023,-19.527,7.075,right,good,سمع
2025-12-17T22:56:33.654873,0.44,-0.647,1.247,28.97,-23.008,12.83,right,good,سمع
2025-12-17T22:56:33.727687,0.452,-0.615,1.191,20.451,-33.634,10.403,right,good,سمع
2025-12-17T22:56:33.803632,0.344,-0.646,1.274,10.023,-21.161,9.059,right,good,سمع
2025-12-17T22:56:34.065341,0.342,-0.636,1.209,9.245,-16.275,13.594,right,good,سمع
2025-12-17T22:56:34.168042,0.259,-0.619,1.28,-0.007,-45.176,-8.07,right,good,سمع
2025-12-17T22:56:34.238516,0.443,-0.636,1.181,5.81,-24.306,2.51,right,good,سمع
2025-12-17T22:56:34.317317,0.396,-0.637,1.241,11.978,-39.588,6.204,right,good,سمع
2025-12-17T22:56:34.475653,0.287,-0.596,1.228,9.016,-58.229,-3.521,right,good,سمع
2025-12-17T22:56:34.543528,0.355,-0.626,1.275,1.611,-39.527,2.754,right,good,سمع
2025-12-17T22:56:34.624101,0.361,-0.634,1.237,5.611,-27.436,2.968,right,good,سمع
2025-12-17T22:56:34.782489,0.277,-0.629,1.227,8.39,-10.123,5.365,right,good,سمع
2025-12-17T22:56:34.886285,0.292,-0.64,1.14,22.68,-48.687,-1.399,right,good,سمع
2025-12-17T22:56:34.959064,0.447,-0.677,1.218,13.947,-84.474,-5.048,right,good,سمع
2025-12-17T22:56:35.037917,0.512,-0.686,1.303,5.993,-71.283,-4.788,right,good,سمع
2025-12-17T22:56:35.116804,0.277,-0.65,1.288,15.245,-49.039,-8.437,right,good,سمع
2025-12-17T22:56:35.195586,0.451,-0.772,1.631,22.634,-16.26,25.548,right,good,سمع
2025-12-17T22:56:35.264343,0.209,-0.527,1.291,-40.862,-0.55,13.197,right,good,سمع
2025-12-17T22:56:35.499215,0.413,-0.596,1.164,12.68,-33.527,6.189,right,good,سمع
2025-12-17T22:56:35.565986,0.402,-0.598,1.203,9.794,-29.466,5.93,right,good,سمع
2025-12-17T22:56:35.646829,0.353,-0.621,1.235,7.199,-32.168,4.372,right,good,سمع
2025-12-17T22:56:35.807862,0.38,-0.625,1.222,9.077,-30.886,4.983,right,good,سمع
2025-12-17T22:56:35.908847,0.374,-0.649,1.244,8.084,-34.458,5.594,right,good,سمع
