timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-25T21:47:25.212978,1.322,-0.797,0.729,-34.834,-55.633,28.634,right,good,قلم
2025-12-25T21:47:25.290766,1.323,-0.79,0.73,-32.544,-46.32,22.558,right,good,قلم
2025-12-25T21:47:25.444019,1.296,-0.809,0.699,-36.177,-48.87,22.207,right,good,قلم
2025-12-25T21:47:25.630682,1.364,-0.812,0.798,-36.986,-46.656,32.695,right,good,قلم
2025-12-25T21:47:25.707727,1.276,-0.8,0.763,-29.536,-68.717,28.512,right,good,قلم
2025-12-25T21:47:25.835420,1.409,-0.795,0.547,-23.063,-56.229,24.863,right,good,قلم
2025-12-25T21:47:26.041321,1.437,-0.826,0.715,-31.521,-56.183,19.062,right,good,قلم
2025-12-25T21:47:26.277275,1.416,-0.818,0.715,-40.391,-56.732,27.825,right,good,قلم
2025-12-25T21:47:26.346731,1.249,-0.813,0.737,-31.505,-62.839,26.481,right,good,قلم
2025-12-25T21:47:26.553215,1.245,-0.831,0.881,-35.673,-64.29,24.191,right,good,قلم
2025-12-25T21:47:26.700189,1.326,-0.803,0.756,-33.673,-53.343,28.146,right,good,قلم
2025-12-25T21:47:26.901855,1.322,-0.747,0.75,-36.437,-65.114,45.138,right,good,قلم
2025-12-25T21:47:27.106908,1.383,-0.818,0.745,-39.093,-48.366,18.878,right,good,قلم
2025-12-25T21:47:27.177607,1.304,-0.86,0.668,-27.566,-55.328,34.558,right,good,قلم
2025-12-25T21:47:27.387121,1.638,-0.818,0.833,-38.269,-27.923,59.764,right,good,قلم
2025-12-25T21:47:27.453884,1.489,-0.604,1.145,-47.643,-47.358,-8.068,right,good,قلم
2025-12-25T21:47:27.680333,1.387,-0.763,0.72,-54.605,-57.877,30.069,right,good,قلم
2025-12-25T21:47:27.860877,1.496,-0.811,0.613,-47.292,-50.045,30.207,right,good,قلم
2025-12-25T21:47:27.986640,1.331,-0.846,0.639,-31.307,-46.58,28.283,right,good,قلم
2025-12-25T21:47:28.128193,1.445,-0.747,0.846,-28.757,-37.71,20.665,right,good,قلم
2025-12-25T21:47:28.335458,1.313,-0.844,0.544,-47.063,-50.076,31.932,right,good,قلم
2025-12-25T21:47:28.410380,1.409,-0.686,1.0,-7.124,-47.755,-37.702,right,good,قلم
2025-12-25T21:47:28.610626,1.481,-0.608,0.932,-27.307,-58.656,-23.961,right,good,قلم
