timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2026-01-07T23:49:28.149402,0.219,-0.243,2.055,-0.347,1.397,0.423,right,good,استيقظ
2026-01-07T23:49:28.249636,0.185,-0.274,2.014,-4.194,2.145,0.438,right,good,استيقظ
2026-01-07T23:49:28.323367,0.18,-0.256,2.034,-2.439,11.412,4.438,right,good,استيقظ
2026-01-07T23:49:28.398668,0.129,-0.174,1.947,-4.973,-0.634,22.27,right,good,استيقظ
2026-01-07T23:49:28.470849,0.197,-0.28,2.076,-6.027,0.42,4.072,right,good,استيقظ
2026-01-07T23:49:28.658654,0.197,-0.332,1.779,27.989,-9.306,-21.195,right,good,استيقظ
2026-01-07T23:49:28.728575,0.168,-0.305,2.104,-1.538,6.526,1.95,right,good,استيقظ
2026-01-07T23:49:28.802493,0.18,-0.275,2.02,-2.561,12.114,4.316,right,good,استيقظ
2026-01-07T23:49:28.876103,0.268,-0.269,2.06,-6.042,-8.161,8.377,right,good,استيقظ
2026-01-07T23:49:31.547965,0.176,-0.253,1.936,10.935,-4.359,-0.417,right,good,استيقظ
2026-01-07T23:49:31.642527,0.223,-0.272,1.997,-5.049,7.213,6.53,right,good,استيقظ
2026-01-07T23:49:31.848879,0.237,-0.311,1.969,-0.958,-12.97,-12.783,right,good,استيقظ
2026-01-07T23:49:32.062708,0.215,-0.269,2.043,-1.721,6.969,-5.256,right,good,استيقظ
2026-01-07T23:49:32.179031,0.167,-0.294,1.931,7.454,0.206,-33.089,right,good,استيقظ
2026-01-07T23:49:32.347583,0.234,-0.168,2.09,7.332,-11.458,5.858,right,good,استيقظ
2026-01-07T23:49:32.551364,0.274,-0.221,1.988,-3.416,4.74,-5.943,right,good,استيقظ
2026-01-07T23:49:32.653342,0.253,-0.232,2.019,10.172,-9.489,-9.531,right,good,استيقظ
2026-01-07T23:49:32.727687,0.229,-0.229,1.985,20.951,8.557,6.56,right,good,استيقظ
2026-01-07T23:49:32.859949,0.154,-0.307,2.01,5.103,-11.336,2.927,right,good,استيقظ
2026-01-07T23:49:33.062428,0.209,-0.223,2.041,0.905,3.717,-0.783,right,good,استيقظ
