timestamp,ax,ay,az,gx,gy,gz,hand,quality,arabic_word
2025-12-14 10:33:46.723045,-8544,-13276,3952,835,148,17,right,good,جميل
2025-12-14 10:33:47.015856,-9328,-13368,4480,914,-243,-51,right,good,جميل
2025-12-14 10:33:47.322717,-10620,-14152,1504,1257,131,-2143,right,good,جميل
2025-12-14 10:33:47.629529,-5336,-14592,3720,-2136,-2289,705,right,good,جميل
2025-12-14 10:33:47.938816,-11436,-12736,4116,-68,-4065,-5362,right,good,جميل
2025-12-14 10:33:48.251588,-7308,-15000,6956,-3263,5454,-577,right,good,جميل
2025-12-14 10:33:48.405116,-8160,-14532,4216,1433,-1490,-1667,right,good,جميل
2025-12-14 10:33:48.861376,-8016,-14200,4816,-553,-2203,1486,right,good,جميل
2025-12-14 10:33:49.179923,-9232,-13776,3920,666,238,10,right,good,جميل
2025-12-14 10:33:49.789003,-7736,-15196,7896,1873,-904,-6630,right,good,جميل
2025-12-14 10:33:50.294915,-10940,-12456,3660,3355,3095,-249,right,good,جميل
2025-12-14 10:33:50.707040,-6160,-14680,4204,661,3445,7913,right,good,جميل
2025-12-14 10:33:51.011863,-10000,-11256,1456,803,2145,3291,right,good,جميل
